question,answer,wrong1,wrong2,wrong3
1. VOLUME OF AQUEOUS HUMOR IS.............. THAN VITREOUS HUMOR,C. LESS,A. SLIGHTLY MORE,B. MORE,D. EQUAL TO
2. BERGMEISTER PAPILLA IS RELATED WITH,VITREOUS,A. LENS,B. CORNEA,C. AQUEOUS
3. ANTERIOR CHAMBER IS SHALLOWER IN,A. HYPEROBIA,B. MIOPIA,C. PRESBYOPIA,D. ASTIGMATISM
4. PHPV IS RELATED WITH,B. VITREOUS,A. AQUEOUS,C. LENS,D. SCLERA
5. VISCOELASTICITY OF VITREOUS IS DUE TO PRESENCE OF............,D. HYALURONIC ACID,A. COLLAGEN,B. WATER,C. ASCORBIC ACID
6. SYNCHYSIS REFERS TO :,A. LIQUEFACTION OF THE VITREOUS,B. BLACK SPOTS IN FRONT OF THE EYE,C. COLLAPSE OF THE VITREOUS,D. DETACHMENT OF THE VITREOUS
7. vitreous shrinkage is due to,B. INCREASE IN TEMPERATURE,A. DECREASE IN TEMPERATURE,C. INCREASE IN VOLUME OF VITREOUS,D. TRAUMA
8. MAJOR COMPOSITION OF VITREOUS IS............,A. WATER,B. COLLAGEN,C. HYALURONIC ACID,D. PROTEIN
9. ASTEROID HYALOSIS IS RELATED TO,D. VITREOUS,A. LENS,B. CORNEA,C. AQUEOUS
10. ENERGY DEPENDENT PROCESS IS,C. ACTIVE TRANSPORTATION,A. ULTRA-FILTRATION,B. DIFFUSION,D. NONE
