question,answer,wrong1,wrong2,wrong3
1. ........ lens is used for correction of far sightednesss.,C. CONVEX,A. CONCAVE,B. CYLINDRICAL,D. MINUS
2. BIFOCAL LENS IS MOSTLY PRESCRIBED FOR............PATIENT.,C. PRESBYOPIC,A. MYOPIC,B. HYPEROPIC,D. APHAKIC
3. MOST COMMONLY USED LENS MATERIAL IS,D. POLYCORBONATE,A. TRIVEX,B. FLINT GLASS,C. PMMA
4. WHICH LENS IS ALSO KNOWN AS COLOR CHANGEABLE LENS?,C. PHOTOCHROMATIC LENS,A. ARC LENS,B. POLARIZED LENS,D. HARD COATED LENS
5. .......... ALSO KNOWN AS THE ORGANIC LENS,B. PLASTIC LENS,A. GLASS LENS,C. CONTACT LENS,D. FLIENT GLASS
6. .......... LENS IS USED DURING LITMUS FLY TEST FOR STEREOPSIS,A. POLARIZED,B. PHOTOCHORMATIC,C. ARC,D. BIFOCIAL
7. MOST COMMONLY USED SOFT CONTRACT LENS MATERIAL IS............,B. HEMA,PMMA,C. CR-39,D. POLYCORBONATE
8. MOST COMMONLY USED CONTRACT LENS AFTER REFRACTIVE SURGERY IS,B. BANDAGE,A. HYBRID,C. SCLERAL,D. RGP
9. THE MOST COMMONLY TYPE OFREFRACTIVE ERROR IS,A. MYOPIA,B. HYPEROPIA,C. PRESBYOPIA,D. ASTIGMATISM
10. WHICH CONTRACT LENS HAVE LARGE DIAMETER,C. SCLERAL,A. HYBRID,B. RGP,D. BANDAGE
11. HEMA IS........... IN NATURE,B. HYDROPHILIC,A. HYDROPHOBIA,C. LIPOPHILIC,D. LIPOPHOBIC
12. ASPHERICAL LENS IS MOSTLY USED FOR CORRECTION OF.........,D. APHAKIA,A. PRESBYOPIA,B. ASTIGMATISM,C. MYOPIA
