question,answer,wrong1,wrong2,wrong3
1. ABNORMAL REFRACTIVE CONDITION OF EYE IS KNOWN AS,D. AMMETROPIA,A. EMMETROPIA,B. ANISOMETROPIA,C. ANESEIKONIA
2. MYOPIA THAT OCCURS DUE TO INCREASE IN AXIAL LENGTH OF EYEBALL IS,A. AXIAL,B. CURVATURAL,C. PATHOLOGICAL,D. PSEUDOMYOPIA
3. PSEDOMYOPIA OCCURS DUE TO,1. EXCESSIVE ACCOMMODATION,B. EXCESSIVE CONVERGENCE,C. POOR ACCOMMODATION,D. POOR CONVERGENCE
4. SPHERICAL PLUS LENS IS USED FOR CORRECTING OF,B. HYPEROPIA,A. MYOPIA,C. ASTIGMATISM,D. CONVERGENCE
5. ABSENCE OF LENS IS KNOWN AS,D. APHAKIA,A. PRESBYOPIA,B. MYOPIA,C. PSEUDOPHAKIA
6. AGAINST THE RULE ASTIGNATISM OCCURS WHEN HORIZONTAL MERIDIAN IS...............CURVED THAN VERTICAL MERIDIAN,B. MORE,A. LESS,C. EQUAL TO,D. NON
7. ABSENCE OF LENS CAUSE......... IN POWER OF EYE,B. DECREASE,A. INCREASE,C. MULTIPLY,D. NO EFFECT
8. POWER OF ACCOMMODATION IS TOTALLY LOST IN,D. APHAKIA,A. MYOPIA,B. HYPEROPIA,C. PRESBIOPIA
9. THE CONDITION OF HAVING FALSE IOL IS............,C. PSEUDOPHAKIA,A. APHAKIA,B. MYOPIA,D. PRESBIOPIA
10. CONDITION OF HAVING EQUAL POWER IN BOTH IS KNOWN AS............,B. ISOMETROPIA,A. EMMETROPIA,C. ANISEIKONIA,D. AMMETROPIA
11. SPATIAL DISTORTION IS SEEN IN.........,C. ANESEIKONIA,A.EMMETROPIA,B. ISOMETROPIA,D. AMMETROPIA
12. THE ANGLE FORMED BETWEEN VISUAL AXISAND OPTICAL AXIUS IS ANGLE.................,C. ALPHA,A. KAPPA,B. GAMMA,D. NONE
