question,answer,wrong1,wrong2,wrong3
Eryhthrocytic schizogony of Plasmodium takes place in the host:,Homo sapiens,Anopheles,Curex,Bombyx
Eryhrocytic life cycle of Plasmodium occurs in,RBC,WBC,Liver,Mosquito
The feeding stage of Plasmodium is,Trophozoite,Merozoite,Sporozoite,Gametocyte
Which stage of plasmodium escapes the digestion in the gut of mosquito?,Gametocytes,Sporocytes,Trophozoites,Merozoites
Which substance in Plasmodium causes fever and chills?,Hamozoin,Haematin,Sporozoite,Schuffners granule
Which of the following forms of Plasmodium is found in the wall of the stomach of host mosquito?,Oocyst,Ookinete,Sporoblast,Sporozoite
Motile elongated zygote of plasmodium is found in,Gut of mosquito,RBC of Human,Liver of Mosquito,Salivary glands of Mosquito
The asexual reproduction of plasmodium in human occurs in,Liver and RBC,Liver only,RBC only,spleen
Which stage of Plasmodium enters the red blood cell?,Merozoite,Sporozoite,Schizont,Trophozoite
Which organ removes the damaged or infected RBCs during the malarial infection?,Spleen,Liver,Kidney,Lungs
During the Live cycle of Plasmodium trophozite represents,Feeding stage,Reproductive stage,Quiescent stage,Spore
Schizont stage in the life cycle of malarial parasite occurs in,Eryhrocytes of man,Stomach of anopheles,Gut of man,Salivary glands. Of Anopheles
Stage of the Life cycle of plasmodium that O cut in human liver cells is,Pre eryhtrocytic cycle,Erythrocytic cycle,Sporogony,Gamogony
Cryptomerozoites are the products of,Schizogony in liver cells of man,Schizogony in RBCs of man,Sporoginy in the gut wall of Mosquito host,Gametogony in the gut of Mosquito
"Hypnozoite stage of malarial parasite, responsible for relapse, is seen in Which species :",P. Vivax and P. Ovale,P. Falciparum and P. Malariae,P. Knowlesi and P. Falciparum,P. Malariae and P. Vivax
