question,answer,wrong1,wrong2,wrong3
"A chronic autoimmune disorder affecting neuromuscular junctions leading to fatigue, weakening, and paralysis of skeletal muscle is called:",Myasthenia gravis,Arthritis,Muscular dystrophy,Gout
Broad palm with single palm crease is visible in a person suffering from-,Down's syndrome,Turner's syndrome,Klinefelter's syndrome,Thalassemia
HIV replicates in,The Cells,Monocytes,Eosinophils,Basophils
Which is wrong?,Yellow Fever-Parasite,Filariasis- Parasite,Malaria- Parasite,Dengue- Viral
Odd one out.,Filariasis,Dengue,Covid-19,Rabies
Self-administration of a drug for non-medical reasons is,Drug abuse,Drug dependence,Drug addiction,Drug resistance
The drug that alters thoughts and perceptions without any sensory stimulus is,Hallucinogens,Sedatives and tranquilizers,Cocaine,Opiate narcotics
Which is wrong?,Morphine- Datura stramonium,Cocaine- Interferes dopamine transport,Morphine- Painkiller and affects the Cardiovascular system,Heroin- Slows down bodily function
Which drug is called Superman drug?,Amphetamine,Heroin,Cocaine,LSD
Mood-altering drugs are,Psychotropic,Analgesic,Antipyretic,All
'Mood elevators' drugs are also called,Stimulants,Hallucinogens,Babiturates,Alcohol
Mildest stimulant is,Caffeine,Cocaine,Amphetamines,Nicotine
"Heroin, Morphine, and Codeine are collectively called",Opiate narcotics,Hallucinogen,Tranquilizers,Barbiturates
Opium is extracted from,Latex of unripe capsules of Papaver somniferum,Leaves of Thea sinensis,Erythroxylum coca,Coffee arabica
Which of the following drugs constitute the sleeping pills?,Barbiturates,Opiate narcotics,Hallucinogens,Stimulants
Alcohol decreases,All of the above,The activity of CNS,The secretion of ADH,The blood sugar level
The commonest hazard of alcohol is,Cirrhosis of liver,Infection,Lung cancer,Liver tumors
Which is not related to alcohol problems?,Miner's nystagmus,Cirrhosis of liver,Wernicke encephalopathy,Korsakoff psychosis
"In a drunk person, the part of the brain to be affected first is",Cerebellum,Pons vasolli,Medulla oblongata,Cerebrum
Which of the following is the most common problem that results from smoking?,Chronic bronchitis,Pneumonia,Lung cancer,Asthma
Heavy smokers get a quick infection of,TB,Cholera,Typhoid,Pneumonia
No vaccine is available to prevent,AIDS,Polio,Tuberculosis,Tetanus
Which one of the following is a confirmatory test for AIDS?,Western test,ELISA test,Decreased T₄/T₈ ratio,Southern blot test
The development of AIDs can be identified by,CD₄ + count,ELSA,Western blot,FSR
AIDs was first recognised in USA in,1981,1971,1988,1986
Which of the following is most common in AIDS patients?,TB,Malaria,Diabetes,Typhoid
Which of the following causes typhoid?,Bacteria,Fungi,Virus,Protozoa
Rose-red sports on the upper abdomen and back are found in,Typhoid,Cholera,TB,Malaria
Cancer is induced by,All,Environmental pollutants,UV and other radiations,Smooking
Neoplasm is a medical term for,Malignant tumour,Benign tumour,Both,None
The diagnosis of cancer is usually done by,Any of the above,X-ray,Biopsy,Microscopic examination of body fluids
Cancer is treated to a combination of,"Surgery, irradiation and chemotheraphy",Surgery and drugs,Drugs and irradiation,Surgery and irradiation
Aspirin is,Antipyretic,Antibiotic,Histamine,none
Penicillin discovery is an example of:,Biological antagonism,Struggle for existence,Substrate competition,Natural selection
Hodgkin's disease is related to,Carcinoma of Lymphoid tissue,Epithelial tissue,Pituitary gland,Nervous tissue
Paraplegia refers to the paralysis of,Both legs,Upper two limbs,One limb only,Whole body
Coffee contains a substance that stimulates the nervous system called,Caffeine,Tannic acid,Theophylline,Volatile oil
Adenoma refers to the cancer of,Glands,Blood,Muscles,Lymph nodes
Cancer of the blood is called,Leukaemia,Haemolysis,Haematoma,Thrombosis
The neoplasm of connective tissue is known as,Sarcoma,Lipoma,Chondroma,Myoma
The treatment of cancer with X-ray rays or ɣ-rays is called,Radiation therapy,Chemotherapy,Immunotherapy,Hormone therapy
Metastasis is associated with,Malignant tumors,Benign tumors,Grown gall tumor,Both malignant and benign tumor
