question,answer,wrong1,wrong2,wrong3
Largest and least numerous taste buds are,Circumvalate,Fungiform,Filiform,Foliate
Stenson's duct is the duct of,Parotid glands,Sub maxillary glands,Sub lingual glands,Infra orbital glands
Oesophagus contains,Outer longitudinal and inner circular,Outer circular and inner longitudinal,Only circular muscles,None
Which plexus brings about the peristaltic movement of gut?,Myenteric,Meissners,Submucosal,Both a and b
Which has no serosa?,Oesophagus,Stomach,Ileum,Jejunum
Opening of oesophagus and stomach is guarded by,Cardiac sphincter,Pyloric sphincter,Circular muscles,Sphincter of oddi
Omentum is found in . . .,Stomach,Oesophagus,Duodenum,Jejunum
Parietal cells secret  . .,Both a and b,HCI,IF of Castle,Pepsinogen
Which is a retroperitoneal organ?,Duodenum,Stomach,Tail of Pancreas,Uterus
Duct of Wirsung is present in . . .,Pancreas,Liver,Gall Bladder,Salivary Gland
Romance of abdomen is,Pancreas,Liver,Gall Bladder,Salivary Gland
Lobes of liver in man,4,5,3,2
Inflammation of Gall Bladder,Cholecystitis,Cystitis,Atherosclerosis,Cholelithiasis
Most numerous villi in,Jejunum,Ileum,Ascending Colon,Descending Colon
Back-flow of undigested food from caecum to ileum is prevented by,Ileocaecal valve,Pyloric valve,Cardiac valve,Anal valve
Longest colon is . ..,Transverse,Ascending,Descending,Sigmoid
Carbohydrates digestion start from. .,Buccal Cavity,Intestine,Stomach,Oesophagus
Which is not the component of Succus entrericus?,Amylase,Sucrase,Maltase,Isomaltase
Lactase converts lactose into,Glucose + galactose,Glucose + maltose,Glucose + fructose,Fructose
Caesin is digested by,Pepsin,Renin,Rennin,Trypsiogen
Which is true about protein absorption?,Dipeptides and tripeptides are better absorbed than amino acid.,Amino acids are better absorbed then dipeptides.,Both are equally absorbed.,Require Bile salts to absorb.
Which is related to fat digestion and absorption?,All of them,Bile salts,Micelles and Chylomicrons,Lacteals
What is true?,Parasympathetic system increases peristalsis.,Parasympathetic system decreases peristalsis.,Sympathetic system increases digestive juices.,Sympathetic system loosens the gut sphincters.
Marasmus is due to...,Calorie deficiency,Protein deficiency,Excessive Rice intake,Vitamin Deficiency
Alcohol's calorific value is . . . kcal/gm,7,9,5,3
Semi-essential Amino acids are...,Histidine and Arginine,Histamine and Arginine,Histidine and Aspartate,Histidine and Asparagine
Essential Fatty Acids are...,Both a and b,Linoleic acid,Linolenic acid,Palmitic acid
Pheyoderma is due to,Essential Fatty Acid deficiency,Protein deficiency,Carbohydrates deficiency,Essential Amino acid deficiency
Anti-sterility vitamin is vitamin,E,A,B,D
Bleeding occurs due to deficiency of . .,All of them,Vitamin C,Vitamin K,Calcium
Burning feet syndrome is due to deficiency of,B5,B1,B2,B3
Osteomalacia is due to deficiency of Vitamin...,D,E,C,K
Tooth decay is due to..,Florine deficiency,Florine excess,Calcium deficiency,Phosphate deficiency
