question,answer,wrong1,wrong2,wrong3
Which one of the following is not the excretory organ?,Spleen,Kidneys,Liver,Lungs
Cardiac output recivied by kidney.,25%,10%,20%,30%
Pisces have . . . kidney.,Mesonerphic,Metanephric,Pronephric,Supranephric
Ther retroperitoneal kidney is -,Kidney covered by Peritoneum on ventral side,Kidney of fish,Kidney covered by Peritoneum on Dorsal Side,Kidney uncovered by Peritoneum on ventral side.
Extension of cortex of kidney into medulla is called . . .,Column of Bertini,Column of Bellini,Column of Henle,Column of Malphigi
Visceral layer of Bowman's Capsule ...,Podocytes,Squamous cells,Pericytes,Oligocytes
What is true?,Cortical nephrons are more than Juxtamedullary,Juxtamedullary nephrons are than cortical,Cortical nephrons concentrate the urine,Cortical nephrons have longer loop of Henle.
Uriniferous tubule is...,Nephron and Collecting duct,Malphigian and body and renal tubules,Renal corpuscle,Bowman's capsule and glomerulus
Normal GFR is .... ml / min.,125,30,50,225
Maximum water reabsorption takes place in . . .,PCT,LOH,DCT,Collecting Duct
Presence of glucose in urine ...,Glycosuria,Hyperglycemia,Hyperuricemia,Uremia
PTH mediated Calcium reabsorption takes place in ...,DCT,PCT,LoH,CD
"Your friend urinates viscous and concentrated urine. On the lab report, urine had glucose in excess amount. He might have.",Diabetes Mellitus,Diabetes Insipidus,Urinary tract Infection,Kidney Stones
Normal color of urine is due to . . .,Urochrome,Urinoid,Hemoglobin,Myoglobin
Juxtaglomerular cells in RAAS is . . .,Modified myocytes,Modified neuron,Modified epithelium,Modified Fibroblast
Lining of male urethra is mainly . . .,Stratified Columnar,Stratified Squamous,Transitional,Ciliated Columnar
Least toxic is . . .,Amino Acid,Ammon,Urea,Uric Acid
Least amount of urea is present in . .,Renal vein,Jugular vein,Coronary artery,Gonadal vein
If ADH level of blood is less:-,Volume of urine increases,Volume of urine is normal,Volume decreases,"Volu,e of urine is unaffected"
THe afferent and efferent vessels are,Arterial in nature,Venous in nature,One is arterial and the other is venous,One is venous and the other is arterial
Which one is not the function of kidney,Synthesis of urea,Osmoregulation,Salt retention,Excretion
