question,answer,wrong1,wrong2,wrong3
Adaptation for climbing is,Arboreal,Aerial,Cursorial,Aquatic
Saltatorial adaptation refers to the adaptation for,Jumping,Flying,Running,Digging
The mouth with lips are suctorial pharynx in,Parasitic adaptation,Aerial adaptation,Burrowing adaptation,Arboreal adaptation
Kangaroo shows,Saltatorial adaptation,Cursorial adaptation,Fossorial adaptation,Scansorial adaptation
Extremely fused vertebrae (synsacrum) is found in,Birds,Reptiles,Pisces,Primates
Limb are modified into flippers in,Whale,Seahorse,Sea snake,Birds
Claw and adhesive pads are related to,Scansorial adaptation,Saltatorial adaptation,Cursorial adaptation,Aerial adaptation
Muscles of hind limbs are highly developed and stronger in,Cursorial adaptation,Saltatorial adaptation,Arboreal animals,Volant animlas
Some reptiles show autotomy which means,Voluntary breaking tail to confuse enemy,Signal for charging,Signal for courtship,State of starvation prior to death
Which of the following is/are adaptational feature of birds?,All,Fore limbs modified into wings,Absence of right ovary,Absence of urinary bladder
In cursorial animals,Hind limbs are more developed than fore limbs,Fore limbs are more developed than hind limbs,Pectoral girdle are more developed than pelvic girdle,Both the limbs are equally developed
Adaptational features of arboreal animals is/are,All of the above,Long and narrow slender body,Strong limbs and girdles,Tail as balancing organ
Pectoral girdle is well developed than pelvic girdle in,Arboreal forms,Cursorial forms,Volant forms,Saltatorial forms
Lateral line sense organs are found in,Aquatic lives,Terrestial lives,Volant lives,Both aquatic and volant lives
A reptile living in water as well as on land is,Tortoise/turtle,Frog,Python,Sphenodon
Which of the following group of animals maintain high and constant body temperature such as mammals?,Birds,Fishes,Reptiles,Amphibians
A fish capable of gliding is,Exocoetus,Anabas,Draco,Rhacophorus
Rhacophorus is also known as,Flying frog,Tree frog,Flying lizard,Flying fish
