question,answer,wrong1,wrong2,wrong3
Paramecium belongs to class:,Ciliata,Sarcodina,Sporozoa,Rhizopoda
Food vacoule in Paramecium are:,Numerous,One in number,Two in number,None
Trichocysts help in:,Both a and b,Osmoregulation,Offence,Defense
Nuclear dimorphism is found in:,Paramecium,Amoeba,Plasmodium,Earthworm
Contractile vacoules in Paramecium are:,Two in number,One in number,Numerous,None
Vegetative or metabolic activity in Paramecium is controlled by:,Macronucleus,Micronucleus,Trichocysts,Idiochromatin
In favourable condition Paramecium dividesby:,Binary fission,Conjugation,Fragmentation,All
Which protist reproduces both by binary fission and conjugation?,Paramecium,Amoeba,Euglena,Plasmodium
During binary fission in Paramecium:,Both a and b,Micronucleus divides mitotically,Macronucleus divides amitotically,Micronucleus divides amitotically and macronucleus divides mitotically
In Paramecium:,Posterior contractile vacoule works faster than anterior,Anterior contractile vacoule works faster than posterior,Both works equally,None
"Paramecium sometimes becomes unhealthy, sluggish and is likely to die. It is due to:",Repeated binary fission,Repeated conjugation,Repeated endomixis,Repeated autogamy
Each ex-conjugant in Paramecium during conjugation give rise to:,Four daughter paramecia,Eight daughter paramecia,Two daughter paramecia,Only one daughter paramecia
The process of reconstitution of macronucleus in paramecium without any change of micronucleus is called,Hemixis,Cytogamy,Endomixis,Autogamy
Pellicle is the covering of,Paramecium,Diatoms,Dinoflagellates,Amoeba
Which of the following is corresponds to self fertilization?,Autogamy,Cytogamy,Endomixis,Hemixis
