question,answer,wrong1,wrong2,wrong3
Which is the infective form of the malaria parasite?,Sporozoite,Oocyst,Bradyzoite,Tachyzoite
"Trophozoites, schizonts, and gametocytes of all the malarial parasites are seen in the peripheral blood smear except;",P. falciparum,P. malariae,P. ovale,P. vivax
Blackwater fever is a special manifestation of malaria caused by;,P. falciparum,P. malariae,P. ovale,P. vivax
"fter sporozoite gain entrance to the human body, it undergoes a developmental cycle first in the liver than in RBC, only after which fever is seen. This incubation period varies between plasmodium species, and ………….. species has the longest incubation period.",P. malariae,P. falciparum,P. ovale,P. vivax
Mosquitoes is/are the vector in the following disorder(s),Bancroftian filariasis,Onchocerciasis,Visceral leishmaniasis,African trypanosomiasis
Crescent-shaped or banana-shaped gametocytes are seen in infection with:,Plasmodium falciparum,Plasmodium vivax,Plasmodium ovale,Plasmodium malariae
Which of the following parasites is responsible for the cause of African sleeping sickness or Gambiense fever?,Trypanosoma,Leishmania,Entamoeba,Trichomonas
Tse-tse fly is a vector for sleeping sickness. Which of the following parasite transmits the infective stage?,Trypanosoma gambiense,Wuchereria bancrofti,Leishmania donovani,Plasmodium falciparum
Schuffner’s dots are related to _______________.,RBC of man,Entamoeba histolytica,Leucocytes of frog,Epithelium of the stomach of the mosquito
“Amoebiasis” or amoebic dysentery is caused by___________.,Entamoeba histolytica,Trypanosoma histolytica,Entamoeba gingivalis,Plasmodium vivax
Which of the following statement is true about the Malarial parasites?,"Malarial parasites can be best obtained from a patient, a few hours after the temperature reaches normal",Malarial parasites can be best obtained from a patient when the temperature comes to normal,"Malarial parasites can be best obtained from a patient, an hour before the rise of temperature",Malarial parasites can be best obtained from a patient when the temperature rises with rigour
The malignant tertian malaria is caused by,Plasmodium falciparum,Plasmodium malariae,Plasmodium ovale,Plasmodium vivax
“Trypanosomiasis” is transmitted by or carrier of Trypanosoma in man is,Tse-tse fly,Fruit fly,Housefly,Mayfly
Entamoeba gingivalis found in the buccal cavity of man causes,Pyorrhoea,No disease,Bronchitis,Amoebic dysentery
An important drug used for the treatment of malaria – Quinine is extracted from,Bark of Cinchona,Red ants,Calyx of cinnamon,Bark of tulsi
Which of the following  “Glossina palpalis” is a vector for,Gambian fever,Filariasis,Plague,Dengue
Malaria is caused by,plasmodium,diplococcus,tetani,Neisseria
How many species of plasmodium cause malaria in human beings ?,four,three,two,five
Life cycle of plasmodium has three phases-,all the above,schizogony,gamogony,sporogony
The incubation period of plasmodium ovale is,15- 20 days,6 – 12 days,28 – 30 days,all the above
The incubation period of plasmodium falciparum is,6 – 12 days,10 – 15 days,28 – 30 days,all the above
Which of the following is quartan in periodicity ?,P. malariae,P. vivax,P.ovale,P. falciparum
Motile zygote of plasmodium occurs in,Gut of female Anopheles,Human RBCs,Human liver,Salivary glands of Anopheles
Which stage of malaria parasite causes recurrence of malaria?,Merozoite,Sporozoite,Gametocyte,Hypnozoite
Plasmodium vivax causes,Benign tertian malaria,Malignant tertian malaria,Quartan malaria,Mild malaria
Sexual stage of plasmodium occurs in,Intestine of mosquito,Salivary glands of mosquito,Human RBC,Human liver
Intermediate host of malaria parasite is,Man,Pig,Mosquito,Larva of mosquito
Disease like malaria and filariasis are transmitted through insect vectors . Vectors can be controlled by introducing fish.,Gambusia,Labeo,Hilsa,Catla
"Plasmodium initially multiplies within the liver cells and then attacks red blood cells , resulting in their rupture.Rupture of RBCs in associated with release of a toxic substances",Haemozoin,Hirudin,Heparin,Heptoin
Malaria is transmitted by 'Anopheles'. This was discovered by,Ronald Ross,A. Laveran,Pasteur,Huxley
Time between successive hyperthermic condition in quatern fever is,72 hours,12 hours,24 hours,48 hours
The vector for causing sleeping sickness in man is,Tse-tse fly,House fly,Mosquito,Butterfly
Which of the following diseases is endemic,Amoebiasis,Common cold,Hepatitis,Influenza
"On which day, we celebrate ?Malaria Day'",20th August,5th June,15th August,20th September
"Symptoms of shigellosis, a diarrhoeal disease are",Frequent passage of stools with blood and mucus,Severe cough and sputum,Loss of weight and appetite,Severe abdominal pain and vomiting
Which one of the following is found in the mouth of human beings,Entamoeba gingivalis,Entamoeba histolytica,Entamoeba coli,Amoeba proteus
Entamoeba gingivalis lives in the,Pus pockets of pyorrhoea,Intestine,Colon,Intestines and colon
Who discovered malarial parasite,Leveran,Ronald Ross,Grassi,Lansici
Which disease is caused by a flagellate,Sleeping sickness,Dysentery,Whooping cough,Jaundice
Malaria parasite completes its life-cycle in,Two host,One host,Three host,Reservoir host
A person sufferring from malaria feel fever when,When RBC generally ruptured and haemozoin granules are released,Exoerythrocytic cycle is completed,Signet ring stage is formed,All the above
Plasmodium belongs to the class,Sporozoa,Sarcodina,Mastigophora,Ciliata
Plasmodium belongs to the class,Telospora,Sarodina,Mastigophora,Ciliata
"Plasmodium,causative agent of malaria was discovered by",Charles laveran,Ronald ross,Grassi,Celli
Sporogony in the life of plasmodium occurs in,Stomach wall of mosquito,RBC of man,Liver of man,Salivary glands of mosquito
Ex flagellation in liffe cycle of plasmodium is related with,Formation of male gamete,Formation of female gamete,Formation of male gamete,None
Fertilization of male and female gametes of plasmodium occurs in,Stomach of mosquito,Stomach wall of mosquito,Liver of man,Salivary glands of mosquito
Cryptomerozoites are the resultant cells of,Liver schizogony,Erthyrocytic schizogony,Sporogony,Gamogony
