question,answer,wrong1,wrong2,wrong3
Skull of mammal is:,Dicondylic,Monocondylic,Tetracondylic,Acondylic
Tectorial membrane is found in:,Ear of mammal,Ear of frog,Eye of mammal,Eye of frog
Primary function of notochord is to:,Support,Respiration,Digestion,Circulation
Characteristics of vertebrate:,"Notochord, Dorsal tubular nerve cord, pharyngeal slits","Notochord, ventral heart, pharyngeal slits","Notochord, Dorsal solid nerve cord, pharyngeal slits","Notochord, Ventral tubular nerve cord, pharyngeal slits"
Rabbit differs from frog in absence of:,Renal portal system,Hepatic portal system,Systemic circulation,None
Excretory products of tadpole of frog:,Ammonia,Urea,Uric acid,Guanine
All chordates have:,Notochord,Cranium,Vertebral column,Spinal cord
Which of the following represents order of Horses?,Perissodactyla,Equidae,Caballus,Ferus
The most important characteristics feature of birds is:,Exoskeleton of feathers,Forelimb modified into wings,Bipedal vertebrate,Homoisothermal
Rearing of fresh water fishes is called:,Pisciculture,Aquaculture,Sericulture,Fisiculture
Pleurodont dentition is present in;,Lizard,Whale,Fishes,Snakes
Reptiles and birds are:,Uricotelic,Ureotelic,Uricotelic and Ammonotelic,Ammonotelic
Which of the following is not a true fish?,Lung fish,Dog fish,Electric fish,Flying fish
Dicondylic skull and cranial nerves are characteristics of:,Frog and rabbit,Frog and bird,Rabbit and reptiles,Bird and reptiles
Snake poison glands is modification of:,Parotid gland,Sub-lingual salivary gland,Thyroid gland,None
Salamander is:,Amphibian,Reptiles,Mammal,Bird
Female of the following carries eggs on her back:,Midwife toad,Common indian frog,Surinam toad,Tree frog
The process of development in amphibian:,Metamorphosis,Morphollaxis,Epimorphosis,Metaperesis
Which of the following activity does not support the escaping predators?,Shrinking body of frog,Bitting of snakes,Secreting of ink gland in water,Color change by lizard
Which of the following pairs of animals comprises jawless fish?,Lamprey's and hag fishes,Lampreys and eels,Mackerals and Rohu,Guppier and Hag fishes
Number of gills present in Osteichthyes:,4 pairs,2 pairs,6-15 pairs,5 pairs
"At retrogressive metamorphosis, the urochordata larva;",All,Loss tail,Loss notochord,Reduction of nervous system to a visceral ganglion
In which of the following jaws are found?,Fish,Herdmania,Petromyzon,Amphioxus
In which of the following is only vertebrate osmoconformer?,Hagfish,Rabbit,Bird,None
Crocodile and Penguin are similar to whale and Dogfish in which of the following reasons?,Have gills slits at some age,Have abdominal pouches,Possess body skeleton,Lay eggs and guard them
Which is found in chordates but not in Non chordates?,Post anal tail,Gills,Spiracles,Chitinous skeleton
Which one of the following possess notochord throughout their life?,Amphioxus,Fish,Birds,Snake
In which of the following notochord is absent?,Adult Herdmania and Balanoglossus,Adult Herdmania ans Branchiostoma,Larva of Herdmania and Branchisotoma,Larva of Herdmania ans Balanoglossus
"In which of the following, notochord is present in embryonic stage?",All chordates,Vertebrate,Some chordates,Non-chordate
Vertebral column is derived from:,Notochord,Dorsal Nerve cord,Ventral nerve cord,Outgrowth of cranium
All chordates at one or the other stages passes:,Pharyngeal Gill-slits,Vertebral column,Two pairs of pentadactyle limb,A moveable jaw
Stomochord is found in:,Hemichordata,Urochordata,Cephalochordata,Both a and b
Mode of feeding in tunicates:,Ciliary filter,Parasitic,Macrophagus,Myxotrophic
Notochord is restricted to the anterior part of the body proboscis in animals of which group?,Hemichordata,Urochordata,Cephalochordata,Chordata
The post anal tail is present in:,Chordates,Vertebrate,Invertebrates,All
Which one of the following is cartilaginous fish?,Dog fish,Silver fish,Cray fish,Star fish
A fish is characterized by the presence of:,All,Dermal scales,Paired fins,Pharyngeal gills
Swim bladder can be found in:,Labeo,Scoliodon,Chimaera,Trygon
The aquatic organisms with prehensile tail is:,Hippocampus,Macaca,Chameleon,Exocoetus
The vertebrate does not have:,Paired nerve cord,Solid ventral nerve cord,Ganglionated nerve cord,Dorsal tubular nerve cord
Primary character of notochord is:,Dorsal tubular nerve cord,Paired nerve cord,Solid ventral nerve cord,Ganglionated nerve cord
Pteromyzon is not a true fish because of:,Absent of paired fins and true jaws,Absent of medain fins,Presence of gills,Absent of Operculum
Ancestors of cyclostomes:,Ostracoderms,Myxinoides,Urochordates,Arthropods
Pancreas remain absent in which of the group?,Cyclostomatas,Apoda,Teleost,Elasmobranch
The group amniota include:,"Reptiles, birds and mammal",Reptiles and birds,Birds and fishes,Birds and mammals
Amphioxus belongs to:,Ceohalochordata,Urochordata,Vertebrata,Hemichordata
In which of the following heart is provided with two pacemakers?,Herdmania,Camel,Sphenodon,Giraffe
Which of the following statement is true?,All vertebrate are chordates,All chordates are vertebrate,Non-chordates have a vertebral column,Invertebrates possess a tubular nerve cord
Snake receive sound vibration by:,Body,Tympanum,Internal ear,Earth
The reptiles which glide in air is called:,Draco,Angius,Calotes,Phrynosoma
