question,answer,wrong1,wrong2,wrong3
Spiracles found in cockroach are,2 pairs in thorax and 8 pairs in abdomen,2 pairs in thorax and 10 pairs in abdomen,2 pairs in thorax and 6 pairs in abdomen,2 pairs in thorax and 4 pairs in abdomen Cephalothorax is found in the
Cephalothorax is found in the,Arthropoda,Annelida,Nematoda,Echinodermata
The process of conversion of a small cockroach into an adult cockroach is called as,Metamorphosis,Moulting,Ecdysis,Transformation
'Hexapoda' is another name of,Insecta,Crustacea,Arachnida,Archiannelid
Glow worm is,Insect,Annelid,Helminthes,Mollusca
"Which thing is common in leech, mosquito bed bug and rat",All have sexual phase,All have anticoagulatin,All have nucleus,All have no cellular membrane
Cockroach belongs to class,Hexapoda,Apoda,Myriapoda,Cephalopoda
"What is common among silver fish, scorpion, crab and honey bee",Jointed legs,Compound eyes,Poison glands,Metamorphosis
A moth is closely related to ],Butterfly,Cricket,Beetle,Wasp
The biggest phylum in regard to the number of species is,Arthropoda,Platyhelminthes,Chordata,Protozoa
The arthropods do not possess,Malpighian body,True coelom,Exoskeleton,Haemocoel
Insects have blood which,Circulates through an open system,Resembles human blood in colour,Circulates through arteries and veins,Has haemoglobin in the cells
Which of the following is absent in the mouth part of housefly,Mandibles,Labrum,Epipharynx,Maxillary palps
Which one of the following belongs to phylum arthropoda,Termite,Octopus,Nereis,Leech
Pupa of butterfly is called as,Chrysalis,Caterpillar,Imago,Nymph
Spiders and scorpions are included in class,Arachnida,Echarida,Actinozoa,Anthozoa
Book-lungs are respiratory organs which are found in,Arachnids,Insects,Crustaceans,Onychophores
To which order the Periplaneta americana belongs,Orthoptera,Diptera,Hemiptera,None of the above
Crayfish is a,Crustacean animal,Edible fish,Poisonous fish,None of the above
An important character of Arthropoda is,Jointed legs,Unsegmented body,Shell over the body,Three pair of legs
In which of the following sets all are vectors,"Anopheles, Musca, Culex","Physalia, Musca domestica, Anopheles","Amoeba, Physalia, Musca",All of the above
Animals of which set belongs to same phylum,"Scorpion, cockroach, prawn","Scorpion, cockroach, and earthworm","Leech, oyster, scorpion","Earthworm, leech, cancer"
"Segmented body, exoskeleton of chitinised cuticle and presence of haemocoel are the characteristics of",Arthropoda,Annelida,Mollusca,None of these
For seeing a haemocoel which animal you will select,Scolopendra,Earthworm,Hydra,Sponge
Tumbler is pupa of,Mosquito,Housefly,Butterfly,Beetle
Blood does not transport oxygen in,Cockroach,Earthworm,Frog,Beetle
Peripatus is connecting link between,Annelida and Arthropoda,Mollusca and Arthropoda,Annelida and Mollusca,Coelenterata and Platyhelminthes
Mouth parts of a butterfly are of type,Siphoning,Sponging,Piercing and sucking,Chewing and sucking
Set of useful insects is,"Cochineal Insect, Lac Insect and Honey Bee.","Wasp, Anopheles and Bed Bug","Bed Bug, Silk Moth and Anopheles","Honey Bee, Bed Bug and Locust"
In Housefly the larva lives in,Dung,Water,Muddy soil,Vegetation
Matching pair of vector and disease is,Culex - Filariasis/Elephantiasis,Sandfly - plague,Body Louse - Typhoid,Housefly - Yellow Fever.
An insect without pupa stage is,Bed Bug,Mosquito,Silk Moth,Butterfly
Young Housefly/Mosquito is known as,Imago,Maggot,Caterpillar,Nymph
Periplaneta shows,Gradual metamorphosis,No metamorphosis,Incomplete metamorphosis,Complete metamorphosis
Housefly feeds on sugar by,Dissolving in saliva and sucking,Crushing its crystals and then sucking the power,Crushing and eating,Sucking
Mouth part present in female Anopheles but absent in male is,Mandibles,Maxillae,Antennae,Proboscis
The major excretory product of arthropods is,Uric acid,Ammonia,Urea,Trimethylamine oxide
The first animals to fly were,Insects,Mammals,Lizards,Birds
Cockroach blood does not contain respiratory pigment. It means,Oxygen reaches tissue through tracheoles,It does not respire,Cockroach respires anaerobically,Oxygen passes to all the tissues through diffusion
Sandfly is,Phlebotomus,Ancyclostoma,Musca,Drosophila
Green glands found in some arthropods take part in,Excretion,Repiration,Digestion,Both (a) and (b)
Spider prepares the web with the help of,Spinnerets,Legs,Mouth,Salivary glands
Classes of phylum Arthropoda are,"Insecta, Arachnida, Crustacea, Myriapoda","Insecta, Turbellaria, Crustacea, Myriapoda","Insecta, Calcerea, Crustacea, Myriapoda","Insecta, Sporozoa, Crustacea, Myriapoda"
All of the following is true except,Peripatus-Missing link,Echinodermata-water vascular system,Mollusca-Haemocoelomate,Archeopteryx-connecting link
Poison claws of centipedes are modifications of............,Maxillapeds,Maxilla,Mandibles,Telson
The teeth of Cockroach is,Bitting and chewing type,Sponging type,Piercing and sucking type,Siphoning type
Zika virus is caused by,Culex mosquitoes,Cat,Aedes mosquitoes,Dog
The male cockroach differs from the female cockroach in the presence of:,Anal style,Anal cerci,Pili,Antenna
Which one of the following is exoskeleton invertebrates?,Chitin,Scales,Keratin,Melanin
Which one of the following insects lays eggs in water?,Dragon fly,Butterfly,Sandfly,House fly
'Dengue Fever' is caused by the bite of,Aedes mosquito,Anopheles mosquito,Culex mosquito,Cimex
Culex larva undergoes............. molting to change into a pupa.,4 times,1 time,2 times,3 times
Which of the following acts as both vector and parasite?,Fleas,Ascaris,Culex,Anopheles
