question,answer,wrong1,wrong2,wrong3
Which of the following relations is correct?,∆G⁰ = –RT lnK,∆G⁰ = RT lnK,∆G⁰ = –RT logK,∆G⁰ = RT logK
"Gibb's free energy (G), enthalpy (H) and entropy (S) are related to one another by",G = H - TS,G = H + TS,G - S = TH,S = H - GT
Decrease in the free energy of a reacting system indicates the reaction to be,A spontaneous reaction,A reversible reaction,An endothermic reaction,A primary reaction
According to the first law of thermodynamics,Energy can neither be created nor be destroyed,Heat can not be flown from colder body to hotter body,The efficiency of a heat engine can never be 100%,Entropy of universe is increasing day by day
According to the equation ∆G = ∆H – T∆S . The spontaneous of reaction will occur when thevalue of ∆G will be ?,Negative,Positive,Zero,Infinite
The sum of internal energy and pressure-volume energy of the system is,Enthalpy,First law of thermodynamics,Entropy,None of the above
"In Endothermic reactions, the reactants",Have less energy than the product,Have more energy than product,Have same energy as that of product,Are at lower temperature than the product
"Which one is correct for the reaction

\(Fe_{2}O_{3} + 3CO → 2Fe + 3CO_{2}\)",∆H = ∆E + RT,∆H = ∆E,∆H = ∆E – RT,∆H = ∆E + 2RT
PV = nRT is applicable to,Both (a) and (b),Isothermal changes,Adiabatic changes,None
When liquid boils there is increase in,Entropy,Heat of vaporization,Kinetic energy,Potential energy
Which of these can be converted to useful work?,∆G,∆H,∆E,∆S
"For the process, Dry ice → \(CO_2(g)\)","\(Both ∆H, ∆S =+ ve\)",\(∆H = +ve ;∆S = - v e\),"\(Both ∆H ,∆S = - v e\)",\(∆S = +ve; ∆H = - v  e\)
"H, E, P and V are related as",H = E + PV,H = E + P - V,H = E - PV,H = P - EV
A well stoppered thermos flask contains some ice cubes. This is an example of a,isolated system,closed system,open system,non-thermodynamic system
Identify the intensive quantity from the following,Temperature and refractive index,Enthalpy and temperature,Volume and temperature,Enthalpy and volume
"For an adiabatic process, which of the following is correct ?",q = 0,P∆V = 0,q = +W,∆E = q
All reactions with chemical dissociation are,reversible and endothermic,reversible,exothermic,reversible or irreversible and endothermic or exothermic
According to first law of thermodynamics,∆E = Q + W,∆E = W – 0,W = Q + ∆E,none of these
Internal energy does not include,energy arising by gravitational pull,vibrational energy,rotational energy,nuclear energy
Which of the following values of heat of formation indicates that the product is least stable?,+ 64.8 kcal,– 94 kcal,– 231.6 kcal,+ 21.4 kcal
Compounds with high heat of formation are less stable because,energy rich state leads to instability,it is difficult to synthesize them,high temperature is required to synthesize them,molecules of such compounds are distorted
,40.5 kJ,6.02 kJ,62.3 kJ,21.25 kJ
"Given that

 \(C + O_2 → CO_2\) ; ∆H⁰ = – x KJ 

\(CO+O_2→2CO_2\); ∆H⁰ = – y KJ

the enthalpy of formation of carbon monoxide will be",( y - 2x )/2,( 2x - y )/2,2x - y,y - 2x
"\(S + 3/2 O_{2}→ SO _3 \) + 2x Kcal

\(SO_{2} + 1/2 O_{2}→ SO_ 3\) + y Kcal

Find out the heat of formation of \(SO_2\)",(2x - y),(2x + y),(x + y),(2x)/y
"Heat of formation, \(∆H_f^°\) of an explosive compound like \(NCl_3\) is",positive,negative,zero,positive or negative
Heat of neutralisation is highest in the reaction between,HCl-NaOH,\(HNO_3-NH_4OH\),\(NH_{4}OH - CH_{3}COOH\),\(NaOH - CH_3COOH\)
"For the reaction

\(N_2+3H_2⇔2NH_3\) ; ∆H = ?",∆E - 2RT,∆E = 2RT,∆E + RT,∆E + 2RT
Heat of reaction at contant pressure is equal to its thermodynamical quantity,∆H,∆S,∆q,∆E
During isothermal expansion of an ideal gas its,enthalpy remains unaffected,internal energy increases,enthalpy decreases,enthalpy reduces to zero
In exothermic reactions,\(H_R>H_P\),\(H_R=H_P\),\(H_R<H_P\),none of these
In exothermic reactions,∆H is negative,∆E is zero,∆S is zero,∆H is positive
Evaporation of water is,an endothermic change,an exothermic change,a process where no heat change occurs,a process accompanied by chemical reaction
"If a reaction involves only soldis and liquids, which of the following is true?",∆H = ∆E,∆H < ∆E,∆H > ∆E,∆H = ∆E + RT ∆n
"If \(H^+ + OH^-→H_2O\) + 13.7 Kcal , then the heat of neutralization for complete neutralization of one mole of \(H_2SO_4\) by base will be",27.4 kcal,13.7 kcal,6.85 kcal,3.425 kcal
Which of the renction defines \(∆H_f^°\) ?,\(1/2  H_{2}(g) + 1/ 2 F_ 2 (g) →HF(g)\),\(C _{(diammond) }+O_ 2 (g) →CO_ 2 (g)\),\(N _2 (g)+3H_ 2 (g)→2NH_{3}(g)\),\(CO(g) + 1/2  O_{2}(g) → CO_{2}(g)\)
The mutual heat of neutralization of 40 g NaOH and 60 g \(CH_3COOH\) will be,less than 57.1 kJ,57.1 kJ,more than 57.1 kJ,13.7 kJ
Which of the following equations correctly represents the standard heat of formation \((∆H_f^°)\) of methane?,\(C(graphite) + 2H_{2}(g) = CH_{4}(g)\),\(C (diamond) + 2H_{2}(g) = CH_{4}(g)\),\(C(graphite) + 2H_{2}(g) = CH_4(l)\),\(C(graphite) + 4H = CH_{4}(g)\)
Values of heats of formation for \(SiO_2\) and MgO are -48.4 and -34.7 kJ respectively . The heat of the reaction \(2Mg + SiO_2→2MgO + Si\) is,- 21kJ,21.16 kJ,-13.62 kJ,13.6 kJ
The law formulated by Nernst is,third law of thermodynamics,first law of thermodynamics,second law of thermodynamics,both (a) and (b)
According to Hess's law,the enthalpy change of a given chemical reaction is same whether the process takes place in one or several steps,\(K _p =K _c ×(RT) ^ {∆n}\),∆H is always positive,none of the above
Hess's law of heat summation includes,initial reactants and final products,initial reactants only,final products only,intermediates only
Hess's law of constant heat of summation is based on,first law of thermodynamics,E = mc²,conservation of mass,none of the above
"For the transition 

C(diamond) →C(graphite) ; ∆H = -1.5 KJ 

It follows that",graphite is more stable than diamond,diamond is exothermic,graphite is endothermic,diamond is more stable than graphite
"The densities of graphite and diamond at 298 K are 2.25 and 3.31 g \(cm^{-3}\) respectively. If the standard free energy difference (∆G°) is equal to 1895 J \(mol^{-1}\) , the pressure at which graphite will be transformed into diamond at 298 K is",9.92 × 10⁸ Pa,9.92 × 10⁷ Pa,9.92 × 10⁶ Pa,9.92 × 10⁵ Pa
The heat of formation of CO and \(CO_2\) are -26.4 kcal and -94.6 kcal respectively. Heat of combustion of carbon monoxide will be,-68.2 kcal,+26.4 kcal,-120.6 kcal,+52.8 kcal
Heat of combustion is always,negative,positive,neutral,all of these
"If at 298 K the bond energies of C - H, C - C, C = C and H - H bonds are respectively 414 , 347, 615 and 435 kJ \(mol^{-1}\), the value of enthalpy change for the reaction 

   At 298 K will be;\(H _2 C = CH_{2}(g) + H_{2}(g) → H_{3}C - CH_{3}(g)\)",-125 kJ,+250 kJ,-250 kJ,+125 kJ
Which of the following causes decrease in entropy?,Crystallisation of sucrose from solution,Rusting of iron,Conversion of ice to water,Vaporisation of camphor
"The total entropy change for a system and its surroundings increases, if the process is",irreversbile,reversible,exothermic,endothermic
The maximum efficiency of a steam engine operating between 100 ⁰C and 25 ⁰C is,20%,22.2%,25%,30%
Which of the following is true for the reaction \(H_2O(l)⇔H_2O(g)\) at 100 ⁰C and 1 atmosphere?,∆H = T∆S,∆S = 0,∆H = 0,∆H = ∆E
