question,answer,wrong1,wrong2,wrong3
According to pulsation theory the universe relax & contract at the time,8 billion yrs,8 million yrs,8 trillion yrs,"80,000 yrs"
Two photons approach each other. Their relative velocity will be,c,2c,c/2,zero
"A charged particle has a charge q when at rest. When it acquires a velocity c/3,
its charge becomes",q,\(q\sqrt{1-(1/3)^2} \),"\(\frac{q}{\sqrt{1-(1/3)^2} } 
\)",zero
"The apparent length of a meter stick, as measured by an observer at rest when the stick is moving along its length with a velocity 86.6% of velocity of light will be",0.50 m,0.20 m,0.35 m,6.5
"If the rest mass of a particle is mo, then its mass when it moves with velocity 0.8c is",5/3 mo,6/5 mo,3/2 mo,2mo
At what velocity the kinetic energy of a particle is equal to the rest mass energy,√3c/2,c,c/2,2c/3
When a particle and its antiparticle are annihilated the energy released is E. What is mass of each particle?,\(E/2c^2\),E/c,E/2c,\(E/c^2\)
A spaceship moving away from the earth with velocity 0.6c fires a rocket away from earth whose velocity relative to spaceship is 0.6c. The velocity of the rocket as observed from the earth will be,0.88c,0.80c,0.86c,0.99c
At what speed a clock be moved so that it may appear to lose 2 minute in each hour?,\(7.7*10^7 m/s\),\(5.5*10^7 m/s\),\(6.6*10^7 m/s\),\(8.8*10^7 m/s\)
"The kinetic energy of a particle is double of its rest mass energy. Then the dynamic mass of the particle in terms of rest mass m, is",3m,2m,m,1.5m
"A proton is accelerated to a kinetic energy of 1.60 × 10^-9 J in a modern synchrotron. If the rest mass of proton is 1.67 × 10^-27kg, then increase in mass of proton is",\(1.78*10^{-26} kg\),\(0.89*10^{-26} kg\),\(3.58*10^{-26} kg\),\(3.5*10^{-26} kg\)
