question,answer,wrong1,wrong2,wrong3
If a body cools from 50 C and 49.9 C in 5 second and surrounding temperature in 30 C. The time required to cool the same body from 40 C to 39.9 C is,10 s,5 s,20 s,15 s
"If an object cools from 80 C to 70 C in one minute in the room at 30 C, the time it will take to cool from 50 C to 40 C is",3 min,2 min,4 min,5 min
The heat energy produced by radiation is proportional to,4th power o ftemperature in K,Square of temperature in K,Square root of temperature in K,Thrice power of temperature in K
Two starts A and B radiate maximum energy at 3600Å and 4800Å respectively. Then the ratio of absolute temperature of A and B is:,4:3,3:4,256:81,81:256
According to Kirchhoff's law:,A good absorber of radation is good emitter of radiation.,A good absorber of radiation is a poor emitter of radiation,A good emitter of radiation is a poor absorber of radiation.,A poor emitter of radiation is a good absorber of radiation.
It takes 5 min to cool liquid from 60 C to 40 C then the temperature after 5 min( if the temperature of the surrounding is 18 C ) is,28 C,22 C,24 C,26 C
Two stars radiate maximum energy at 320 nanometer and 400 nanometer respectively. The ratio of their Kelvin temperature is:,5:4,4:5,2:5,4:25
Two perfectly black bodies at Kelvin temperatures T and T' emit the maximum wavelength of radiation λm ad λm' respectively. Which of the following ratio ofλm/λm' is correct?,λm/λm' is inversely proportional to T/T',λm/λm' is directly proportional to T/T',λm/λm' is directly proportional to (T/T')^4,λm/λm' is inversely proportional to (T/T')^-1/4
"A black body is heated from 27 C to 127 C, the ratio of their energies of radiation is",81:256,9:16,27:64,3:4
Four rods with different radii r and length l are used to connect two reservoirs of heat at different temperatures. Which one will ocnduct most heat?,"r = 2cm, l = 1/2m","r = 1cm, l = 1m","r = 2cm, l = 2m","r = 1cm, l = 1/2m"
"Two rods A and B of different materials are welded together as shown in the figure. If their thermal conductivities are K1 and K2, thethermal conductivity of the composite rods will be",(K1+K2)/2,2(K1+K2),3/2(K1+K2),K1+K2
"A cup of tea cools from 80 C to 60 C in one minute. The ambient temperature is 30 C. In cooling from 60 C to 50 C, it will take",50 sec,30 sec,60 sec,90 sec
Transmission of heat through the actual movement of particles of medium is,Convection,Conduction,Reflection,Radiation
"If the temperature of the black body is 300K, then energy emitted is:",300^4,300^2,300,30
The heat eergy produced by radiation is proportional to,4th power of temperature in K,Square of temperature in K,Square root of temperature in K,Thrice power of temperature in K
Two stars radiate maximum energy at 320 nanometer and 400 nanometer respectively. The ratio of their Kelvin temperature is:,5:4,4:5,2:5,4:25
Four rods with different radii r and length l are used to connect two reserviors of heat at different temperatures. Which one will conduct most heat?,"r = 2cm, l = 1/2m","r = 1cm, l = 1m","r = 2cm, l = 2m","r = 1cm, l = 1/2m"
The ratio of energy emitted in the sun in between two different temeprature of 27 C and 600 K is,16,2,4,8
"A cup of tea cools from 80 C to 60 C in one minute. The ambient temperature is 30 C. In cooling from 60 C to 50 C, it will take",50sec,30sec,60 sec,90sec
"A black bodyis heated from 27 C to 127 C, the ratio of their energies of radiation is",81:256,9:16,27:64,3:4
A rod AB has a length 150cm. The temperature of A is maintained at 100 C and that of B is maintained at 25 C. Then the temperature of a point  P at a distance 50 cm from he end B wll be equal to,50 C,60 C,75 C,80 C
Transmission of heat through the actual movement of particle of medium is,Convection,Conduction,Reflection,Radiation
Two stars A and B radiate maximum energy at 3600Å and 4800Å respectively. Then the ratio of absolute temperature of A and B is:,4:3,3:4,256:81,81:256
According to Kirchhoff's law:,A good absorber of radiation is a good emitterof radation.,A good absorber of radiation is a poor emitterof radiation.,A good emitter of radiation is a poor absorber of radiation,A poor emitter of radiation is a good absorber of radiation.
It takes 5 min to cool liquid from 60 C to 40 Cthen the temperature after 5 min(if the temperature of the surrounding is 18 C) is,28 C,22 C,24 C,26 C
