question,answer,wrong1,wrong2,wrong3
"In the figure shown here, what is the equivalent focal length of the combination of lenses (Assume that all layers are thin)?",-100cm,-40c,-50cm,40cm
"A convex lens 'A' of focal length 20 cm and a concave lens 'B' of focal length 5 cm are kept along the same axis with a distance 'd' between them. If a parallel beam of light falling on 'A' leaves 'B' as a parallel beam, then the distance 'd' in cm will be",15,25,50,30
"A biconvex lens has radii of curvature, 20 cm each. If the refractive index of the material of the lens is 1.5, the power of the lens is:",+5 D,+2 D,+20 D,infinity
A lens of large focal length and large aperture is best suited as an objective of an astronomical telescope since,all of the above,a large aperture contributes to the quality and visibility of the images.,alarge area of the objective ensures better light gathering power,a large aperture provides a better resolution
An object is placed 10 cm in front of a diverging lens of focal length 20 cm. The image will be:,"Virtual, erect, diminished","Real inverted, large","Real, erect, diminished","Virtual, inverted, large"
"The convex lens has focal length 20 cm, the power is:",+5.0 D,-0.05 D,+0.05 D,-5.0 D
The equivalent focal length of two lenses is 24 cm. If one of the converging lens has 8 cm then focal length of another lens is,Diverging lens of 12 cm,Converging lens of 12 cm,Converging lens of 10 cm,Diverging lens of 10 cm
"A lens forms a real image of an object on a screen placed at a distance of 100cm from theobject. If the lens is moved by 20 cm towards the screen , another image of the object is formed on the screen. The focal length of the lens is",24cm,12cm,50/3 cm,46cm
A biconvex lens of 8 cm and 12 cm radius of curvature of refractive index 1.5 then it's focal length will be:,9.6 cm,10 cm,5cm,20 cm
Myopic eye of a person having far point 75 cm can be curved by using,Concave lens of focal length 75 cm,Convex lens of focal length 50 cm,Concave lens of focal length 25 cm,Convex lens of focal length 37.5 cm
Two lens of power 1.75 D and -1.25 D are combined to form a single lens. The focal length of combination will be,200 cm,25 cm,10 cm,50 cm
"The power of combination of convex and concave lens is 4D. If the power of convex lens is 4D, the focal length of concave lens is",infinity,-1 cm,-100 cm,40 cm
"If in a plano convex lens radius of curvature of convex surface is 10cm and the focal length is 30cm, the refractive index of the material of the lens will be",1.33,1.5,1.66,3
The power of convex lens is P1 = +6D and power of concave lens is P2 = -4D the focal length of combination is,Convex lens of 50 cm,Concave lens of 50 m,Concave lens of 50 cm,Convex lens of 50 m
A convex lens is inserted between screen and object. The size of image obtained at the screen is either 6 or 2/3cm. Then the size of the object is:,2,1/4,1/8,4
"When a convex lens having focal length 12 cm is immersed in water, its fical length becomes",48 cm,12 cm,24 cm,36 cm
Two thin lenses of focal lengths 10 cm and 20 cm are placed in contact. Its combined  focal length.,6.66 cm,40 cm,10 cm,30 cm
"When the convex lens of refractive index (µ), immersed in water of same refractive index (µ) then, its focal length is:",infinity,0,decreases,increases
An old man cannot see the object nearer than 150 cm. If he wishes to see objects up to 50 cm he should put,converging lens of f = 75 cm,diverging lens of f = 150 cm,diverging lens of f = 30 cm,converging lens of f = 150 cm
The resolving power of a telescope depends on:,diameter of objective lens,refractive index of the objective lens,the focal length of the objective lens,the magnification of the eye-piece
