question,answer,wrong1,wrong2,wrong3
Ribosomes are synthesized in:,Nucleolus,Nucleus,Cytoplasm,Mitochondria
Needle shaped crystal of colocasia are called:,Raphides,Sphaeroraohides,Cystolith,Silicate
Which has high cellulose?,Secondary cell wall,Primary cell wall,Tertiary cell wall,Middle lamella
Continuous system due to:,Tight junction,Gap junction,Plasmodesmata,Middle lamella
A plant cell has potential to develop into a full plant. This is called as:,Totipotency,Regeneration,Tissue culture,Gene cloning
Which help in Glycosidation and Glycosylation?,Golgi bodies,Mitochondria,Ribosomes,Chloroplast
Which cell organelle helps in phagocytosis or the organelle in which hydrolytic enzymes are found?,Lysosome,Mitochondria,Chloroplast,ER
Which is the function of Golgi bodies?,Secretory product,Helps in reproduction,Formation of DNA,Formation of ATP
Mitochondria and chloroplast are semiautonomous structure due to:,Have own DNA,ATP synthesis,Have catalytic property,Have cellular furnance
The ripen fruit is soft due to:,Partial solubility of pectate,Degeneration cell wall,Cellulose,None of the above
Marker enzyme of mitochondria is:,Succinate dehydrogenase,Pyruvate dehydrogenase,Alcohol dehydrogenase,Transferase
In mitochondria what is present?,Oxysome,Cisternae,Quantasome,Thylakoid
Vegetable chamelon is:,Anthocyanin,Cytochrome,Chlorophyll,Pyrenoid
Circular DNA is found in:,Mitochondria and chloroplast,Nucleus and cytoplasm,Nucleus and mitochondria,Nucleus and chloroplast
In which of the following organelles does protein synthesis and packing is done:,Endoplasmic reticulum,Lysosome,Nucleus,Plastid
Cell plate formation is initiated by:,Golgi bodies,Plastid,ER,Centriole
The layer of the cell wall that is formed soon after the cell division and is composed of calcium pectate is:,Middle lamella,Primary cell wall,Secondary cell wall,Cell coat
Prokaryotic cell is mainly different from eukaryotic cell in:,Absence of nuclear membrane,Mode of nutrition,Absence chromatin fiber,Absence of genetic material
Largest cell component is:,Mitochondria,Nucleolus,Centriole,Lysosome
Protein factory is:,Ribosome,Mitochondria,Lysosome,ER
Oxysomes is present in:,Inner membrane of mitochondria,Outer membrane of mitochondria,Thylakoid,Grana
Cytochromes are found in:,Cristae of mitochondria,Matrix of mitochondria,Lysosomes,Outer wall of mitochondria
ATP is formed inside mitochondria at:,Oxysome,Critae,Matrix,Inner membrane
Which one of the following is the largest cell component?,Mitochondria,Nucleolus,Lysosome,Centriole
The element that is not very mobile and remains fixed to mitochondria and chlorophyll is:,Iron,Potassium,Sulphur,Calcium
ATP synthesis take place in:,Mitochondria,Cytosol,Ribosomes,ER
The filaments of cilia and flagella is composed of:,Microtubules,Microfilaments,Micro-fibrils,Fibrils
Totipotency refers to the:,Potentiality of a living plant cell to grow into a new plant,Potentiality of a living animal cell to grow into a new species,Potentiality of higher plants to reproduce asexually,Fusion of gametes during sexual reproduction
Common in prokaryotes and eukaryotes:,Genetic code,Mitotic apparatus,Lysosome,Mitochondria
The point of attachment of spindle fibre in chromosome is:,Kinetochore,Secondary constriction,Primary constriction,Satellite
The electron transfer system is present in which organelle?,Mitochondria,Chloroplast,Lysosome,Cytoplasm
Golgi-complex helps in the formation of:,Carbohydrates,Zymogene,Protein,Spindle fiber
Ribosomes in prokaryotes is:,70s type,50s type,80s type,40 s type
Large number of garna occurs in:,Plastid,Ribosome,Nucleus,Mitochondria
A thick membrane that envelops the structure of chromosome is known as:,Pellicle,Matrix,Chromonemata,Chromomere
The process by which cell ingest solid food particles is:,Phagocytosis,Endocytosis,Exocytosis,Pinocytosis
The inherent capacity of a cell to regenerate a total plant is called:,Cellular totipotency,Cell fractionation,Cell maturation,Cell migration
Rubber is obtained from the following plants except:,Avena sativum,Hevea brasiliensis,Castilla elastica,Ficus elastica
The cell-wall is interrupted by minute pores called:,Plasmodesmata,Plasmalemma,Microfibrils,Microtubules
The process by which all organelle are separated from cell is:,Fractionation,Electrophoresis,Cytochemistry,Radio-biology
Which microscope would you use to examine a culture of living cells?,Phase contrast microscope,Scanning electron microscope,Transmits electron microscope,Polarization microscope
Endoplasmic reticulum is the site for:,Lipid and steroid synthesis,Carbohydrates synthesis,Vitamin synthesis,Chemotropic
A living cell drinks by the process of:,Pinocytosis,Ingestion,Phagocytosis,Lacculture
"When centromere is present on one end of chromosome, it is called:",Telocentric,Acrocentric,Metacentric,Pancreas
Mesosome which is unique characteristics of bacteria (prokaryotes) is meant for:,Respiration,Reproduction,Excretion,Digestion
Mitochondria are meant for:,All,Respiration,Fatty acid synthesis,Strong of enzymes of krebs cycle
"When all of organelles are removed from a cell, the remaining fluid like portion left is called:",Hyaloplasm,Cytoplasm,Protoplasm,None
The temperate at which protoplasm coagulates is:,60 to 70 °c,-2 to 0 °c,30 to 45 °c,4 to 10 °c
Which type of ribosome is found in prokaryotic cells ?,70s,80s,30s,50s
"In prokaryotic cells, respiration is carried by:",Mesosomes,Cytoplasm,Plasma membrane,Mitochondria
The color that is transparent to chlorophyll is:,Green,White,Yellow,Red
The part of chromosome that takes part in crossing over:,Recon,Cistron,Muton,Operon
An organelle in which respiration occurs is:,Mitochondria,Golgi bodies,Ribosomes,Chloroplast
Which one of the following has single membrane structure?,Lysosome,Nucleus,Chloroplast,Mitochondria
