question,answer,wrong1,wrong2,wrong3
Non metals are,Brittle,Malleable,Solid,Ductile
Substance that reacts with infusible impurities present in an ore to form fusible mass is called,Flux,Matte,Gangue,Slag
Malachite is an ore of,Copper,Zinc,Iron,Sodium
Arsenic is a .........,Metalloid,Non metal,Metal,None
Dolomite is the......... form of magnesium,Carbonate,Sulphate,Oxide,Chloride
Acidic flux is,SiO2,CaCO3,CaO,MgO
The process of converting hydrated alumina to anhydrous alumina is known as,Calcination,Roasting,Smelting,Cupellation
The chief ore of tin is,Cassiterite,Cerrustite,Anglesite,Cinnabar
Electolytic reduction method is used in the extraction of,Highly electropositive element,Highly electronegative element,Inert metals,Transitional metals
Froth floatation process for purification of sulphide ore is based on,Adsorption,Absorption,Reduction,Oxidation
Froth floatation process is used for the metallurgy of,Sulphide ore,Oxide ore,Chloride ore,Amalgam
An essential metal in amalgam is,Mercury,Gold,Any alkali metal,Copper
The slag obtained during the extraction of copper pyrites is composed mainly of,FeSiO3,Cu2S,CuSiO3,SiO2
The agent used to remove impurities from the ore is,Flux,Slag,Gangue,Catalyst
Acidic flux is used for removal of,Basic gangue,Basic flux,Acidic gangue,Slag
The heating of pyrites to remove sulphur is known as,Roasting,Bessemerisation,Calcination,Smelting
The waste material present in an ore (mineral) is called,Gangue,Flux,Alloy,Slag
In Aluminothermic process Al is used,As reducing agent,As oxidizing agent,To increase the volume,To lower the heat of furnace
In the extraction of copper from its sulphide ore the metal is formed by the reduction of Cu₂O with,Cu₂S,FeS,CO,SO₂
The metallurgical process in which metal is obtained in fused state is called,Smelting,Roasting,Calcination,Froth flotation
"In Goldschmidt aluminothermic process, reducing agent used is",Al powder,coke,Na,Ca
Bauxite is an ore of,Aluminium,Iron,Copper,Lead
The ore of Lead is,Galena,Calamine,Cinnabar,Magnetite
In blast furnace iron oxide is reduced by,CO,Silica,C,Lime stone
Calcination and roasting are carried in,Reverberatory furnace,Blast furnace,Muffle furnace,Open hearth furnace
Purification of aluminium by electrolytic process is known as,Hoope's process,Serpeck's process,Hall's process,Bayer's process
Which of the following metal protects itself by forming its oxide on the surface,Al,Si,Fe,Au
The chief ore of Aluminium is,Bauxite,Fluorspar,Dolomite,Cryolite
Bauxite is an ore of,Al,Ni,P,Mg
A mixture of Al(OH)3 and Fe(OH)3 can be seperated by,NaOH,HCI,NH4OH,HNO3
The most abundant metal on the surface of the earth is,Al,Fe,Ca,Hg
Silver containing lead as an impurity is removed by,cupellation,poling,lavigation,distillation
The most abundant element on earth crust is,oxygen,hydrogen,silicon,carbon
The metals occuring in the form of their compounds in nature are called,Minerals,Flux,Ores,Matrix
A naturally occurring substance from which a metal can be profitably extracted is known as,Ore,Mineral,Gangue,Flux
A mineral is known as an ore if the metal,can be produced from it profitably,cannot be produced from it,can be produced from it,is very costly
Pyrolusite is a/an,oxide ore,sulphide ore,carbide ore,not an ore
A metal never found in free state is,Fe,Au,Ag,Cu
A substance which reacts with gangue to form fusible material is called,flux,catalyst,ore,slag
The substance which is added to remove impurities is known as,flux,slag,gangue,catalyst
Which is not a basic flux ?,SiO2,CaCO3,lime,CaO
Flux is the substance used for,Removing the unwanted metal oxide,Reducing the metal oxide,Removing silica,None of these
The impurities present in the mineral are called,Gangue,Flux,Alloy,Slag
Iron ore is concentrated by,magnetic treatment,froth floatation,electrolysis,roasting
Magnetic separation is used for increasing concentration of the following,haematite,horn silver,calcite,magnesite
An ore of tin containing FeCrO4 is concentrated by,magnetic separation,froth floatation,electrostatic method,gravity separation
"For which one of the ores, froth floatation method is used for concentration",cinnabar,horn silver,bauxite,haematite
Froth floatation process is used for the metallurgy of,sulphide ores,chloride ores,oxide ores,amalgams
"In the froth floatation process for the purification of ores, the ore particles float because","their surface is hydrophobic i.e., not easily wetted by water",they are light,they bear electrostatic charge,they are insoluble
Which of the following is not concentrated by froth floatation process?,Pyrolusite,Copper pyrites,Pentlandite,Zinc blende
Which metal can't be obtained by electrolysis of its aqueous solution?,Mg,Cu,Cr,Ni
Sulphide ore of zinc/copper is concentrated by,Floatation process,Electromagnetic process,Gravity separation,Distillation
Froth floatation process for the concentration of ores is an illustration of the practical application of,adsorption,absorption,coagulation,sedimentation
The oil used in the floatation method for the purification of ores is,Pine oil,Conconut oil,Olive oil,None of these
Heating pyrites in air to remove sulphur is known as,Roasting,Calcination,Smelting,Fluxing
Calcination is the process of heating the ore,In absence of air,In a blast furnace,In presence of air,None of these
The main function of roasting is,Oxidation,To remove the volatile matter,Reduction,To make slag
A metal which is refined by poling is,blister copper,sodium,zinc,silver
The purpose of smelting an ore is to,reduce it,oxidise it,obtain an alloy,separate volatile impurities
In blast furnace iron oxide is reduced by,CO,silica,C,lime stone
Inner layer of blast furnace is made up of,fire-clay bricks,graphite bricks,silica bricks,basic bricks
"In blast furnace, maximum temperature is in",zone of combustion,zone of fusion,zone of slag combustion,zone of reduction
Calcination and roasting are carried in,reverberatory furnace,blast furnace,muffle furnace,open hearth furnace
The highest temperature is achieved in which type of furnace?,Electric,Blast,Reverberatory,Muffle
Which of the following furnaces are used for producing very high temperatures?,Electric furnaces,Blast furnaces,Reverberatory furnaces,Regenerative furnaces
"Of the following, which cannot be obtained by electrolysis of the aqueous solution of their salts ?",Mg and Al,Ag,Cu,Cr
Which of the following metals is obtained by leaching its ore with dilute cyanide solution?,Silver,Titanium,Aluminium,Zinc
Cyanide process is used for obtaining,Ag,Cr,Cu,Zn
Chromium is obtained by reducing purified chromite ore with,Aluminium powder,Red hot coke,Gaseous hydrogen,Carbon monoxide
Which of the following element is preserved in water?,phosphorus,Na,Zn,Fe
Chromium is obtained by reducing purified chromite ore with,aluminium powder,Red hot coke,Gaseous hydrogen,carbon monoxide
Which one of the following metals is extracted on smelting of its ore in blast furnace?,Fe,Na,K,Mg
Van Arkel method of purification of metals involves converting the metal to a,volatile stable compound,volatile unstable compound,non-volatile stable compound,none of the above
Nickel is purified by thermal decomposition of its,carbonyl,chloride,iodide,azide
The most electropositive metals are isolated from their ores by,electrolysis of fused ionic salts,high temperature reduction with carbon,self reduction,thermal decomposition
"In electrorefining, the impure metal is made",Anode,Cathode,Both,None
The common method of extraction of metals from oxide ores is,reduction with carbon,reduction with hydrogen,reduction with aluminium,electrolytic method
Cassiterite is concentrated by,electromagnetic separation,levigation,floatation,liquifaction
Identify the ore not containing iron,Carnallite,Siderite,Limonite,Chalcopyrites
Which of the following metals is obtained by electrolytic reduction process?,Al,Fe,Cu,Ag
Important ore of zinc is,calamine,cryolite,cassiterite,malachite
The important oxide ore of iron is,haematite,siderite,pyrites,bauxite
Cassiterite is an ore of,Sn,Cu,Si,Ca
Sulphide ores of metals are usually concentrated by froth floatation process. Which one of the following sulphide ores offers an exception and is concentrated by chemical leaching?,Argentite,Sphalerite,Galena,Copper pyrite
"Which one of the following benefication processes is used for the mineral, Al203.2H2O?",Leaching,Froth floatation,Liquation,Magnetic separation
