question,answer,wrong1,wrong2,wrong3
Which one of the following has highest electronegativity,O,Cl,N,S
The element Uranium (at. no. 92) belongs to,Inner transition element,Representative elements,Noble (inert) gases,Transition elements
Atomic radius is nearly equal in,"Cr, Mn, Fe, Co","Na, K, Cs, Fr","B, C, N, O","He, Ne, Ar, Kr"
Lithium shows diagonal relationship with Magnesium,They have same atomic radius.,They have same electromagnetic property,They have same ionization energy,They have same metallic character
The correct sequence of ionization energies are,Li<Be>B<C,Li<Be <B<C,Li<Be>B>C,Li<Be <B>C
Correct order of increasing ionization energy is,Na<P<N<Ne,Na<N<P<Ne,Rb<K<Na<Li,Na<Ne<P<N
Which of the following elements has the lowest ionization energy?,Rb,Be,Mg,Ca
Which of the following is correct order of electron affinity?,Cl>F>Br,F>Cl>Br,Br>Cl>F,F>Br>Cl
Alkali metal in each period has,Lowest ionization energy,Smallest size,Highest electronegativity,Highest ionization energy
Chemical and physical properties of an element are the function of their,Atomic number,Atomic size,Atomic energy,Atomic volume
"According to Mendeleef, properties of elements are periodic function of their",Atomic weight,Atomic number,Atomic size,Atomic energy
Variable valency is generally shown by,Transitional elements,Representative elements,p-block elements,Non metals
Iron belongs to which block of periodic table,d-block,s-block,p-block,f-block
Beryllium shows diagonal relationship with,Al,Mg,Si,Li
The ability of an atom to attract shared electron pair towards itself is called,Electronegativity,Electron affinity,Ionization potential,Reducing power
Which of the following is the most electronegative atom?,Fluorine,Oxygen,Nitrogen,Sodium
The outermost electronic configuration of most electronegative atom is,ns² np⁵,ns² np,ns¹,ns² np³
The most homogenous family in the periodic table is,Volatile metals,Alkaline metals,Alkaline Earth metals,Coinage metals
Moving from top towards bottom in periodic table,Basic nature of oxide increases,Basic nature of oxide decreases,Electronegativity increases,None of the above
Electron attracting tendency of an element is called,Electronegativity,Electron affinity,Lattice energy,Ionic potential
Newland is famous for giving,Octave law,Long form of periodic table,Law of triads,Unitary hypothesis
Increasing order of size is,\(Ca^{+2} < Cl^{-} < S^{-2} < P^{-3}\),\(Ca^{+2} < S^{-2} < Cl^{-} < P^{-3} \),\(P^{-3}< S^{-5}< Cl^{-}< Ca^{+2}\),\(P^{-3}< Cl^{-}< S^{-2} <Ca^{+2}\)
Correct order of electron affinity,CI>S>O>N,O>CI>S>N,CI>N=S>0,N>O>S> CI
In periodic table the element which comes after calcium is,Scandium,Titanium,Manganese,Cobalt
Mendeleev proposed his periodic law on the basic of,Atomic weight,Atomic number,Valency,Equivalent weight
Which of the following represents the correct order of ionic radii?,\(Li^{+}< Na^{+}< K^{+}< Rb^{+}\),\(Li^{+}> Na^{+}> K^{+}> Rb^{+}\),\(Li^{+}= Na^{+}= K^{+}= Rb^{+}\),\(Rb^{+}> K^{+}> Na^{+}> Li^{+}\)
Which of the following sequence is correct if given elements are arranged according to ascending atomic number?,"Fe, Co, Ni, Cu","Co, Fe, Ni, Cu","Fe, Ni, Co, Cu","Cu, Fe, Co, Ni"
Atomic no. 27 belongs to which block?,d,s,p,f
The character of hydrogen which is different from halogen is,Electropositive nature,Ionisation energy,Electro negativity,Reaction with alkali metals
Atomic no. of calcium is,20,11,40,19
The first attempt to classify elements was made by,Mendeleeff,Newlands,Lothar Meyer,Dobereiner
Mendeleeff's periodic law is based on,Atomic weight,Atomic number,Number of neutrons,None of these
"In the modern periodic table, elements are arranged in",Increasing atomic number,Increasing mass,Increasing volume,Alphabetically
Eka-aluminium and Eka-silicon are known as,gallium and germanium,aluminium and silicon,iron and sulphur,proton and silicon
Aluminium is diagonally related to,Be,Li,C,B
"If the valence shell electronic structure for an element is ns²np⁵, this element will belong to the group of",halogens,alkali metals,inert metals,noble gases
An atom with atomic number 21 belongs to the category of,d-block elements,s-block elements,p-block elements,f-block elements
"Chloride of an element A gives neutral solution in water. In the periodic table, the element A belongs to",first group,third group,fifth group,first transition series
Which one of the following belongs to representative element of a group in the periodic table?,Chromium,Lanthanum,Argon,Aluminium
The lightest metal is,Li,Fe,Cu,Ag
Which of the following is the smallest cation?,\(Al^{3+}\),\(Na^{+}\),\(Mg^{2+}\),\(Ca^{2+}\)
Which of the following is largest ion?,\(O^{2-}\),\(Na^{+}\),\(Mg^{2+}\),\(F^{-}\)
Which of the following is smallest in size?,\(Mg^{2+}\),\(Na^{+}\),\(Cl^{-}\),\(F^{-}\)
Which of the following is not isoelectronic?,\(Cl^{-}\),\(Na^{+}\),\(Mg^{2+}\),\(O^{2-}\)
Which one is the correct order of the size of the iodine species?,\(I^{-}> I> I^{+}\),\(I> I^{+}> I^{-}\),\(I> I^{-} > I^{+}\),\(I^{-}> I^{+}> I\)
The size of the following species increases in the order,\(Mg^{2+}< Na^{+}< F^{-}< Al\),\(F^{-}< Al < Na^{+} > Mg^{+}\),\(Al< Mg < F^{-}< Na^{+}\),\(Na^{+}< Al < F^{-}< Mg^{2+}\)
\(Al^{3+}\) has a lower ionic radius than \(Mg^{2+}\) because,\(Al^{3+}\) has a higher nuclear charge than \(Mg^{2+}\),Mg atom has less number of neutrons than Al,their electronegativities are different,Al has a lower ionisation potential than Mg atom
The energy required to remove an electron of a gaseous atom from its ground state is called,ionization energy,potential energy,electrode potential,activation energy
Which of the following elements will have the lowest first ionisation energy?,Rb,Mg,Li,Ca
The first IE of lithium will be,less than Be,greater than Be,equal to that of Na,equal to that of F
Which of the following electronic configuration corresponds to an element having lowest ionisation energy?,"1s², 2s²p⁶, 3s¹","1s², 2s²p⁶","Is², 2s²p⁵","1s², 2s²p³"
Which has maximum first ionization potential?,N,C,B,O
Which has lowest first ionization potential?,O,N,F,Ne
Which has the highest second ionisation potential?,Oxygen,Nitrogen,Carbon,Fluorine
Which one of the following elements has the highest ionisation energy?,[Ne] 3s²3p³,[Ne] 3s²3p¹,[Ne] 3s²3p²,[Ar] 3d¹⁰ 4s²4p²
Which of the following order is correct for ionisation energy?,B<Be<C<O<N,B<Be<C<N<O,B<Be<N<C<O,Be>B>C>N>O
"The correct order of second ionisation potential of carbon, nitrogen, oxygen and fluorine is",O>F>N>C,C>N>O>F,O>N>F>C,F>O>N>C
"Of the following elements, which one has the highest electronegativity?",F,I,Br,Cl
Which of the following is the most electronegative?,Flurorine,Oxygen,Chlorine,Nitrogen
The electronegativity of Be is same as that of,Al,Mg,Na,Li
Which of the following represents the electronic configuration of d-block elements,(n - 1)\(d^{0-10}\) ns²,(n-1)s² n\(d^{1-10}\),(n-1)\(d^{1-10}\) ns²np⁴,(n-1)p⁴ns²
Which one of the following elements has the maximum electron affinity?,Cl,F,Br,I
Electron affinity depends on,atomic size and nuclear charge both,atomic size,nuclear charge,atomic number
Elements of which group form anions most readily?,Halogens,Oxygen family,Nitrogen group,Alkali metals
Oxidizing action increases from top to bottom in the following order,I<Br<Cl<F,Cl<Br<I<F,Cl<I<B:<F,I<F<Cl<Br
"Which is the weakest base among NaOH, Ca(OH)2, KOH and Zn(OH)2?",Zn(OH)2,NaOH,КОН,Ca(OH)2
Variable valency is generally exhibited by,Transition elements,Gaseous elements,Non-metals,s-Block elements
Paramagnetism is exhibited by molecules,Carrying unpaired electrons,Not attracted in a magnetic field,Containing only paired electrons,Carrying a positive charge
Which of the following ion is paramagnetic?,\(Ni^{2+}\),\(Zn^{2+}\),\(Cu^{+}\),None of these
Which of the following shows highest magnetic moment?,\(Fe^{3+}\),\(Ni^{3+}\),\(Cr^{3+}\),\(Co^{3+}\)
Variable valency is due to,inert pair effect,lone pair effect,high mp,high bp
Which one of the following electronic configuration is not possible?,"1s² , 2s²2p⁷","Is², 2s²2p⁵","1s², 2s²2p⁶","1s², 2s²"
One would expect proton to have very large,hydration energy,ionization potential,radius,charge
In the long form of the periodic table all the non-metals are placed in,p-block,s-block,d-block,f-block
The long form of periodic table is based on,atomic number of the atom,shape of the atom,mass of the atom,electronegativity
The correct order of first ionization potential of the elements,Mg>Al>Na,Na>Mg>Al,Mg>Na>Al,Al>Mg>Na
Which of the following has maximum ionisation potential?,P,Mg,Si,Al
With reference to ionization potential which one of the following sets is correct?,B>Li>K,Li>K<Cs,Cs>Li>B,Cs<Li<K
Highest ionization potential is shown by,inert gases,alkali metals,transition elements,halogens
The atomic radius of elements of which of the following series should be nearly the same?,"Fe, Co, Ni, Cu","Na, K, Rb, Cs","Li, Be, B, C","F, Cl, Br, I"
The decreasing order of the size of the following ions is,\(H^{-}> Li^{+}> H^{+}\),\(Li^{+}> H^{+}> H^{-}\),\(H^{+}> H^{-}> Li^{+}\),\(H^{-}> H^{+}> Li^{+}\)
The correct order of radii is,\(F^{-}< O^{2-}< N^{3-}\),N<Be<B,Na<Li <K,\(Fe^{3+}< Fe^{2+}< Fe^{4+}\)
Which has the smallest size?,\(P^{5+}\),\(Na^{+}\),\(Mg^{2+}\),\(Al^{3+}\)
Which one of the following represents the correct order of size?,Na<Mg <K,P<Cl<Br,\(O^{2-}< F^{-}< Mg^{2+}\),\(I^{-}< I< I^{+}\)
"On going from right to left in a period in the periodic table, the electronegativity of the elements",decreases,increases,remains unchanged,decreases first then increases
"The correct order of electron affinity of B, C, N and O is",O>C>B>N,O>C>N>B,B>N>C>O,O>B>C>N
Fluorine has low electron affinity than chlorine because of,"smaller radius of fluorine, high density","smaller radius of chlorine, high density","bigger radius of fluorine, less density","smaller radius of chlorine, less density"
Which of the following is not paramagnetic?,\(Cl^{-}\),\(Be^{-}\),\(Ne^{2+}\),\(As^{+}\)
Which of the following is not paramagnetic?,\(S^{2-}\),\(N2^{-}\),\(O2^{-}\),NO
Lanthanides contraction is due to increase in,Effective nuclear charge,Shielding by 4f-electrons,Atomic number,Size of 4f-orbital
"According to modern periodic law, variations in the properties of elements is related to their",atomic numbers,atomic weights,nuclear weights,neutron-proton ratios
Increasing order of density is,Li<Na<K<Rb<Cs,Li<K<Na<Rb<Cs,Cs<Rb<K<Na<Li,K<Li<Na<Rb<Cs
The lanthanide contraction is responsible for the fact that,Zr and Hf have about the same radius,Zr and Y have about the same radius,Zr and Nb have similar oxidation states,Zr and Zn have the same oxdation state
Increasing order of electron affinity is,O<N<AI<CI,N<O<CI<Al,Al<N<O<CI,CI<N<O<Al
"Outer electronic configuration of K, Cu and Cr are respectively","4s¹ , 3d¹⁰ , 3d⁵","4s² , 3d¹⁰ , 3d⁴","4rs¹ , 3d⁹ , 3d⁴","4s¹ , 3d⁹ , 3d⁴"
Lanthanides and actinides are also called as,inner transition elements,short periods,long periods,main transition elements
Which of the following sets is of coinage metal?,"Cu, Ag. Au","Zn, Cd, Hg","Au, Ag, Zn","Li, Na, K"
The group of elements in which the differentiating electron enters the antepenultimate shell of atoms are called,f-block elements,p-block elements,s-block elements,d-block elements
Which is not soluble in water?,PbSO4,CuSO4,Bi2(SO4)3,Na2SO4
Which of the following is second most electronegative element?,Oxygen,Chlorine,Sulphur,Fluorine
"In the periodic table, metals usually used as catalysts belong to",d-block,f-block,s-block,p-block
Which is correctly arranged in increasing size?,F<O<C<Cl<Br,C<O<F<Cl<Br,Cl<Br<F<C<O,O<F<C<CI<Br
lonization energy decreases down the group due to,increase in atomic size,increase in charge,decrease in atomic size,decrease in shielding effect
Increase in atomic size down the group is due to,increase in number of electrons,increase in number of protons and neutrons,increase in number of protons,"increase in number of protons, neutrons and electrons"
The only non-metal which is liquid at room temperature is,Br2,NH3,Hg,None of these
Lanthanides contraction is due to increase in,Effective nuclear charge,Shielding by 4f-electrons,Atomic number,Size of 4f-orbital
Lanthanides and Actinides are also called as,Inner transition elements,Short periods,Long periods,Main transition elements
"In the periodic table, metals usually used as catalysts belong to",d-block,f-block,s-block,p-block
Increase in atomic size down the group is due to,Increase in number of electrons,Increase in number of protons and neutrons,Increase in number of protons,Increase in number of protons neutrons and electrons
The long form of the periodic table is based on,Atomic number,Atomic mass,Electronic configuration,Effective nuclear charge
The only metal which is liquid at room temperature is,Hg,NH3,Br2,None of these
