question,answer,wrong1,wrong2,wrong3
Moving from top to bottom in periodic table,Basic nature of oxides increases,Basic nature of oxides decreases,Electronegativity increases,None of the above
The most homogenous family in periodic table,Alkali metals,Alkaline earth metals,Volatile metals,Coinage metals
Which of the following is most electronegative,Fluorine,Oxygen,Nitrogen,Na
Which of the following acts as bridge element,Mg,Li,Na,K
The correct electronic configuration for Fe3+ ion,"1s2,2s2,2p6,3s2,3p6,3d3,4s2","1s2, 2s2, 2p6, 3s2, 3p6, 3d4, 4s1","1s2,2s2,2p6,3s2,3p6,3d3","1s2,2s2,3p6,3s2,3p6,4s2,4p3"
Isotopes have,Equal number of p+ but different number of neutrons,Equal number of p+ but different number of electron,Equal number of electron but different number of proton,Equal number of protons and equal number of neutrons
Which of the following is true for electropositive element,Has negative reduction potential,Tendency to gain electron,Has negative oxidation potential,High electron affinity
Which atom has highest ratio of unpaired electrons to pair electrons in the ground state,Boron,Nitrogen,carbon,Oxygen
Atomic radius is nearly equal in,"Cr, Mn, Fe, Co","Na, K, Cs, Fr","B, C, N, O","He, Ne, Ar, Kr"
The correct sequence of ionization energies are,Li<Be>B<C,Li<Be<B<C,Li<Be>B>C,Li<Be<B>C
Which of the following is correct order of electron affinity?,Cl>F>Br,F>Cl>Br,Br>Cl>F,F>Br>Cl
"According to Mendeleef, properties of elements are periodic function of their",Atomic weight,Atomic number,Atomic size,Atomic energy
Increasing order of size is,Ca+2<Cl-<S2-<P-3,Ca+2<S-3<Cl-<P-3,P-3<S-5<Cl-<Ca+2,P-3<Cl-<S-2<Ca+2
Eka-aluminium and Eka-silicon are known as,gallium and germanium,aluminium and silicon,iron and sulphur,proton and silicon
Which one of the folowing belongs to representative element of a group in the periodic table?,Aluminium,Lanthanum,Argon,Chromium
Which of the following is smallest in size?,Mg2+,Na+,Cl-,F-
"The correct order of second ionisation potential of carbon, nitrogen, oxygen and fluorine is",O>F>N>C,C>N>O>F,O>N>F>C,F>O>N>C
Electron affinity depends on,atomic size and nuclear charge both,atomic size,nuclear charge,atomic number
Oxidizing action increases from top to bottom in the following order,I<Br<Cl<F,Cl<Br<I<F,Cl<I<Br<F,I<F<Cl<Br
Which of the following ion is paramagnetic?,Ni2+,Zn2+,Cu2+,None of these
Which of the following shows highest magnetic moment?,Fe3+,Ni3+,Cr3+,Co3+
Variable valency is due to,inert pair effect,Ione pair effect,high mp,high bp
"On going from right to left in a period in the periodic table, the electronegativity of the elements",Increases,decreases,remains unchanged,decreases first then increases
"The correct order of electron affinity of B, C, N and O is",O>C>B>N,O>C>N>B,B>N>C>O,O>B>C>N
Fluorine has low electron affinity than chlorine because of,"smaller radius of fluorine, high density","smaller radius of chlorine, high density","bigger radius of fluorine, less density","smaller radius of chlorine, less density"
Lanthanides contraction is due to increase in,Effective nuclear charge,Shielding by 4f-electrons,Atomic size,Size of 4f-orbital
The group of elements in which the differentiating electron enters the antepenultimate shell of atoms are called,f-block elements,p-block elements,s-block elements,d-block elements
The only non-metal which is liquid at room temperature is,Br2,NH3,Hg,None of these
