question,answer,wrong1,wrong2,wrong3
1. ayurveda is related to,D. ALL OF THEM,A. MEDICINE,B. SCIENCE,C. PHILOSOPHY
2. THE MENTAL DISEASE IS RELATED TO,C. BHUT VIDHYA,A. AGATHANTRA,B. VAJIKARANTA TANTRA,D. RASAYANA TANTRA
3. KAPHA IS PREDOMINANCE OF,D. JALA+PRITHIVI,A. JALA+AKASHA,B. PRITHIVI+AKASH,C. AKASH+AGNI
4. PRANU VAYU LIE IN,C. HRIDAYA,A. SHIRA,B. UDHARA,D. VRIKKA
5. दोष कति किसिमका हुन्छ?,C. ४,A. २,B. ३,D. ५
6. सम्पूर्ण शरिरमा फौलिएको वायु कुन हो ?,व्यान,प्राण,आपान,उदान
7. आयुवेदका आठ  आंगहरुमा कुन पदैन?,भैषज्यकल्पना,ग्रह विज्ञान,जरा  विज्ञान,सल्ले तन्त्र
8. स्तन्य र आर्तव कुन उपधातु हुन?,D. रस,A. रत्त,B. मांस,C. मेद
9. सन्धि मर्मको संख्या कति हुन्छ?,C. २०,A. ११,B. ४१,D. २७
10. VIJAKARNA TRANTRA IS ALSO CALLED,A. VRISHA VIGYAN,B. BHUTA VIDHYA,C. BOTH,D. NONE
11. AGNIVESHA TANTRA WAS EDITED BY,A. CHARAKAAA,B. SUSHRUTAA,C. VAGBHATA,D. KASHYAPA
12. AGNIVESHA TANTRA IS THE OLDEST NAME OF,D. CHARAKA SAMHITA,A. MADHAVA NIDANA,B. SUSHRUTA SAMHITA,C. VAGBHATA SAMHITA
13. CHARKAA IS REGARDED AS THE FATHER OF,D. GENERAL MEDICINE,A. SURGERY,B. ENT,C. MICROBIOLOGY
15. FIRST AYURVEDA EDUCATION WAS CONDUCT IN NEPAL IN,B. 1985 B.S,A. 1885 B.S,C. 2008 B.S,D. 2029 B.S
16. SINGHA DURBAR VIDHYA KHANA WAS ESTABLISHED DURING THE PERIOD OF,C. PRATAP MALLA,A. JAY PRAKASH MALLA,B. SIDDHI NARASINGH MALLA,D. YAKSHA MALLA
"17 SWATWA, RJAA AND TAMA ARE CALLED",B. TRIGUNA,A. TRIDOSHA,C. TRISUTRA,D. ALL
18. VATA CONSIST OF PREDOMINANCE OF,C. VAYU AND AAKASH,A. VAYU AND AGNI,B. VAYU AND JAL,D. NONE
19. THE CHEMICAL PROCESS TAKING PLACE IN THE BODY IS DUE TOMANIFESTATION OF,B. PITTA,A. VATA,C. KAPHA,D. NONE OF THE ABOVE
"20. THE COMBINATION OF SHAREERA, MANA, INDRIYA AND ATMA IS",A. AAYU,B. AYURVEDA,SWASTHYA(HEALTH),ALL
21. AGADTANTRA IS RELATED TO,B. POISON,A. SEX,C. MICROBIALS,D. ENT
22. DHATTU IN THE BODY ARE FORMED BY,C. PITTA,A. KAPHA,B. OJA,D. VATA
23. THERE ARE........... TYPE OF VIPIKA,C. 4,A. 2,B. 3,D. 5
23. PARYAYA (SYNONYM) OF AYU IS,C. JIVATIM,A. DHARI,B. NITYAGA,D. ALL OF THE ABOVE
