question,answer,wrong1,wrong2,wrong3
1. PLASMA CELL FORMED IN,A .   B.  LYMPHOCYTE,B. T.  LYMPHOCYTE,C. NATURAL KILLER CELL,D.  ALL
2. HDN IS DUE TO,C. BOTH,A. RH INCOMPATIBILITY,B. ABO INCOMPTIBILITY,D. NONE
3. BLOOD GROUP SYSTEM ANTIGEN IS FOUND IN,A. RBC,B. WBC,C. PLASMA,D. PLATELETS
4. HOW MUCH AMOUNT OF CPDA IS NEEDED FOR 301 ML OF BLOOD,B. 49 ml,A. 35 ml,C. 60 ml,d. 39 ml
5. ESR not rise in,A. POLYCYTHEMIA,B. TUBERCULOSIS,C. KALA-AZAR,D. TYPHOID
6. ESR MARKELY INCREASED IN,A. TB (TUBERCULOSIS),B. KALA-AZAR,C. TYPHOID,D. MALARIA
7. POSITIVE INDERICT COOMBS TEST IS FOUND IF...........,b. FATHER IS RH+ve AND MOTHER ALSO RH -ve,A. FATHER IS RH+ve AND MOTHER ALSO RH +ve,C. FATHER IS RH-ve AND MOTHER ALSO RH +ve,D. BOTH ARE RH -VE
8. PT MAY NOT INCREASE IN,A. FACTOR VIII DEFICIENCY,B.  FACTOR VII DEFICIENCY,C. LIVER DISEASE,D. ALL
9. WHICH CLOTTING FACTOR ARE MADE IN LIVER?,"A. II, VII, IX AND X",B. II AND III,"C. IV, V, VI, VIII",D. ALL FACTOR
10. ESR IS ENCREASE IN,C. BOTH A AND B,A. CHRONIC DISEASE,B. PREGNANCY,D. POLYCYTHAEMIA
11. EXR VALUE IS EXPRESSED IN...........,B. mm/ 1st hrs,A. cm/ hrs,C. inch/hrs,d. km/hrs
12. needle is used for blood collection for transfussion purpose is size of,a. 18 GAUGE,B. 20 GUAGE,C. 21 GUAGE,D. 24 GUAGE
13. LEUKAEMIA IS:,A. UNRESTRICTED PROLIFERATION OF WBCs,b. normal condition of wbc,C. POLYCYTHEMIA,D. REDUCED NUMBER OF LEUCOCYTES
14. IMPORTANCE OF BICONCAVE SHAPE OF RBC ARE.............,D. ALL OF THE ABOVE,A. IT ALLOWS CONSIDERABLE ATTENTION OF THE CELL VOLUME WITHOUT INCREASING THE TENSION ON THE CELL MEMBRANE,B. IT CAN ACCOMMODATE  MUCH FLUID IN HYPOTONIC ENVIRONMENT,C. IT CAN EASILY SQUEEZE WHEN IT PASSES THROUGH CAPILLARY PORES
15. COMMON SITE FOR FINGER TIP FOR BLOOD COLLECTION IS,A. MIDDLE FINGER,B. INDEX FINGER,C. BOTH ARE COMMON,D. NONE
