question,answer,wrong1,wrong2,wrong3
Which one of the following is correct digital formula of hind limb of rabbit?,"0,3,3,3","0,2,2,3,3","2,2,3,4,3","2,3,3,3"
The borrow of hare is called:,Form,Warren,Barrel,Barren
Rabit eats itws own night faeces with simplified cellulose so called,Coprophagus,Coprozoic,Oviparous,None
Rabbit becomes active at the twilight called,Crepuscular,Diurnal,Nocturnal,None
Average life span of rabbit is,2-4 years,7-8 years,10-15 years,12-14 years
Rabbit has the following type of adaptation,Fussorial,Scansorial,Volant,Arboreal
The external nares in rabbit are surrounded by,Rhinarium,Hare lip,Vibrissae,Nictitating membrane
The trunk of female rabbit bears,4-5 pair of teats,4-5 tears,7-8 pairs of teats,3 pairs of teats
Digital formula of forelimb of rabbit is,"2,3,3,3,3","3,3,2,3,3","2,2,2,2","3,2,2,2"
Between the incisors and premolars of rabbit is,Diastema,Fissure,Canines,Vestibule
Number of incisors in rabbit is,6,4,8,3
Total number of teeth in rabbit is,28,24,26,32
Which of the following type of papillae is absent in man but present in rabbit ?,Foliate,Fungiform,Filliform,Circumvalate
Dental formula of rabbit is:,2033/1023,1033/2203,2123/2123,1023/2203
Jaw suspension is craniostylic in,Both a and b,Rabbit,Man,Tadpole
Eleidin is present on which skin layer of rabbit?,Stratum lucidium,Stratum corneum,Stratum germinativum,Stratum granulosum
The dividing layer of skin is,Stratum germinativum,Stratum corneum,Stratum granulosum,Stratum spinoum
Human skin pigmentation is due to,All,Melanin,Hb,Carotene
An artificial set of human teeth contains .... teeth,20,16,28,30
Dental formula of human teeth is,2123/2123,2321/2321,2102/2023,1023/2023
Dental formula of child at the age of 6,2102/2102,2123/2123,2103/2103,1023/2023
The pairs of salivary glands in human are :,3 pairs,2 pairs,4 pairs,5 pairs
Parotid gland opens through...duct in rabbit,Stenson duct,Wharton's duct,Davidson duct,None
Peyer's patches are,Lymphoid tissue,Glandular tissue,Connective tissues,Layers of cartilage
Total number of molar teeth in adult is,12,6,8,18
The wave that transmits in the intestine is called,Peristalsis,Locomotion,Pericontraction,Pro-movement
"When butter is eaten, the end product of digestion is",Glycerol and fatty acids,Nucleic acid,Starch,Glycogen
Chylomicrons are,Fat droplets coated with phoshpolipids,Undigested proteins,Undigested carbohydrates,Fat droplets coated with glycerol and proteins
Oxyntic/Parietal cells in stomach secrete:,HCl,Bile juice,Proteolytic enzymes,Lipolytic enzymes
Which part of our body secretes the hormone secretin?,Duodenum,Ileum,Stomach,Oesophagus
"At the junction of ileum and large intestine in rabbit, there is a well-marked swelling. It is called:",Sacculus rotundus,Vermiform appendix,Rectum,Colon
The large intestine in mammals consists of:,"Colon, rectum, and anal canal","Colon, jejunum, and ileum","Anal canal, rectum, and duodenum","Anal canal, rectum, and ileum"
Pancreas secretes:,"Trypsin, amylase, lipase","Amylase, insulin, lipase","Pepsin, amylase, lipase","HCl, pepsin, amylase"
