question,answer,wrong1,wrong2,wrong3
Ceruminous glands are involved in:,In external auditory means,Around anus,In eye-lids,In arm-pits
Between malleus and incys is found;,Synovial hinge joint,Synovial ball socket joint,Pivot joint,Gliding joint
Eye and ear are the example of:,Teloreceptor,Gustato receptor,Extero receptor,Intero receptor
A person who cannot see the near objects clearly is likely to use:,Convex lens,Concave lens,Bifocal lens,Cylindrical lens
What are thigmoreceptors?,Tactile hairs,Taste hair,Chemoreceptors,None
Tear from eye is drained into:,Nasal cavity,Oral cavity,Ear,Maxillary sinus
Rods and Con's assist to:,Transduce light,Focus light,Amplify light,Filter light
Meibominan glands are present in:,Eyes,Eara,Skin,Lungs
"A person (>55 years) cannot see the near objects, the defect is:",Presbyopia,Myopia,Hypermatropia,Astigmatism
"In retina, yellow spots contain:",Cones only,Rods ans cones,Rods only,None
Hensen's cell is found in:,Ear,Eye,Both a and b,Spleen
"During night when the intensity of light is low, it is detected by:",Rods,Cones,Both,Crystalline lens
The common defect of eye which develops in old age is:,Presbyopia,Glaucoma,Astigmatism,Myopia
Myopia is a defect in human eye in which the image is formed;,Infront of retina and can be corrected by using concave lens,Behind retina and can be corrected by using convex lens,Behind retina and can be corrected by using concave lens,In front of retina and can be corrected by using convex lens.
How many oblique and rectus muscles are found to move the eye ball in various direction inside the eye orbit?,Six,Two,Four,Eight
A small region on the retina of the eye which contains only cones is called:,Fovea centralis,Area centralis,Blind spot,Ora serrata
When the human comes in bright light then what will happen?,Miosis,Synthesis of rhodopsin,Mydriasis,None
Maximum refraction of light takes place at:,Cornea,Lens,Iris,Aqueos humour
The transparent lens in human eye is held in its place by;,Ligaments attached to ciliary body,Ligaments attached to iris,Smooth muscles attached to iris,Smooth muscles attached to ciliary body
One of the following is correct:,All,Semicircular canal-balancing,Cochlea-hearing,Utriculus and sacculus-balancing
In the tympanic cavity there is an aperture in which stapes is  fitted it is:,Fenestra ovalis,Foramen rotundus,Foramen triosseum,Fenestra rotundus
Ear ossicle from inner side of middle ear are:,"Stapes, incus, Malleus","Malleus, incus, stapes","Incus, stapes and malleus","Malleus, stapes, incus"
Endolymph contains white crystals of CaCO3 called:,All of the above,Otoconia,Otolith,Ear dust
Which of the following is part of middle ear?,Malleus,Cochlea,Utriculus,Sacculus
The organ of corti is a modification of:,Basilar membrane,Tectorial membrane,Reissner's membrane,Meissner's membrane
Function of eustachian tube is to:,To maintain proper air pressure in middle ear and internal ear for protecting them from damage by loud sound,Provide air to the ear ossicles,Remove dirt from the middle ear,Keep middle ear in proper shape
The damage to ear by sudden explosion is prevented by:,Eusatchian tube,Tensor tympani muscles,Stapedius muscles,All
"The structure in the internal ear which resembles a ""snail shell"" is called:",Cochlea,Organ of corti,Membranous labirynth,Ear ossicles
The sound vibration are finally exhausted in:,Fenestra rotundus,Organ of corti,Fenestra ovalis,Tympanic membrane
Which of the following structure is not related to body balance?,Organ of corti,Maculae,Crista,Ampulla
Scala media is present in:,Cochlear canal,Part of middle ear,Chamber of semicircular canal,Chamber which is related to perilymph
Ear dust is not situated in Endolymph of:,Ampulla,Utriculus,Sacculus,Endolymphatic sac
Body balance during dynamic condition is initiated by which structure:,Cupula,Otoconia,Stereocilia of crista,Kinocillium of maculae
Eustachian tube is related with:,Middle ear,External ear,Internal ear,Auditory canal
Which of the following muscles are related with middle ear?,Both a and b,Tensor tympani,Stapedius,Extrinsic and intrinsic muscles
Passage connecting middle ear with pharynx is called:,Eustachian canal,Cochlear canal,Vestibular canal,Tympanic canal
Which part of human ear plays no role in gearing as such but is otherwise very required?,Vestibular apparatus,Ear ossicles,Eustachian tube,Organ of corti
A gymnast is able to balance his body upside downeven in the total darkness because of:,Vestibular apparatus,Rectorial membrane,Organ of corti,Cochlea
Which of the following does help in amplification of sound wavew in ear?,"Tympanic membrane, Malleus, Incus, Stapes","Malleus, Incus, Stapes, Auditory cortex","Malleus, incus","Malleus, incus, stapes"
The Pacinian corpuscle present in the skin is for :,Pressure,Pain,Movement,Temperature
Animals which have well developed echolocation system like that of bats:,Whales and dolphins,Wild cat,Beavers,Primitive
Tensor tympani and Stapedius muscles are found in:,Middle ear,External ear,Internal ear,External auditory meatus
