question,answer,wrong1,wrong2,wrong3
The rate of reaction is double for every 10°C rise in temperature. The increase in reaction rate as a result of temperature rise from 10° to 80°C is,128,512,256,614
Rate determining step is,Slowest step of chemical reaction,Fastest step of chemical reaction,Activation energy,Threshold energy
What is the unit of rate constant of 1st order reaction,Sec-1,MolL-1sec-1,L-1molsec-1,molL-1
"If concentration is measured in mole/litre, then unit of rate, constant of first order reaction is",Time-1,molL-1T-2,molL1T2,mol-1LT-1
Initial concentration of compound is 0.08. It's half life is 10 minute after. Sometimes it's concentration remained what is 0.01. Find the time taken,30 minutes,20 minutes,7.5 minutes.,40 minutes
A catalyst changes,Activation energy of reaction,Thermal energy of reaction,Equilibrium constant of reaction,Equilibrium position of reaction
Half life of first order reaction is,Independent of concentration of reactant,Directly proportional to concentration of reactants,Inversely proportional to concentration of reactants,Inversely proportional to square of concentration of reactants
Activation energy is,Energy difference between reactants and activated complex,Energy difference between reactants and products,Energy differences between products and activated complex,Energy of reactants before reaction
Radioactive decay is,First order kinetic,zero Order kinetics,Second order kinetics,Third order kinetics
Half life of a reaction is independent of initial concentration,First order kinetics,Zero order kinetic,Second order kinetic,Third order kinetic
Arrhennious factor K is proportional,Independent of temperature,Directly to temperature,Square of temperature,Inversely to temperature
"The half life of reaction is 40 years.On doubling The concentration, its half life reduces to 20 years. The order of reaction is",2,0,1,3
"A substance decomposes according to zero order kinetics, if the rate constant is 'K' and the initial concentration is 'a' then, the half life will be",a/2k,ak/2,K/2,1/ak
Catalyst accelerates reaction because,It lowers the activation energy,It increases the activation energy,It forms complex with one of the reactant,It brings the reactant closer
The activity of radioactive sample decreases to 12.5% in 90 days. The decay constant is,0.02308 day-1,0.1 day-1,0.03 day-1,0.0032day-1
"If the rate of reaction becomes twice every 10°C rise in temperature, by what factor the rate of reaction increases when the temperature is increased from 25°C to 75°C",32,10,16,64
"Rate of reaction (R) = K[A]x [B]y, if the concentration of both A and B is double rate increase by 8 times and if concentration of B is increase the rate increase by 2 times than the order of reaction is",3,0,1,2
"75% of substance decays in 32 minutes, then 50% decays in",16 minutes,24 minutes,8 minutes,32 minutes
Half life of following reaction is independent of initial concentration,1st order reaction,Zero order reaction,2nd order reaction,3rd order reaction
The rate equation of a reaction is given by R =k[A]1/2[B]3/2 what is the overall order of reaction,2,1/2,3/2,3
"The rate constant of zero order reaction is K and the initial concentration is a, the half life of the reaction will be",a/2k,1/ak,k/2,ak/2
The efficiency of an enzyme in catalysing a reaction is due to its capacity to,Decrease the activation energy,Decrease the bond energies of the substrate molecule,Change the shape of substrate molecule,Form a strong enzyme substate complex
The rate of zero order reaction is independent of the,Concentration of the reactants,Temperature of the reaction,Concentration of the products,None of this
"In a reaction, a catalyst",Alters rate of reaction,Increases rate of reaction,Decreases rate of reaction,Initiates the reaction
The rate of reaction depends upon...... of the reactant,Active mass,Atomic weight,Molecular weight,Equivalent weight
"A catalyst increases the rate of a chemical reaction, by",Decreasing the activation energy,Decreasing the free energy,Decreasing the heat of reaction,Increasing the average speed of reacting molecules
A first order reaction is half complete in 40 minutes. The time required for completion of 75% of reaction is,80 minutes,60 minutes,100 minutes,160 minutes
The half life is independent of initial concentration in which reaction,First order,Zero order,Second order,Third order
The half life of a zero order reaction is,Proportional to the initial concentration of the reactant,Independent of the initial concentration of the reactant,Inversely proportional to the initial concentration of the reactant,Proportional to the square of the initial concentration of the reactant
The half life of a second order reaction is,Inversely proportional to the initial concentration of the reactant,Independent of the initial concentration of the reactant,Proportional to the initial concentration of the reactant,Proportional to the square of the initial concentration of the reactant
A catalyst speed up a chemical reaction by,Providing alternative reaction path of lower activation energy,Increasing the activation energy,Shifting the equilibrium towards the side of product,Increasing the reaction enthalpy
"The chemical reaction
A+2B=C + D

Is found to be first order with the respect to A and first order with respect to B.The rate of equation is",r=[A][B],r=k[A] [D],r=k[B][C],r=k[A][B]2
The average minimum energy that must be associated with the reactant molecules in order to be capable of forming product,Threshold energy,Activation energy,Collision energy,Transition energy
"The rate of reaction is 5.4×10-3 Mol L-1 S-1 then, order of reaction is",Zero,One,Two,Three
The rate constant of a chemical reaction is changed If,The reaction temperature is changed,The reactant particle size is changed,The initial concentration of reactant is changed,The product concentration is increase
The order of reaction is,Some of power of concentration of the reactant is on which rate depends,Sum of stoichiometric coefficient of all reaction,Sum of stoichiometric coefficient of all reactants on which rate depends,Sum of power of concentration of all the reactant
The rate of reaction doesn't depend on,Concentration of product,Concentration of reactant,Suitable catalyst,Temperature
The half life of a reaction is 20 minutes. The reaction will be completed after,Infinite time,20 minutes,40 minutes,40 hours
