question,answer,wrong1,wrong2,wrong3
The total no. of electrons in 1 molecule of CO2 is,22,44,24,28
"The vapour density of X is 4 times that of Y. The molecular mass of X is M, then that value of Y is",M/4,4M,M/2,M
The number of molecule of CaCO3 that remains if 1 mole of CaCO3 is allowed to react with 1 mole of HCL are:,3.01 x 1023,1.2 x 1024,6 x 1024,6.02 x 1024
"60 gram of a compound on analysis produced 24 gm carbon, 4 gm hydrogen and 32 gm oxygen. The empirical formula of compound is:",CH2O,CH2O2,CH4O,C2H4O2
How many moles of CO2 are present in 220 mg?,0.005 mole,5 moles,0.05 moles,0.5 moles
6g of carbon is completely oxidized to carbon dioxide then amount of carbon dioxide liberated at NTP is:,11.2 Lt.,22.4 Lt.,5.6 Lt.,44.8 Lt.
3.34 g of an oxide 'X' of atomic weight 127 contains 2.54 g of X. It's formula should be:,X2O5,X2O3,X2O4,X2O7
6 gm of carbon is completely burnt in a large excess of oxygen. The volume in litres of CO2 formed at STP is:,11.2,5.6,8.0,16.2
"In an organic compound 78.6% carbon, 8% Hydrogen, 12% Nitrogen. Find the empirical formula of the compound.",C7H9N,C2H5N,CH2N,C3H7N
How many moles of HCL reacts with one mole of KMnO4?,8 moles,3 moles,6 moles,5 moles
"An oxide of nitrogen has molecular weight 30, the total number of electron in one molecule of the oxide is:",15,7,8,30
Atomic weight is fractional due to:,Isotopes of the same element,Protons and neutrons,"Protons, neutrons and element",All of the above
The vapour density of a gas is 11.2. The volume occupied by 11.2gm of the gas at NTP would be….. Litres.,11.2,22.4,44.8,5.6
The law of multiple proportion is illustrated by:,SO2 and SO3,NaBr and HBr,11H2O and 12H2O,NaOH and KOH
The equivalent weight of an element is 4. The vapour density of its chloride is 60. The valency of element is,3,7,5,6
A balance equation is in accordance with,Law of conservation of mass,Law of gaseous volume,Avogadro's law,Law of constant proportion
The number of grams of oxygen required for complete combustion of one mole of butane gas is,208 gm,416 gm,13 gm,6.5 gm
The no. of mole in 1.53 gm of hydrogen  peroxide is,0.045 moles,0.45 moles,5.20 moles,0.09 moles
0.4 mole of hydrogen is made to react with seven gm of chlorine. The volume of HCL gas formed at NTP will be,4.48 L,2.24 L,1.12 L,8.96 L
0.16 g of an organic compound on complete combustion produces 0.44 g of carbon dioxide. The percentage of carbon in the compound is,75,16,44,60
1gm mole of hydrogen is burned in the presence of 32 gm of oxygen. The weight of water formed will be,18 gm,27 gm,36 gm,9 gm
Which of the following methods is used for the determination of molecular weight?,Victor Meyer's method,Hydrogen displacement method,Dulong and Petit's method,Oxide formation method
"The specific heat of a metal is 0.093 cal/°C, then its molecular wt is",68.8,9.3,93,60
Avogadro's hypothesis relates,volume of a gas with number of molecules,volume of a gas with its partial pressure,mass of a gas with kinetic energy of the molecules,rate of diffusion of gas with its molecular weight
The number of millimoles of HCL contained in 100 ml. of 0.2M HCL solution is,20 millimoles,50 milllimoles,100 millimoles,200 millimoles
The value of 'X' in an organic compound with molecular formula CxH12 having vapour density 42 is,6,3,4,8
