question,answer,wrong1,wrong2,wrong3
"FeSO4 + KMnO4 + H2SO4 → Fe2(SO4)3 + MnSO4 + H2O , which is reduced:",Mn,Fe,S,O
One mole of Sn(2+) reduces ....moles of K2Cr207,1/3,3,2,1/2
The oxidation number of S in SO4(2–),+6,–6,–8,+8
In a reaction: Ag+ H2SO4 → Ag2SO4 + SO2 + H2O. Here H2SO4 acts as,Oxidizing agent as well as acid,Reducing agent as well as acid,Dehydrating agent,Acid as well as catalyst
Co-valent character of a transition metal increases with,Increase in oxidation state,Decreases in ionisation energy,Decrease in oxidation state,Increase in ionization energy
A solution of sulphur dioxide in water reacts with hydrogen sulphide precipitating sulphur where sulphur dioxide acts as:,An oxidising agent,An acid,A catalyst,A reducing agent
"In which of the following reactions, H₂ is acting as an oxidizing agent?",Ca+ H2 → CaH2,H₂+ Cl₂→ 2HCI,N2 + 3H2 → 2NH3,CuO+ H2 → Cu + H2O
Highly pure dilute solution of sodium in liquid ammonia acts as:,Reducing agent,Oxidizing agent,Dehydrating agent,Catalyst
"When ethanol is converted by acidified potassium dichromate to CH3CHO, it is",oxidation,elimination,reduction,rearrangement
When SO₂ reacts with potassium iodate then the oxidation number of iodine changes from,+5 to 0,+5 to -1,-5 to 0,+7 to -1
Which of the following is a reducing agent?,Glucose,Sucrose,Fructose,Glycogen
"When C2H2OH is treated with acidic K2Cr2O7, it forms CH3CHO. It is an example of:",Oxidation,Hydrolysis,Reduction,Rearrangement
The strongest oxidizing agent of the following is:,03,02,Br2,Cl3
KMnO4 + KCl + H2SO4 → K2SO4 + MnSO4 + H2O + Cl2 . In this reaction which of the following reagent is reduced,Mn,K,Cl,O
The substance possessing both oxidising and reducing properties is,SO2,FeCl3,K2Cr2O7,HCI
Reduction of Aldehyde gives,Alcohol,Acid,Ester,Alkyne
When ethyl alcohol is treated with acidified potassium dichromate it forms acetaldehyde. It is an example of:,Oxidation,Molecular rearrangement,Hydrolysis,Reduction
H2S + H2O2 → S + H₂O shows,the oxidizing action of H202,the reducing action of H202,the catalytic action of H202,the oxidizing action of H2S
The reaction P + NaOH → PH3 + NaH2PO2 is an example of,Oxidation and reduction,Auto-oxidation,Oxidation,Reduction
Chlorine bleaches the substance by oxidation while SO2 bleaches by,reduction,oxidation,hydrolysis,dehydration
Oxidation is associated with,Loss of electrons,Change in atomic weight,Gain of electrons,Evolution of gas
The oxidation number of chlorine in CIO4–is,+7,+6,–7,+3
Hydrogen behaves as oxidising agent when it reacts with,Calcium to form calcium hydrde,Oxygen to form water,Sulphur to form hydrogen sulphide,Nitrogen to form ammonia
The oxidation no. of chromium in Cr2O7(2–) is,+6,+7,+3,+5
"Which substance is reduced in the following reaction ? 

2CuSO4 + 4KI → 2K2SO4 + Cu2I2 + I2",CuSO4,KI,Cu2I2,I2
"In the chemical reaction,

P + KOH + H2O → 3NaH2PO2 + PH3",P is oxidized or reduced,P is oxidized,P is reduced,H2 is oxidized
The oxidation number of sulphur in sodium thiosulphate is,2,4,3,8
