question,answer,wrong1,wrong2,wrong3
Which one of the following is a non-vascular embryophyte,Bryophyta,Thallophyta,Pteridophyta,All the above
Heteromorphic alternation of generation is commonly found in,Bryophyta,Algae,Fungi,All the above
Archesporium is,A diploid tissue responsible for the formation of sporogenous tissue,A part of archegonia,A haploid tissue responsible for the formation of gametophytic cells,None of the above
In which of the following groups would you place a plant which produces spores and embryos but lacks seeds and vascular tissue,Bryophytes,Fungi,Pteridophytes,Gymnosperms
Bryophytes are of,Great ecological importance,Great economic value,No value at all,A lot of aesthetic value
Among the following which is not characteristic feature of bryophyta,Photosynthetically independent sporophyte,Motile sperms,Presence of archegonium,Water essential for fertilization
Last stage of gametophytic generation is,Gametes,Zygote,Spore mother cells,Spores
Which one of the following is true moss,Bogg moss (Sphagnum),Club moss,Reindeer moss,Irish moss
Bryophytes differ from pteridophytes in,Lack of vascular tissue,Swimming antherozoids,An independent gametophyte,Archegonia
Elaters are present in sporogonium of],Marchantia,Riccia,Selaginella,Sphagnum
Gametophytic generation is dominant in,Bryophyta,Pteridophyta,Angiosperms,Gymnosperms
First land inhabiting plants are,Bryophytes,Angiosperms,Gymnosperms,Pteridophytes
One of the following is of considerable economic importance,Sphagnum,Riccia,Funaria,Marchantia
"Bryophytes can be separated from algae, because they",Possess archegoni,Are thalloid forms,Have no conducting tissue,Contain chloroplast
The evidence for aquatic origin of bryophytes is,Motile male gamete,Green colour,Protonema thread,Some are still aquatic
Which of the following is true about bryophytes,All of these,They possess archegonia,They contain chloroplast,They are thalloid
Bryophytes are dependent on water because,The sperms can easily reach upto egg in the archegonium,Archegonium has to remain filled with water for fertilization,Water is essential for fertilization for their homosporous nature,Water is essential for their vegetative propagation
What is incorrect for bryophytes,Gametophyte reduced and dependent,Vascular tissue lacking,Independent sporophyte absent,Asexual reproduction by zoospores absent
Female reproductive part of bryophytes is,Archegonium,Antheridium,Oogonium,Sporangium
A bryophyte which harbours a nitrogen fixing blue-green alga in its thallus is,Anthoceros,Pogonatum,Riccia,Marchantia
"In bryophytes, which part of archegonium encloses egg",Venter,Neck,Cover cell,Neck canal cells
In Bryophyta the adult plant body is,Gametophyte,Sporophyte,Epiphyte,Sporophyll
Function of elaters is,Spore dispersal,Absorption of food,Conduction of sap,To provide support
"Have capacity of absorbing water, used to replace cotton and used as a fuel is",Sphagnum,Marchantia,Riccia,Funaria
"In some of the liverworts, spore dispersal is aided by",elaters,peristome teeth,indusium,calyptra
The antherozoids of Funaria are,biflagellate,uniflagellate,multiflagellate,do not have flagella
Independent male and female gametophytes are present in,Sphagnum,Pinus,mustard,castor
Bryophytes are,Homosporous,Heterosporous,Both a and b,None
Gaametophyte is well developed in,Moss,Pinus,Maango,Mentha
Protonema is :,A juvenile stage of moss gametophyte,Sporophytic body of moss,An algal filament,Gametophyte
Chlorophyll is found in,All,Funaria,Spirogyra,Marchantia
Which of the following is an aquatic bryophytes,Riccia flutians,Anthocerous,Riccia disolor,Sphagnum
Tuberculated rhizoids are found in,marchantia,funaria,fern,none
Protonema of moss is,Hploid,Diploid,Triploid,tetraploid
Apophysis is moss capable of,Lower Part,Upper part,Middle part,Fertile part
Which is known as cord moss,Funaria,Dawsonia,Zoopis,Sphagnum
In funaria the number of peristomial teeth is,32,16,6,10
Irish moss is the common name of particular,Algae,Moss,Lichen,Fungi
The first land inhibiting plants are:,Bryophytes,peridophytes,gymnospemrs,Aniospeerms
Calyptra in funaria is formed from:,Archegonium,Antheridium,Capsule,Zygote
The number of cells in neck canal of archegonia in moss is,"6-10,uninucleated","1,binucleated","2,uninucleaed","4,binucleated"
Elaters of marchantia exhibits,Hydrochasy,Xerochasy,Mutation,Cicumnutation
Antherozoids are drawn to arhegonium by,Chemotactically,Phototactically,Thermotactically,Thinotactically
Which of the following is closely related to liverworts?,Mossess,Lichen,Algae,Fungi
A single gemma in marchantia gives rise to,2 thalli,Single thallus,4 thalli,none
A single gemma in marchantia gives rise to,2 thalli,Single thallus,4 thalli,none
A single gemma in marchantia gives rise to,2 thalli,Single thallus,4 thalli,none
Perichateium is found in,marchantia,Nostoc,mucor,funaria
Peristomial teeth help in,Discharge of spore,Protection of spores,Dispersal of seed,Dehiscence of capsule
The centre of moss axis is occupied by:,Conducting tissue,A large pith,The xylem,Red coloured cells
