question,answer,wrong1,wrong2,wrong3
Gymnosperms are regarded as naked seeded plants because,Ovary,Ovule,Seed coat,Sporophylls
Which of the following is known as living fossil?,Ginkgo,Gnetum,Pinus,Crptomeria
Ovary is absent in,Gymnosperms,Angiosperms,Both,None
Megasporophyll of gymnosperm is,Carpel,Corolla,Stamen,Female cone
Thw wood of gymnopserms consist of,Tracheids,Trachea,Wood fibres,Wood parenchyma
Chilgoza ....................is the name of seed given to the plant,conifers,Monocot,dicots,False fruit
"In the phloem of gymnosperm,the element that is not  present is",Companion cell,Sieve tube,Parenchyma,Sclerenchyma
The green leaf of cycas plant is,unipinnately compunds,Palmately compund,Bipinnately compounds,decompounds
corollloid root of cyacs is concerned with the function of,Aeration,Respiration,Reproduction,Absoprtion
Chilgoza grains are obtained from,Pinus,wheat,cycas,banyan
The corolloid roots of cycas are,Apogeotropic,Positively geotropic,Hygroscopic,Chemotropic
Corolloid roots helps in,Absorption and N2 fixation,Anchorgae,Assimilation,Mycorrhizal function
Phanerogams without the ovaries are,gymnosperms,angiosperms,pteridophytes,all the above
Inverted omega-shaped organization of vascular bundles is seen in,cycas rachis,cycas root,cycas stem,cycas leaflet
Tallest known gymnosperm is,Sequoia,Pinus,Ginkgo,Ephedra
"Though Cycas has an embryo with two cotyledons, it is not grouped under dicotyledonous plants as",ovules are naked,possesses compound leaves,has megasporophyll,resembles a palm tree
This serves as a connecting link between the angiosperms and gymnosperms,Gnetales,Coniferales,Ginkgoales,Cycadales
Pick the pair that is incorrectly matched,"Abies – wood tar, wood gas",Cycas – coralloid roots,Pinus – Mycorrhizal roots,Sequoia – Redwood tree
"An autotrophic, prokaryotic and nitrogen-fixing symbiont is present in",Cycas,Cicer,Sequoia,Pinus
Pinus,both are reproductive structures,both assist seed dispersal,both are responsible for attracting insects to pollinate,both are shiny and bright
"In Pinus, Male and Female Cones Occur:-",On Different Branches of the same plant,both assist seed dispersal,On Same Branch,None Of These
‘Saccus’ term is used for,Wings of pollen grains of Pinus,exine of pollen grains of Pinus,intine of pollen grains of Pinus,Wings of seeds of Pinus
In which of the following types of plants ovules are not enclosed by any ovary wall?,Gymnosperms,Angiosperms,Pteridophytes,Bryophytes
"In the term ‘Gymnosperm’, Sperms refer to:",Seed,Fruit,Stem,Root
The word Conifer refers to:,Cone bearer,Cone remover,Cone destroyer,Cone producer
The conifers …………………………………………………………………………… is resistant to insects and fungus.,Woods,Fruits,Flower,Seeds
Which of the following is NOT an example of Gymnosperm plants?,Marchantia,Cycas,Gingko,Pinus
"In the gymnosperms ,the xylem lacks :",Vessels,Fibres,Tracheids,Paraenchyma
Gynopserms originated in which era?,Late palaeozoic,Archaezoic,Mesozoic,Proterozoic
Gynopserms originated in which era?,Late palaeozoic,Archaezoic,Mesozoic,Proterozoic
Red wood tree is,Sequoia,Pinus,Cedrus,Dalbergia
Pollination in gymnosperm is,Anemophily,Orinthophily,Malacophily,Zoophily
pollen grain of Pinus causes,Hay fever,Bronchitis,Urine infection,Caardiac infection
Resin and turpentine are obtained from the wood of,Conifers,Cycads,Ferns,None
The tranfusion tissue is present in the leaves of,Both b and c,Dryopteris,Cycas,Pinus
Male cone of pinus is,Dwarf Shoot,Long shoot,Megasporophyllys,Vegetative leaves
The life cycle of pinus is,Haplodiplontic,Diplontic,Haplontic,Diplobiontic
Cycas is,Dioecious,Monoecious,Sterile,None
The male gametophyte of pinus is called,4 celled,10 celled,6 celled,2 celled
The number of cotyledons in Pinus seeds are:,many,2,3,1
The edible part of pinus seed is,Female gametophyte,Pericarp,Diploid Perisperm,Endosperm
In which of the following root are diomorphic?,Cycas,Pinus,Zamia,Taxus
Vegatative reproduction in cycas takes place by,Bublis,Tubers,Suckers,Rhizomes
Largest ovule is found in,Cycas,Cocos,Gnetum,Pinus
Germination of cycas ssed is,Hypogeal,Epigeal,Both a and b,None
"In gymnopserms,the seeds are naked because they lack",Pericarp,Integument,Nucellus,Perianth
