question,answer,wrong1,wrong2,wrong3
Bacteria was discovered by:,Leeuwenhoek,Linnaeus,Pasteur,Robert Koch
Modern biologists place bacteria under the kingdom:,Monera,Protista,Plantae,Fungi
Which is present in cell wall of bacteria?,All,N-acetyl glucosamine,Muramic acid,Diaminopimelic acid
Bacteria have been put in the kingdom monera because they are:,Prokaryotes,Mesokaryotic,Eukaryotes,None
The chief component of a bacterial cell wall are:,Amino acids and polysaccharides,Cellulose and chitin,Cellulose and pectin,Cellulose and carbohydrates
Bacteria resemble:,Nostoc,Mucor,Yeast,Chlamydomonas
Nuclear material in bacteria is:,Nucleic acid only,Nucleic acid and histone protein,Nucleic acid and cytoplasm,All
The bacteria first of all cultured by:,Leeuwenhoek,Louis Pasteur,Robert Koch,None
Bacteria considered to be plants because of:,Have a rigid cell wall,Cannot move,Can multiply by fission,Are present everywhere
The nuclear material in bacterial cell wall is called:,All,Nucleoid,Genophore,Chromatin body
The bacteria first of all cultured by:,Leeuwenhoek,Louis Pasteur,Robert Koch,None
Which is not the component of the bacterial wall?,Cellulose,Fats,Mucopeptide,Non-cellulose polysaccharide
Bacterial nucleoid consists of:,One ds-DNA,One ss-DNA,Two ds-DNA,Many ds-DNA
Plasmids are:,Extra nuclear genetic material of bacteria,Virus,A part of Mycoplasma,Genetic material of plants
The bacteria which cannot grow and survive without oxygen are called:,Obligate  aerobes,Facultative aerobes,Facultative anaerobes,Obligate anaerobes
Bacteria differ from fungal group in the absence of:,Cell wall of fungal cellulose,Heterotrophic nutrition,Binary fission,Absence of chlorophyll
Plasmids which can get temporarily associated with nucleoids are known as:,Episome,Nucleoid,Plasmonucleoid,Nucleosome
Folds of plasma membrane in bacteria cells are known as:,Mesosomes,Episomes,Sphaerosomes,Ribosomes
Bacteria lacks:,Mitochondria,Cell wall,Plasma membrane,Ribosomes
"In bacteria, site of region is:",Mesosomes,Cytoplasm,Mitochondria,All
"In bacteria, oxidative enzymes are found in:",Mesosomes,Episomes,Sphaerosomes,All
Types of ribosomes in bacteria is:,70s,80s,40s,50s
Bacteria differ from virus in the presence of:,Cytoplasm,True nucleus,Causing diseases,All
The function of mesosomes is:,Respiration,Reproduction,Both a and b,None
Bacteria and yeast differ from each other in that:,Both are prokaryotic,Both are capable of causing fermentation,Both are plants,Both are unicellular
The bacteria which grow best as aerobes in oxygen but can grow without oxygen also are:,Facultative anerobes,Facultative aerobes,Obligate aerobes,Obligate anaerobes
Pilli in bacteria is used:,Sexual contact,Asexual reproduction,Prey hunting,Locomotion
The flagella of bacteria is made up of:,Protein,Amines,Lipid,Carbohydrates
The main difference between gram positive and gram negative bacteria is of:,Cell wall,Composition of protoplasm,Occurrence of free cations and anions,Genophic and physiology
"Generally, virulent and more pathogenic bacteria are:",Gram -ve,Gram + ve,Both,None
Pilli are essentially present in:,Gram -ve bacteria,Gram +ve bacteria,Both,None
Heating of milk and other substances at 65°c ans their sudden cooling is known as:,Pasteurization,Sterilization,Preservation,Fermentation
Gram positive bacteria differ from gram negative bacteria in having:,Thicker wall,Simpler wall,Complex wall,Wall without lipid
Pasteurization of milk occurs at:,62.8°c for 30 min,61.8°c for 20 min,62.8°c for 1 hour,None
Pasteurized milk is:,Free from pathogenic bacteria,Not free from bacteria,Sterile and will not turn sour under any condition,None
Gram +ve bacteria have:,All,Thick anomogenous cell walls,As much as 80% peptidoglycan molecules,Either nodes or less than 20% lipid
Pasteurized milk is :,Free from pathogenic bacteria,Not free from bacteria,Sterile and will not turn sour under any condition,None of the above
Bacteria which are smallest in size are:,Cocci,Vibrio,Bacilli,Spirilla
The gram +ve bacteria:,Lack pilli,Have thin wall,Are resistant to lysosomes,None
What is the general shape of bacteria?,Rod shaped,Spherical,Spiral,Comma
The main function of bacterial cell wall to:,Prevent from bursting,Protect the internal structure of cell,Control movement of substances in and out of the cell,Provides shape to the cell
The curved or comma shaped bacterium of cholera is termed:,Vibrio,Coccus,Bacillus,Spirillum
Endospore formation generally occurs in:,Bacillus form,Coccus form,Spirillum,Vibrio form
The cell wall of bacterium is made up of:,Peptidoglycan,Cellulose,Hemi cellulose,Lignin
A spherical bacterium is termed as:,Coccus,Vibrio,Bacillus,Spirillum
Niesserid is:,Gram -ve cocci,Gram +ve rod,Gram -ve rod,Gram +ve cocci
Denitrifying bacterium convert:,Nitrate to free nitrogen,Nitrogen to free ammonia,Ammonia to nitrate,Nitrite to nitrate
Bacteria without flagella are known as:,Atrichous,Monotrichous,Peritrichous,Lophotrichous
A free-living bacterium capable of fixing atmospheric nitrogen is:,Azotobacter,Streptococcus,Staphylococcus,Nitrobacter
