question,answer,wrong1,wrong2,wrong3
Glycolytic pathway from Glucose to pyruvic acid involves 10 rxn. Each individual reactions needs?,One molecule of specific enzyme,One molecules of ATP,One molecule of ADP,One molecule of NAD
Respiration is?,Catabolic + Exergonic,Anabolic + Exergonic,Catabolic + Endergonic,Anabolic + Endergonic
Which one performs both respiration and photosynthesis?,Mesophyll,Root cells,Ovum of angiosperm,Xylem parenchyma
How many molecules are used of O2 and CO2 comes out during glycolytic breakdown of one glucose molecule?,36:6,1:2,2:1,0:0
What will happen to glycolytic pathway if a cell runs completely run out of ATP?,Glycolysis will stop as first and third steeps need ATP,Glycolysis will speed up,Glycolysis will be slowed down,Glycolysis will increase as energy will be supplied by NADH2
"For glycolysis to continue, all cells require?",NAD+,O2,Mitochondria,ETS
"In alcoholic fermentation, NAD+ is produced during the?",Reduction of acetaldehdye to ethanol,Oxidation of glucose,Oxidation of pyruvate to acetyl CoA,Hydrolysis of ATP to ADP
Which of the following cellular metablic processes can occur in presence or absence of O?,Glycolysis,Fermentation,TCA cycle,ETS with chemo-osmosis
"If O absent, yeast cells breaks glucose to?",C2H5OH + CO2,CO+H2O,CO2+lactic acid,CO2+Pyruvic acid
NAD+ is?,Oxidizing agent,A protein,Reducing agent,Formed in aerobic conditions
Respiration is,Anabolic and exothermic,Anabolic and endothermic,Amphibolic,Catabolic and exothermic
Site of aerobic respiration in the cell is,Mitocholdria,Chloroplast,Vacuole,Cytoplasm
Site of anaerobic respiration is,Cytoplasm,Chloroplast,Vacuole,Mitochondria
"In Bacteria, organelle concerned with respiration is",Mesosome,Episome,Plasmid,Cytoplasm
General equation for aerobic respiration is,,,,
Respiration results in,Decrease in weight,Increase in weight,No change in weight,None of the above
The form of biological energy used in respiration is,Chemical,Electrical,Mechanical,Radiant
Raw material for respiration is,Glucose + O2,Glucose + CO2,Glucose,Sucrose
The process of respiration in green plants takes place,At all times,Only when stomata are open,Only when photosynthesis ceases,Only when photosynthesis is in progress
Most common respiratory substrate is,Glucose,Sucrose,Fructose,All
End product of aerobic respiration are,CO2 + H2O + energy,Citric acid,Pyruvic acid,Energy
Oxidative phosphorylation occurs during,Respiration,Photosynthesis,Glycolysis,N2 fixation
Which of the following steps is common between Aerobic and Anaerobic respiration?,Glycolysis,TCA/Kreb's cycle,ETS,Photooxidation
