question,answer,wrong1,wrong2,wrong3
"On reaction with Baeyer's reagent, ethylene and acetylene form",Ethylene glycol and oxalic acid,Formic acid and acetic acid,Oxalic acid and ethylene glycol,Acetic acid and formic acid
,Propene,Propane,Propanal,Propyne
,NCCH2CH2CN,CH3CH2CN,BrCH2CH2CN,BrCH=CHCN
Ethylene and acetylene can be separated by,Ammonical AgNO3,Alkaline KMnO4,Fehling's solution,Tollen's reagents
Cracking of hydrocarbon is the process in which,Higher boiling hydrocarbons are changed into lower boiling hydrocarbons by the application of heat,Lower boiling hydrocarbons are changed into higher boiling hydrocarbon,Production of petroleum from crude oil,Separation of small hydrocarbon from their mixture
The gas obtained by adding water on aluminum carbide is,Methane,Ethyne,Ethane,Ethene
"A metallic carbide on reaction with water gives a hydrocarbon which readily burns in oxygen and it gives Tollen's test, the hydrocarbon is",Ethyne,Methane,Ethane,Ethene
,Wurtz-fittig's reaction,Wurtz's reaction,Sandmayer's reaction,Friedel craft's reaction
"A mixture of methane, ethylene and acetylent passed through ammonical Cu2Cl2 solution in a tube. Then the mixture of gases coming out the tube is",Methane and ethylene,Methane and acetylene,Ethyene and acetylene,Acetylene
The catalytic oxidation of ethylene using silver catalyst produces,Epoxy ethane,Formaldehyde,Glyoxal,Ethylene glycol
Ethyne with Bayer's reagent gives out,Oxalic acid,Formic acid,Acetaldehyde,Thiopentene
Markownikof's rule governs the addition of,Unsymmetrical reagent to unsymmetrical alkenes,Unsymmetrical reagent to symmetrical alkenes,Symmetrical reagent to unsymmetrical alkenes,Symmetrical reagent to symmetrical alkenes
Which of the following has more acidic character,Acetylene,Methane,Ethylene,Ethane
Formaldehyde is obtained from ethylene by,Ozonolysis,Oxidation by KMnO4,Oxidation by HNO3,Oxidation with air using Ag-catalyst
Major constituent of Marsh gas is,CH4,C2H2,H2S,CO
"A compound on ozonolysis forms two molecules of HCHO, the compound is",C2H4,C2H2,C2H6,C6H6
Alkanes are represented by general formula.,\(C_{n}H_{2n+2}\),\(C_{n}H_{2n}\),\(C_{n}H_{2n-1}\),\(C_{n}H_{n+1}\)
The no. of isomer of \(C_{6}H_{14}\),5,6,7,4
Propane on strong heating will yield,Methane and ethene,2 Molecules of \(CH_{4}\),Ethane and methane,Methane and ethane
........is obtained when ethyl chloride is heated in presence of alcoholic KOH,Ethylene,Butane,Ethyne,Acetylene
Which of the following is formed when acetylene is passed through hot Fe tube,Benzene,Ethylene,Ethane,Cyclohexane
Hydrolysis of calcium carbide yield,Ethyne,Methane,Ethane,Acetic acid
The compound which will give only acetaldehyde on ozonolysis is,2-butene,1-butene,ethene,propane
