question,answer,wrong1,wrong2,wrong3
Which of the following Is an aromatic compound?,Antliracone,Benzene hexachloride,Cyclohexene,Cyclobutadiene
Which of the following Is an aromatic compound?,Furan,Benzene hexachloride,Cyclo propane,Cyclohexene
Which of the following is homocyclic aromatic compound?,Anthracene,Benzene hexachloride,Cyclohexene,Furan
Which of the following is heterocyclic aromatic compound?,Furan,Benzene hexachloride,Anthracene,Cyclohexene
Which of the following is heterocyclic aromatic compound?,Furan,Benzene hexachloride,Anthracene,Cyclohexene
Which of the following is an aromatic heterocyclic compound?,Pyrrole,Pyrrolidine,Epoxyethane,Dioxane
Which of the following is/are alicyclic heterocyclic compound ?,All,Tetrahydrofuran,Tetrahydropyrrole,Tetrahydrothiophene
Which of the following is not a carbocyclic compound?,Thiophene,Cyclopentane,Naphthalene,Benzene
An example of alicyclic compound is,Cyclohexane,Benzene,Hexane,Furan
Which of the following does not contain fused benzene rings?,Diphenyl,Naphthalene,Anthracene,β-Naphthol
A compound with molecular formula \(C_4H_4O\) has all the four carbon atoms and the oxygen atom in the ring. It also has two double bonds. The compound is,Heterocyclic and aromatic,Homocyclic and aromatic,Homocyclic but not aromatic,Heterocyclic but not aromatic
Vinyl carbinol is,HO–CH2CH=CH2,CH3CH(OH)=CH2,CH3CH=CH-OH,CH3–C(CH2OH)=CH2
Aromatic character of benzene is proved by,All of the above,Resonance theory,Aromatic sextet theory,Orbital theory
Which of the following is an aromatic compound?,All are aromatic,Furan,Anthracene,Pyridine
Which of the following is not a carbocyclic compound?,Piperidine,Cyclopentane,Naphthalene,Benzene
Which of the following is not an aromatic species?,Cyclo octatetraene,Tropylium cation,Cyclopentadienyl anion,Benzene
An aromatic molecule will:,all,have (4n+2)π electrons,be planar,be cyclic
Organic cyclic compounds possessing the properties of aliphatic compound is,Alicyclic,Aromatic,Cyclic,Homocyclic
Heterocyclic compound means:,cyclic carbon with at least one element other than carbon,is a chain of C-C compound,is a cyclic compound of carbon,more than one benzene ring attached to each other
IUPAC name of CH3-O-C2H5 is,Methoxyethane,Dimethyl ether,Ethyl methyl ether,Methyl ethyl ether
The IUPAC name of CH3CN is,Ethanenitrile,Acetonitrile,Methyl cyanide,Cyanoethane
The IUPAC name of acraldehyde is,Prop-2-en-1-al,Propenylaldehyde,But-2-en-1-al,Propenal
The IUPAC name of CH3COCH(CH3)2,3-Methyl-2-butanone,Isopropylmethyl ketone,2-Methyl-3-butanone,4-Methylisopropyl ketone
The IUPAC name of CH3CH=CHCOOC2H5 is,Ethyl but-2-enoate,Ethyl but-l-enoate,Ethyl prop-2-enoate,None of these
The IUPAC name of tert-butyl chloride is,2-Chloro-2-methylpropane,4-Chlorobutane,2-Chlorobutane,1-Chloro-3-methylpropane
IUPAC name of CH2=CHCN is,2-Propenenitrile,Ethenenitrile,Vinyl cyanide,Cyanoethene
Which one of the following IUPAC name is correct?,3-Ethyl-2-methylpentane,2-Methyl-3-ethylpentane,2-Ethyl-3-methylpentane,3-Methyl-2-ethylpentane
IUPAC name of CH3CH=CH-C≡CH is,Pent-3-en-1-yne,Pent-2-en-4-yne,Pent-3-yn-1-ene,Pent-2-yn-1-ene
The lowest alkane which has ethyl group as substituent has IUPAC name,3-Ethylpentane,2-Ethylpropane,2-Ethylbutane,None of these
IUPAC name of methyl carbinol is,Ethanol,Methanol,Propanol,Butanol
The correct IUPAC name of C6H5COCl is,Benzoyl chloride,Benzene carbonyl chloride,Chlorophenyl ketone,Phenyl chloride ketone
