question,answer,wrong1,wrong2,wrong3
Which of the following compound when reacted with water produces Phenol?,C6H5N2Cl,C6H5-Cl,C6H5CH2Cl,C6H5-CHO
"X + H2O Heat, above 30°C    -  Phenol as one of the product, X can be",Benzenediazoniumchloride,Chlorobenzene,Bromobenzene,Aniline
Benzene diazonium chloride on boiling with dilute sulphuric acid gives:,phenol,toulene,benzoic acid,benzene
Phenol on distillation with zinc dust gives,Benzene,Benzaldehyde,Benzoic acid,Cyclohexane
When salicyllic acid is heated with Zn dust. What is the main product?,Benzoic acid,Benzene,Phenol,Toulene
"Consider the following reaction:

Phenol Zn dust  -   X    -    CHCl Anhyd. AlCl   -   Y   Alkaline KMnO4   -   Z

the product Z is",benzoic acid,benzaldehyde,benzene,toulene
Cumene is the compound used for commercial preparation of  phenol. Chemically cumene is,Isopropyl benzene,Ethylbenzene,n-propylbenzene,Methyl benzene
The compound use to manufacture phenol is,Cumene,Glycerol,Crown ether,Latic acid
Phenol reacts with PCl5 to give mainly,triphenylphosphate,p-chlorophenol,chlorobenzene,o- and p-chlorobenzene
Phenol reacts with Br2 in CCl4 at low temperature gives,o-and p-bromophenol,m-bromophenol,p-bromophenol,"2,4,6-tribromophenol"
When phenol is treated with excess bromine water. It gives,"2,4,6-tribromophenol",m-bromophenol,o-and p-bromophenol,"2,4-dibromophenol"
Phenol is treated with bromine water and shaken well to get white precipitate. The white precipitate is,"2,4,6-Tribromophenol",1-Bromophenol,"2,4-Dibromophenol","Mixture of o-,p-bromophenol"
"When phenol is treated with CHCl3 and NaOH, the product formed is",salicyaldehyde,benzaldehyde,salicylic acid,benzoic acid
Which of the following reagents can react with Phenol to produce phenolpthalein?,Pthalic anhydride?H2SO4,Ethanoic anhydride/H2SO4,"CO2,CCl4",Potassium pthalimide
Which reagent can produce salicylic acid from sodium phenoxide under suitable conditions?,CO2/dil.HCl,K2Cr2O7/H+,CHCl3/KOH,CCl4/KOH
Organic acid without a carboxylic acid group is,picric acid,ascorbic acid,vinegar,oxalic acid
Phenol on reduction with H2 in presence of nickel catalyst gives,Cyclohexanol,Benzene,Toulene,Cyclohexane
Aspirin is an acetylation product of,o-Hydroxybenzene,p-Dihydroxybenzene,o-Dihydroxybenzene,m-Hydroxybenzene acid
"C6H5OH ClCOCH3 NaOH(aq.)    -      C6H5OCOCH3

The above reaction is an example of",Acetylation,Reimer  Tiemann Reaction,Schotten Baumann Reaction,Benzoylation
Which of the following compound is known as oil of winter green ?,Phenyl benzoate,Phenyl salicylate,Phenyl acetate,Methyl salicylate
Phenol is heated with CCl4 and alkaline KOH when salicylic acid is produced. The reaction is known as,Riemer-Tiemann's reaction,Friedal-craft reaction,Rosenmund's reaction,Tischenko reaction
The reaction between phenols and benzenediazonium chloride in slightly alkaline medium at 273-278 K to give azo dyes is called,Coupling reaction,Reimer-Tiemann reaction,Cannizzaro's reaction,Kolbe's reaction
Phenol can be distinguished from ethanol by the following reagents except,Na,NaOH/I2,Neutral FeCl3,Br2/H2O
Which of the following will not be soluble in sodium hydrogen carbonate?,o-Nitrophenol,"2,4.6-Trinitrophenol",Benzoic acid,Benzenesulphonic acid
Which of the following reagents can not be used to distinguish between phenol and benzyl alcohol?,NaHCO3,FeCl3,Br2 water,NaOH
Carbolic acid is,Phenol,Phenyl benzoate,Phenyl acetate,Salol
Which one of the following compounds will be most readily attacked by an electrophile?,Phenol,Chlorobenzene,Benzene,Toulene
Which of the following compounds is resistant to nucelophilic attack by OH- ions?,Diethyl ether,Urea,Acetonitrile,Acetamide
"Given are cyclohexanol (I), acetic acid (II), 2,4,6-trinitrophenol (III) and phenol (IV). In these the order of decreasing acidic character will be",III>II>IV>I,II>III>I>IV,II>III>IV>I,III>IV>II>I
"Acidic strength of phenol, ethyl alcohol,H2O is.",Phenol>H2O>ethyl alcohol,Phenol>ethyl alc. >H2O,Ethyl alc.>H2O>Phenol,Ethyl>phenol.H2O
"C2H5OH CCl4 NaOH    -      X   Zn dust heat   -     Y  i)Na  ii) Sodalime   -     Z

In the above sequence Z is",Benzene,Toulene,Cresol,Benzol
Dows reaction involves,Nucleophilic substitution,Electrophilic addition,Nucleophilic addition,Electrophilic substitution
Which of the following compounds has the most acidic nature?,,,,
In order to get Bakelite from phenol which of the following reagent is required?,HCHO/H+ or OH-,HCHO,CHCl3/NaOH,CCl4/NaOH
"C6H5OH CCl4 NaOH  -   X Zn dust (heat)    -   Y i)Na ii) Sodalime   -   Z

In the above sequence Z is",Benzene,Toulene,Cresol,Benzol
One among the following compound will  not give effervescence with sodium carbonate,C6H5OH,C6H5CO2H,,
Which one is the most acidic compound?,,,,
,Lederer-Manasse reaction,Dakin-reaction,Ittar reaction,None of these
The intestinal antiseptic salol  is correctly represented as,,,,
