question,answer,wrong1,wrong2,wrong3
Which of the following compound does not react with metallic sodium?,CH3-O-CH3,CHCH(OH)CH3,CH3COOH,C2H5OH
"An organic compound of molecular formula C3H6O does not produce any precipitate with 2,3-dinitrophenyl hydrazine and does not react with sodium metal. This compound is",CH2=CH-OCH3,CH3COCH3,CH3CH2CHO,CH2=CHCH2OH
The C-O-C angle in ether is about,110°,180°,190°-28',105°
Ether is prepared from halide by,Dry Ag2O,ZnO,CH3Cl,Moist Ag2O
Ether is obtained from ethyl alcohol,in presence of H2SO4 at 413K,in presence of H2SO4 at 473K,in presence of H2SO4 at 383K,in presence of H2SO4 at 273K
,Williamson synthesis,Etard reaction,Gattermann-Koch reaction,Williamson continuous etherification reaction
Among the following sets of reactants which one produces anisole?,C6H5OH ; NaOH ; CH3I,CH3CHO ; RMgX,C6H5OH ; neutral FeCl3,C6H5CH3 ; CH3COCl ; AlCl3
In williamson's rxn. Methyl iodide react with sodium t-butaoxide gives:,methyl t-butyl ether,tert-butylene,dimethyl ether,Isobutylene
CH3-O-C2H5 on reaction with HI gives,methyl iodide and ethanol,ethyl iodide and methanol,CH2I-O-CHI-CH3,[CH3-OH-C2H5]I-
What products are formed when diethyl ether is treated with excess of HI and warmed?,alkyl halide and water,alcohol and alkyl halide,alcohol only,alcohol and water
"With which of the following, DImethyl ether gives two molecules of same constituents compounds",HI,H2O,KOH,KMnO4
,,,,
The heating of phenyl methyl ether with HI produces,phenol,iodobenzene,benzene,ethyl chloride
"Among the following ethers, which one will produce methyl alcohol on treatment with hot concentrated HI?",CH3-(CH3)C(CH3)-O-CH3,CH3-(CH3)CH-CH2-O-CH3,CH3CH2-CH2-O-CH3,CH3-CH2-CH(CH3)-O-CH3
