question,answer,wrong1,wrong2,wrong3
,Acetaldehyde,Acetone,Carboxylic acid,Acetic anhydrite
In cannizaro's reaction,Aldehyde is converted into alcohol,Acid is converted into amine,Alcohol is converted into aldehyde,Primary amine is converted into cyanide
Which of the following reacts with KCN to form Benzoin?,\(C_6H_5CHO\),\(C_6H_5COOH\),\(C_6H_5Cl\),\(C_6H_5OH\)
Atomic hydrogen produces formaldehyde when it reacts with,Carbon monoxide,Water,Carbondioxide,Formic acid
Which of the following can't reduce Fehling's solution?,Acetic acid,Formic acid,Formaldehyde,Acetaldehyde
Reducing of aldehyde gives,Alcohol,Acid,Ester,Alkyne
Which of the following compound is obtained by the reaction of formaldehyde and ammonia?,Urotropine,Formaldehyde ammonia,Bakelite,Aldehyde amine
Dry heating of calcium acetate gives,Acetone,Acetaldehyde,Ethane,Acetic acid
Acetone is prepared in lab by dry distillation of,Calcium acetate,Calcium formate,A mixture of calcium acetate and calcium formate,A mixture of calcium hydroxide and calcium formate
The ozonolysis of the ethylene followed by reduction with Zn dust and water gives,Formaldehyde,Formic acid,Acetaldehyde,Acetic acid
Aldehyde and Ketone are separated by,Tollen's reagent,Phenyl hydrazine,Sulphuric acid,None
Which one shows cannizaro reaction?,Benzaldehyde,Acetaldehyde,Acetic acid,Acetophenone
The compound which will give only acetaldehyde on ozonolysis is,2-butene,1-butene,Ethene,Propene
Which of the following organic compound respond to both Iodoform test and Fehling's test ?,Ethanal,Propanone,Ethanol,Methanol
When ethyl alcohol is treated with acidified potassium dichromate it forms acetaldehyde. It is an example of,Oxidation,Molecular rearrangement,Hydrolysis,Reduction
Aldehyde and Ketones are distinguished by,Fehling's solution,Ammonia,\(H_2SO_4\) solution,Alkaline \(KMnO_4\)
Formaldehyde reacts with ammonia to give,Hexamethylene tetramine,Formaline,Formamide,Methyl amine
Which of the following is produced when acetaldehyde reacts with dilute alkali ?,\(CH_{3}CH(OH)  CH_{2}CHO\),\(CH_{3}COONa\),\(CH_{3}CH_{2}OH\),None of these
Formaldehyde and acetaldehyde can be distinguished by,Iodoform test,Schiff's reagent,Fehling's solution,Ammonical \(AgNO_3\) solution
Which of the following undergoes haloform reaction?,\(CH_{3}CHOH - CH_{3}\),\(CH_3 CH_{2} -CO-CH_2CH_3\),\(CH_{3}CH_{2}CHO\),\((CH _3 ) _2 CHCHO\)
The canizzaro's reaction is not given by,Acetaldehyde,Trimethyl aldehyde,Benzaldehyde,Formaldehyde
Iodoform test is given by,2-propanone,Formaldehyde,Methanol,Propanal
Which of the following alcohol gives ketone on oxidation?,Secondary,Primary,Tertiary,All
Which homologous series is represented by the general formula \(C_nH_{2n}O\) ?,Both,Aldehydes,Ketones,None of these
Which is a mixed ketone?,Acetophenone,Pentanone-3,Benzophenone,All of these
Ozone reacts with \(H_2C=CH_2\) to form ozonide which on hydrolysis forms,methanal,ethylene oxide,ethylene glycol,ethanol
iso-Propanol on treatment with copper at 300°C forms,Acetone,Acetaldehyde,Ethane,Propylene
Calcium acetate on heating yields,acetone,acetic anhydride,acetaldehyde,methane
"On heating calcium acetate and calcium formate, the product formed is",\(CH_3CHO+CaCO_3\),\(CH_{3}COCH_{3}\),\(CH_{3}CHO\),\(HCHO+ CaCO_3\)
When propyne is treated with dil. \(H_2SO_4\) in presence of \(HgSO_4\) the major product is,Acetone,Propanal,Acetaldehyde,Butanone
Which of the following compounds gives a ketone with a Grignard reagent?,Ethanenitrile,Formaldehyde,Ethyl alcohol,Methyl iodide
During reduction of carbonyl compounds by hydrazine and KOH the first intermediate formed is,RCH = NNH₂,RC ≡ N,\(RCONH_2\),RCH = NH
Reduction of C = O to \(>CH_2\) can be carried out with,Wolf-Kishner reduction,catalytic reduction,\(Na/C_2H_5OH\),\(LiAlH_4\)
,\(C_{2}H_{5}CHO\) and HCI,\(CH_{3}CHO\) and HCI,\(CH_{3}COCH_{3}\) and HCI,\(CH_{3}COC_{2}H_{5}\) and HCI
In Stephen reduction the reducing agent is,SnCl₂/HCI,Sn/HCI,Zn/HCI,None of these
Toluene on treatment with \(CrO_2Cl_2\) gives,benzaldehyde,chlorotoluene,benzyl chloride,benzoic acid
Acetaldehyde reacts with,nucleophiles only,electrophiles only,free radicals only,both electrophiles and nucleophiles
The formation of cyanohydrin from a ketone is an example of,Nucleophilic addition,Electrophilic addition,Nucleophilic substitution,Electrophilic substitution
"The correct order of reactivity of \(CH_3CHO,C_2H_5COCH_3\) and \(CH_3COCH_3\) is",\(CH_3CHO>CH_3COCH_3>CH_3COC_2H_5\),\(C_2H_5COCH_3> CH_3COCH_3 >CH_3CHO\),\(CH_3COCH_3>CH_3CHO>C_2H_5COCH_3\),\(CH_3COCH_3 > C_2H_5COCH_3> CH_3CHO\)
"In which of the following reactions, aldehydes and ketones are distinguished?",Reaction with silver nitrate mixed with ammonia,Reaction with phenylhydrazine,Reaction with hydroxylamine,Reaction with semicarbazide
Schiff's reagent is,Magenta solution decolourised with sulphurous acid,Magenta solution decolourised with chlorine,Ammonical cobalt chloride solution,Ammonical manganese sulphate solution
Acetaldehyde reduces Fehling's solution to form,"Cuprous oxide, Cu₂O","Metallic copper, Cu","Cupric oxide, CuO",A mixture of cuprous oxide and cupric oxide
Cu₂O is,Red oxide of copper,Black oxide of copper,Copper (II) oxide,Cupric oxide
