question,answer,wrong1,wrong2,wrong3
,Acetonitrile,Ammonium acetate,\(CH_{4}\),\(CH_{3}OH\)
An organic compound ^ prime A' on treatment with silver nitrate followed by acid hydrolysis gives acetic acid. The compound 'A' is,\(C_{2}H_{5}Cl\),\(C_{2}H_{5}OH\),\(CH_{3}Cl\),\(CH_{3}COCl\)
The product of acylation is,Ethyl acetate,Acetyl chloride,Acetic anhydride,Ethyl chloride
Acetyl salicylic acid acts as,Antipyretic,Antacid,Antibiotic,Antiseptic
Aspirin is,Antipyretic,Antibiotic,Antiseptic,All
Which of the following compound is Aspirin?,Acetyl salicylate,Methyl salicylate,Phenyl salicylate,Salicylic acid
Formic acid is formed by,Oxalic acid and glycerol,Calcium formate,Calcium acetate,Calcium carbonate and calcium formate
Which of the following acid do not contain carboxyl group?,Picric acid,Methanoic acid,Ethanoic acid,Benzoic acid
The catalyst used in the hydrogenation of oil is,Ni,Pt,Pd,\(V_2O_5\)
The reaction of formic acid with conc. \(H_2SO_4\) gives,CO,\((COOH)_2\),\(CH_{3}COOH\),HCOOH
The reaction: \(CH_3COOH + C_2H_5OH\) ⇔ \(CH_{3}COOC_{2}H_{5} + H_{2}O\) is an example of,Esterification,Dehydration,Neutralization,Dehydrogenation
Acetamide will form methyl amine when treated with?,NaOH + \(Br_2\),\(PCl_5\),Sodalime,Aq. KOH
Formic acid is prepared in lab by,Heating glycerol with oxalic acid,Heating NaOH with carbon monoxide,Oxidation of formaldehyde,Dry distillation of ammonium acetate
The acid which reduces Fehling's solution is,Methanoic acid,Ethanoic acid,Propanoic acid,Butanoic acid
General formula \((RCO)_2O\) represent,An acid anhydride,An ester,A ketone,An ether
Acetamide is,Amphoteric,Acidic,Alkaline,Neutral
The general formula \(C_nH_{2n}O_2\) could be for open chain,carboxylic acids,diketones,diols,dialdehydes
Hydrolysis of hydrogen cyanide gives,formic acid,formaldehyde,acetaldehyde,acetic acid
"By aerial oxidation, which one of the following gives phthalic acid?",Naphthalene,Benzene,Mesitylene,Toluene
When benzyl alcohol is oxidised with \(KMnO_4\) the product obtained is,benzoic acid,benzaldehyde,\(CO_2\) and \(H_2O\),None of these
When acetic acid is dissolved in benzene its molecular mass,increases,decreases,either increases or decreases,suffers no change
Acetic acid dissolved in benzene shows a molecular mass of,120,30,60,240
Dimerisation in carboxylic acids is due to,intermolecular hydrogen bond,ionic bond,covalent bond,coordinate bond
"When propionic acid is treated with aqueous sodium bicarbonate, \(CO_2\) is liberated. The carbon of \(CO_2\) comes from",bicarbonate,methyl group,carboxyl group,methylene group
Which of the following forms a red coloured solution on treatment with neutral \(FeCl_3\) solution?,\(CH_{3}COOH\),\(CH_{3}COCH_{3}\),\(CH_{3}OCH_{3}\),\(CH_{3}CH_{2}OH\)
Esterification is fastest in case of,HCOOH,\(CH_{3}COOH\),\((CH_3)_2CHCOOH\),All equal
RCOOH→RCH₂OH. This mode of reduction of an acid to alcohol can be affected only by,\(LiAlH_4\),Zn/HCI,Na-alcohol,Aluminium isopropoxide and isopropyl alcohol
Acetic acid on heating with urea gives,"acetamide, carbon dioxide and ammonia",ammonium carbonate and carbon dioxide,"ammonium acetate, acetamide and \(CO_2\)",none of these
