question,answer,wrong1,wrong2,wrong3
An alkyl halide can be converted into alcohol by,Substitution,Addition,Elimination,Dehydrogenation
Nitrobenzene forms aniline by,Reduction reaction,Addition reaction,Substitution reaction,All
Nitration in benzene is,Electrophilic substitution,Nucleophilic substitution,Displacement reaction,Electrophilic addition
Th reaction of alkene with alkyl halide is an example of,Electrophilic addition reaction,Free radical reaction,Electrophilic substitution reaction,Nucleophilic substitution reaction
The typical reaction of olefinic bond is,Electrophilic addition reactions,Electrophilic substitution reactions,Nucleophilic substitution reaction,Nucleophilic addition reactioin
"The reaction 

CH2=CH-CH3 + HBr → CH3CH(Br).CH3 is",Electrophilic addition,Nucleophilic addition,Electrophilic substitution,Free radical addition
The addition of HCN to a carbonyl compound is an example of,nucleophilic addition,nucleophilic substitution,electrophilic addition,electrophilic substitution
The reaction C2H5I+KOH → C2H5OH +KI is called,nucleophilic substitution,hydroxylation substitution,electrophilic substitution,dehydroiodination
,Substitution reaction,Elimination reaction,Free radical reaction,Addition reaction
"The reaction 

CH3CH2Br +OH- → CH3CH2OH +Br- is an example of",Nucleophilic substitution,Electrophilic addition,Electrophilic substitution,Nucleophilic addition
Which of the following is a example of elimination reaction?,Dehydration of ethanol,Chlorination of methane,Nitration of benzene,Hydroxylation of ethylene
"In which of the following, hololytic bond fission takes place",Photochlorination of methae,Alkaline hydrolysis of ethyl chloride,Addition of HBr to double bond,Nitratioin of benzene
which of the following is the strongest acid?,FCH2COOH,CLCH2COOH,BrCH2COOH,ICH2COOH
The weakest acid amonf the following is,CH3COOH,CH2CLCOOH,CHCL2COOH,CCl3COOH
Which of the following is the strongest base in aq. solution?,Dmethylamine,Methylamine,Trimethylamine,Aniline
,II>I>III>IV,I>II>III>IV,III>I>II>IV,IV>I>II>III
"Amongst thr following, the most basic compound is",Benzylamine,Aniline,Acetanilide,p-Nitroaniline
The strongest base among the following is,,,,
Which of the following correctly represents the +I effect of the substituents?,O- > COO- > CR3,COO- > O- > CR3,O- < COO- < CR3,COO- < O- < CR3
Which of the following statements is correct?,+I group stabilizes a carbocation,+I group stabilizes a carbanion,-I group stabilizes a carbocation,-I group destabilizes a carbanion
No bond resonance explains the stability of the following,Free radicals,Benzyne,Carbanion,Carbenes
The order of stability of free radical is,Benzyl > Allyl > Tertiary,Tertiary > Allyl > Benzyl,Allyl > Benzyl > Tertiary,tertiary > Benzyl >Allyl
Which of the following alkenes is the most stable?,(CH3)2C=C(CH3)2,CH3CH=CHCH3,(CH3)2C=CH2,(CH3)2C=CHCH3
Among the following alkenes; 1-Butene; cis-2-Butene; trans-2-Butene. The decreasing order of stability is,III > II > I,III > I > II,I > II > III,II > I > III
which of the following carbocation is most stable,CH3CH2+,CH2=CH+,CH≡C+,C6H5+
The major product formed in dehydrohalogenation reaction of 2-Bromo pentane is Pent-2-ene. This product formation is based on?,Saytzeff's Rule,Hund's Rule,Hofmann Rule,Huckel's Rule
The non reactivity of chlorine atom in CH2=CH-Cl is due to,Resonance stabilization,Inductive effect,Electromeric effect,Dipole moment
Resonance in most of the organic molecules,incrases stability,increases reactivity,decreases stability,None of these
All bonds in benzene are equal due to,sp2-hybridization,tautomerism,I-effect,isomerism
The most acidic compound among the following is,Picric acid,Phenol,m-Cresol,p-Nitrophenol
Which has highest pKa value?,,,,
Amongst the following phenols whih is most acidic,p-nitrophenol,Phenol,o-nitrophenol,m-nitrophenol
,IV>III>II>I,IV>II>III>I,II>I>IV>III,I>II>III>IV
Which is correct order of acid strengt?,RCOOH>HOH>ROH>CH≡CH,RCOOH>CH≡CH>HOH>ROH,RCOOH>ROH>HOH>CH≡CH,RCOOH>HOH>CH≡CH>ROH
The correct orderof increaing basicity of the given conjugate base (R=CH3) is,RCOO- < HC≡C- <NH2- <R-,RCOO- < NH2- < HC≡C- <R-,RCOO- <HC≡C- <R- <NH2-,R- < HC≡C- <RCOO- <NH2-
"Order of reactivity for nitration is

a. Benzene   b.Toulene c.Chlorobenzene d.Aniline e.Nitrobenzene",d>b>a>c>e,d>b>c>a>e,a>b>c>d>e,e>d>b>b>a
Homolytic fission leads to formation of,Free radical,Carbocation,Carbanion,Carbene
Which of the following statements regarding carbocation is not true?,It is very stable,It is an organic species which has positively charged carbon,It's very reactive,CH3+ is an example of carbocation
Which of the following is electrophile?,SO3,NH3,H2O,CN-
"Out of the following, the one containing only nucleophiles is","NH3, CN-, CH3OH","ALCl3, BF3, NH3","ALCL3, NH2-, H2O","RNH2, :CX2, H-"
Which one of the following series contain electrophiles only?,"AlCl3, SO3, NO2+","H2O, SO3, H3O+","NH3, H2O, AlCl3","H2O, Cl+, NH3"
"For the reaction of phenol with CHCl3 in present=ce of KOH, the electrophile is",CCl2,CHCL2+,CHCl2,CCl4
Which is ambident nucleophile?,R-CN,R-CHO,R-COOH,R-R
Which behaves both as a nucleophile as well as electrophile?,CH3CN,CH3NH2,CH3Cl,CH3OH
Which of the following is not a Lewis acid?,CCl4,:CCl2,BeCl2,BF3
Which of the following has the highest nucleophilicity?,CH3-,F-,OH-,NH2-
Nucleophilicity order is correctly represented by,CH3- >NH2- >HO-> F-,CH3- < NH2- <HO- <F-,CH3- = NH2- >HO- = F-,NH2- > F- >HO- >CH3-
The state of hybridization of carbon atom of carbene is,sp2,sp,sp3,None of these
Which of the following compounds reacts slower than benzene in electrophilic bromination?,C6H5NO2,C6H5CH3,C6H5OH,C6H5NH2
Which of the following series contains atoms/groups having only -M(mesomeric) effect?,"NO2, CN, SO3H","COR, OR, COOR","Cl, CHO, NH2","OH, NR2, SR"
Which of the following group has the maximum hyperconjugation effect?,,,,
Which of the following alkyl groups has the maximum +I effect?,(CH3)3C-,(CH3)2CH-,CH3CH2-,CH3-
Which of the following carbocations is most stable.,,,,
