question,answer,wrong1,wrong2,wrong3
Nylon 6 6 is,Polyamide,Polysterase,Vinyl polymer,Acetic acid
PVC is formed by the polymerization of,Vinyl chloride,Allyl chloride,Fluoro ethane,Ethylene
"Polymerization of acetaldehye in presence of conc.\(H_2SO_4\), pleasant smelling paraldehyde is formed. Paraldehyde is used",As hypnotic,In perfumery,As antiseptic,Anaesthetic
Bakelite is obtained by the condensation of,Formaldehyde and phenol,Acetaldehyde and phenol,Formaldehyde and acetone,Acetone and phenol
PVC is a,Addition polymer,Condensation polymer,Copolymer,Thermosetting polymer
Polymer of Tetra-fluoroethylene is,Teflon,PVC,Dacron,Neoprene
Nylon - 6 6 is the polymer of,Hexamethylene diamine and adipic acid,Formaldehyde and phenol,Vinyl chloride,Ethylene glycol and Adipic acid
"Chemically, natural rubber consists of",Isoprene,Polyamide,Acrolein,Polyster
Starch is polymer of,Glucose only,Glucose and fructose,Fructose only,Fructose and maltose
Which of the following is an example of Thermosetting polymer?,Bakelite,Nylon 66,Polyethylene,Polystyrene
Nucleic acid is polymer of,Nucleotides,Nucleoproteins,Globulins,Nucleosides
Polyethene is an example of,Addition polymer,Condensation polymer,Thermo resisting polymer,Co-polymer
Teflon is a polymer of,Tetrafluoroethene,Difluoroethane,Monofluoroethane,Tetrafluoroethane
Which of the following is a linear polymer?,Nylon,Bakelite,Low density polyethene,Melamine-formaldehyde
Which of the following is a branched polymer,Low density polyethene,Polyester,Nylon,PVC
Which of the following is a step growth polymer?,Nylon,Polyacrylonitrile,Polyisoprene,Polythene
Soft drinks and baby feeding bottles are generally made up of,Polystyrene,Polyester,Polyurea,Polyamide
Which of the following is a fully fluorinated polymer?,Teflon,Neoprene,Thiokol,PVC
Which of the following is a chain growth polymer?,Polystyrene,Starch,Nucleic acid,Proteins
The polymer used for making contact lenses for eyes is,Polymethyl methacrylate,Polyethene,Polyethylacrylate,Nylon 6
Chain transfer reagent is,\(CCl_4\),\(CH_4\),\(O_2\),\(H_2\)
The monomer used to produce orlon is,"\(CH_{2} = CH - CN
\)",\(CH_{2} = CHF\),\(CH_{2} = CCl_{2}\),\(CH_{2} = CHCl\)
Which of the following are not thermosetting polymers?,All are thermosetting polymers,Bakelite,Melmac,Urea-formaldehyde resin
Which of the following is currently used as a tyre cord?,Nylon,Terylene,Bakelite,Polypropylene
Polymers have,average molecular weight,absolute molecular weight,low molecular weight,absolute melting point
Which is not true about polymers?,Polymers have low molecular weight,Polymers do not carry any charge,Polymers have high viscosity,Polymers scatter light
\(F_{2}C = CF_{2}\) is a monomer of,teflon,buna-S,buna-N,nylon-6
Which is a naturally occuring polymer?,Protein,Polyethene,PVC,Teflon
The product of addition polymerization reaction is,PVC,nylon,terylene,polyamide
Polymerisation in which two or more chemically different monomers take part is called,copolymerisation,addition polymerisation,chain polymerisation,homopolymerisation
The turbidity of a polymer solution measures,the light scattered by solution,the light absorbed by a solution,the light transmitted by a solution,none of the above
Orlon is a polymer of,Acrylonitrile,Styrene,Tetrafluoroethylene,Vinyl chloride
Natural rubber is a polymer of,ethylene,butadiene,isoprene,styrene
Natural rubber is a polymer of,cis-isoprene,trans-isoprene,both,none
Which one is a natural polymer?,All of the above,Proteins,cellulose,Rubber
Synthetic polymer which resembles natural rubber is,neoprene,chloroprene,glyptal,none of these
"Teflon, styron and neoprene are all",Homopolymers,Copolymers,Condensation polymers,Monomers
Terylene is a condensation polymer of ethylene glycol and,terephthalic acid,benzoic acid,phthalic acid,salicylic acid
The fibre obtained by the condensation of hexamethylene diamine and adipic acid is,nylon 66,dacron,rayon,teflon
"Synthetic polymer prepared by using caprolactam, is",nylon,terylene,teflon,neoprene
Nylon threads are made of,polyamide polymer,polyvinyl polymer,polyester polymer,polyethylene polymer
Polymer used in bullet proof glass is,Lexan,PMMA,Nomex,Kevlar
Which of the following is called a polyamide?,Nylon,Rayon,Terylene,Orlon
Polymer formation from monomers starts by,condensation between monomers,coordination between monomers,hydrolysis of monomers,conversion of monomers to ions
Cellulose is a condensation polymer of,β-glucose,maltose,α-glucose,β-fructose
Bakelite is a product of the reaction between,phenol and methanal,formaldehyde and NaOH,aniline and urea,phenol and chloroform
Which is an example of thermosetting polymer?,Bakelite,polyethene,neoprene,PVC
Which one of the following can be used as monomer in a polymerisation reaction?,\(C_3H_6\),\(CH_3CH_2Cl\),\(CH_3CH_2OH\),\(C_6H_6\)
Synthetic rubber is,poly (halodiene),polyester,polyamide,polysaccharide
The bakelite is made from phenol and formaldehyde. The initial reaction between the two compounds is an example of,aromatic electrophilic substituion,aromatic nucleophilic substitution,free radical reaction,aldol reaction
The catalyst used in the manufacture of polyethylene by Ziegler method is,titanium and tetrachloride trimethyl aluminium,titanium tetrachloride and triphenyl aluminium,titanium dioxide,titanium isoperoxide
Heating of rubber with sulphur is known as,Vulcanisation,Galvanisation,Bessemerisation,Sulphonation
"Among the following polymers, the strongest molecular forces are present in",thermosetting polymers,elastomers,fibres,thermoplastics
Which of the following is used to make nonstick cookware?,Polytetrafluoroethylene,PVC,Polystyrene,Polyethylene (terephthalate)
Which of the following contains isoprene units?,Natural rubber,Nylon-66,Polyethylene,Dacron
The compound used in the manufacture of terylene is,ethylene glycol,ethylene,vinyl chloride,adipic acid
Copolymer is,bakelite,nylon 6,teflon,polyethene
Which of the following is not an example of additon polymer?,Terylene,Polyethylene,polystyrene,Neoprene
Glyptal polymer is obtained from glycol by reacting with,phthalic acid,malonic acid,maleic acid,acetic acid
Which of the following is used in paints?,Glyptal,Terylene,Nylon,Chloroprene
Chloroprene is used in making,synthetic rubber,plastic,petrol,all of these
The common acid used in the manufacture of rayon and plastics is,ethanoic acid,methanoic acid,propanoic acid,malonic acid
Of the following which is a step growth polymer?,Bakelite,Polyethylene,Teflon,PVC
Which polymer contains nitrogen?,Nylon,PVC,Terylene,Teflon
Which of the following polymers is prepared by condensation polymerisation?,Nylon-6 6,Styrene,Teflon,Rubber
Which of the following polymers have an ester linkage?,Terylene,PVC,Nylon-66,SBR
Which of the following is a biodegradable polymer ?,Cellulose,PVC,Nylon-6,Polythene
Buna-S is a polymer of,Butadiene and styrene,Butadiene,Styrene,Butadiene and chloroprene
Which of the following is used an initiater in the chain growth polymerization,Hydrogen,Conc.\(H_2SO_4\),Butyl peroxide,Alkali
The mass average molecular mass is obtained by the measurement of a property such as,Light scattering,Osmotic pressure,Vapour pressure,Refractive index
"For natural polymers, the polydispersity index is",Greater than one,Less than 1 but not zero,Equal to one,Zero
Synthetic human hair wigs are made from a copolymer of vinyl chloride and acrylonitrile and is called,Dynel,PVC,Polyacrylonitrile,Cellulose
"Among the following polymers, the strongest molecular forces are present in",Thermosetting plastics,Elastomers,Fibres,Thermoplastics
Ziegler-Natta polymerisation is an example of,Condensation polymerisation,Free radical polymerisation,Anionic polymerisation,Cationic polymerisation
