question,answer,wrong1,wrong2,wrong3
Which of the following when reacted with water produces phenol?,\(C_{6}H_{5}N = NCl\),\(C_{6}H_{5} - Cl\),\(C_{6}H_{5} CH_2Cl\),\(C_{6}H_{5} - CHO\)
Reduction of aldehyde gives,Alcohol,Acid,Ester,Alkyne
Percentage of water in absolute alcohol is,Zero,5%,3%,10%
Alcohol poisioning occurs due to the presence of ........in alcohol that is used for drinking.,Methyl alcohol,Carbonic acid,Ethyl alcohol,Impurities (HCN+HCOOH)
The reactivity of alcohol with Lucas reagent follows the order.,3⁰ > 2⁰ > 1⁰,1⁰ > 2⁰ > 3⁰,2⁰ > 1⁰ > 3⁰,Same for all
When ethyl alcohol. is treated with acidified potassium dichromate it forms acetaldehyde. It is an example of,Oxidation,Molecular rearrangement,Hydrolysis,Reduction
Which enzyme is used during the production of alcohol from carbohydrate by fermentation?,Zymase,Invertase,Starch,Molasses
Hydrolysis of table sugar produces.,Glucose and Fructose,Two molecule of Glucose,Glucose and Galactose,Glucose and lactose
Which of the following alcohol is most reactive towards lucas reagent?,Tertiary,Primary,Secondary,Same for all
"1°, 2° and 3° alcohols are distinguished by all the following methods except.",Hoffmann method,Lucas test,Victor meyer test,Oxidation test
\(2C_{2}H_{5}OH + 2Na→ 2C _2 H _5 ONa+ H_2\) The above reaction shows,The acidic nature of \(C_2H_5OH\),Acidic nature of Na,Oxidizing action of Na,Reducing action of \(C_2H_5OH\)
Glycerol contains.........alcoholic group.,2 primary and 1 secondary,3 primary,1 primary,1 primary and 2 secondary
Grignard reagent is,Alkyl magnesium halides,\(Mg(OH)_2\),Alkyl halides,MgCl₂
Methylamine when treated with \(HNO_3\) results into,Methanol,Methyl cyanide,Acetic acid,Methyl isocyanate
On passing ethene through alkaline solution of \(KMnO_4\) (Baeyer's reagent) the compound formed is,Ethylene glycol,Ethyl alcohol,Oxalic acid,Formaldehyde
"Primary, secondary and tertiary alcohol are distinguished by",Victor Meyer method,Distillation,Hoffmann method,Reimer Tiemann reaction
Reaction between NaOH and fat is called,Saponification,Esterification,Rancification,Hydrogenation
RCHO reacts with RMgBr and the product of hydrolysis yields,Secondary alcohol,Primary alcohol,Tertiary alcohol,Acetone
The alkaline solution of 1% \(KMnO_4\) is called,Bacyer's reagent,Schiff's reagent,Fehling's solution,Tollen's reagent
Conversion of glucose or fructose into ethyl alcohol is brought about by,Zymase,Invertase,Diastase,Maltase
The general formula of primary alcohol is:,\(–CH_2OH\),>CHOH,–C–OH,\(>C(OH)_2\)
Action of nitrous acid on ethylamine gives,\(C_2H_5OH\),\(C_2H_6\),\(C_2H_5OH\) and \(C_2H_4\),\(C_2H_5OH\) and \(NH_3\)
Glycerol is a,Trihydric alcohol,Primary alcohol,Monohydric alcohol,Secondary alcohol
Mild oxidation of glycerol with \(H_2O_2/FeSO_4\) gives,Glycerose,\(Glyceraldehyde\),Dihydroxyacetone,None
Hydrolytic conversion of sucrose into glucose and fructose is known as,Inversion,Induction,Insertion,Inhibition
