question,answer,wrong1,wrong2,wrong3
"1.In a certain code language, 'HONEST' is written as 'NTRHUU', and 'LABOUR' is written as 'RFFRWS'. How will 'ENOUGH' be written in that language?",D. KSSXII,A. KSRYIJ,B. KSSYJI,C. KSSYII
"2. If MEAT is coded ZRNG, then how is TEAM coded?",A. GRNZ,B. ZNRG,C. GNRZ,D. GNNZ
"3.  In a code language, if SEND is written as 168, then how will PURSE be written in the same language?",D. 395,A. 225,B. 185,C. 415
"4. In a certain code, TOUCH is written as 68. How will ERROR be written in that code?",A. 61,B. 54,C. 59,D. 55
"5. In a certain code language, ‘ARROW’ is written as ‘FOOSE' and ‘GERM’ is written as ‘THOR’. How will‘MOWER’ be written in that language?",B. RSEHO,A. HORSE,C. ROSHE,D. SHORE
"6. In a certain code language, 'TIN' is coded as '27', and 'GO' is coded as '8'. How will 'PALE' be coded in that language?",C. 64,A. 36,B. 48,D. 125
"7. The following question is based on an encryption system in which:

“I am hungry” is coded as “Ching Ling Lu” “I eat fruits” is coded as “Ling Li Mon” “I am thirsty” is coded as “Lu Su Ling” What is the code word for “I”?",B. Ling,A. Li,C. Ching,D. Lu
"8. If 789 means ""truth always trumps"", 567 means ""speak the truth"", 523 means ""speak no lies"", 5814 means ""speak always in the time"" then ""speak truth in time"" for this what digits will be used?",D. 5714,A. 5789,B. 8157,C. 9864
"9. Here are some words translated from artificial language.

fill resh means Change over sab greh means learned out fill greh means over learned Which word could mean “Change out”?",A. reshsab,B. reshgreh,C. sabresh,D. fillsab
10. In a certain code ‘RATIONAL’ is written as ‘TARNOILA’. How would ‘BRUTAL’ be written in that code?,B. URBLAT,A. UBRTAL,C. URBTAL,D. UBRATL
11. In a certain code ‘PURPOSE’ is written as ‘UPPRSOE’. How would ‘WATER’ be written in that code?,A. AWETR,B. TRWAE,C. AWTRE,D. WATRE
