question,answer,wrong1,wrong2,wrong3
The condition for a floating body in stable equilibrium is,Metacenter should lie above centre of buoyancy,Metacenter should lie above C.G,Metacenter should lie below C.G,Metacenter should coincide with C.G
Coefficient of viscosity for hot air is,Greater than cooler gas,Smaller than cooler gas,Equal to that of cooler gas,Independent of temperature
The terminal velocity of an object immersed in liquid of density Equal to its own is,0,1,Infinity,Very high
Lift of airplane is based on,Bernoulli's principle,Pascal's law,Stroke's law,Archimedes principle
To what height(h) should a cylinder vessel with a homogeneous liquid to make the force with which the liquid pressure on side of vessel equal to force excerpted by liquid on bottom of vessel,h = r,h= R/2,h = r/4,h = 3r
A boat having a length of 3 m and a breadth of 2 m is floating on a lake. The boat sink by 1 cm when a man gets on it. Mass of mas is,60 kg,80kg,12 kg,120 kg
The Venturi-meter works on,Bernoulli's principle,The principle of parallel axes,The principle of perpendicular axes,Huygen's principle
,B,A,C,D
"The velocity of a small ball of mass m and density d, when dropped in a container filled with glycerine becomes constant after some time. If the density of glycerine is d/2, then the viscous force acting on the ball will be",Mg/2,Mg,3Mg/2,2Mg
Viscosity of liquid and gases. With increase in temperature,Decrease and increases,Increase and decrease,Increase,Decreases
The terminal velocity of an object in a liquid is 100m/s. What will be the terminal velocity of the object in the vacuum,Value cannot be attained,<100 m/s,> 100 m/s,= 100 m/s
"Two drops of water having same radius moving in Air downwards with constant velocity (v). If the drops coalesced, what will be the new velocity",(2^2/3)v,(2^1/2)u,(2^2/3-1) v,(2^1/3-1)v
Two parallel square plates of length of 10 cm and moving with velocity 10 cm/s pass in liquid of viscosity 0.01 poise. If the force between the plates in liquid of 200 dyne then the separation between the plates is,0.05 cm,5 cm,0.5 cm,0.005 cm
Bernoulli's theorem is based on conservation of:,Energy,Mass,Momentum,Pressure
One poise is equal to:,0.1N -s/m²,1N -s/m²,10N -s/m²,0.01N -s/m²
The block of wood floats in the water with 2/3th of it's  volume submerged then density of wood,0.66 g/cm³,0.33 g/cm³,1 g/cm³,0.56 g/cm³
A body weight 60 g in air and 40 g in water. The specific gravity of body is,3,1.5,2*10³,0.5
What fraction of a wooden raft of density 0.8 g/cc will be outside the sea water of density 1.2 g/cc,1/3,2/3,1/2,2/5
An alloy contains 75% of a metal of relative density 10 and remaining 25% of another metal of relative density 5. Then the density of the alloy will be,8 x 103 kg/m³,7.5 x 103 kg/m³,9 x 103 kg/m³,6 x 103 kg/m³
If pressure at half the depth of a lake is equal to 2/3 pressure at the bottom of the lake then what is the depth of the lake,20 m,10 m,60 m,30 m
The pressure at the bottom of a tank containing a liquid does not depend on,Area of bottom of surface,Height of the liquid column,Nature of liquid,Acceleration due to gravity
Why the dam of water reservoir is thick at the bottom,Pressure of water increase with depth,Quantity of water increase with depth,Density of water increase with depth,Temperature of water increase with depth
"A log of wood of mass 120 kg floats in water. The weight that can be put on the raft to make it just sink, should be (density of wood= 609 kg/m)",80 kg,50 kg,60 kg,30 kg
A body is just floating on the surface of a liquid. The density of the body is same as that of the liquid. The body is slightly pushed down. What will happen to the body,"It will remain submerged, where it is left",It will slowly come back to its earlier position,It will sink,It will come out violently
A large ship can float but a steel needle sinks because of,None of these,Viscosity,Surface tension,Density
Construction of submarine is based on,Archimedes principle,Bernoulli's theorem,Pascal's law,Newton's law
Two water pipes of diameters 2 cm and 4 cm are connected with the main supply line. The velocity of flow of water in the pipe of 2 cm diameter is,4 times that in the other pipe,1/4 times that in the other pipe,2 times that in the other pipe,1/2 times that in the other pipe
A cylinder of height 20 m is completely filled with water. The velocity of efflux of water ( in m/s) through a small hole on the side wall of the cylinder near its bottom is,20,10,25.5,5
A liquid is flowing in a horizontal uniform capillary tube under a constant pressure difference P. The value of pressure for which the rate of flow of the liquid is doubled when the radius and length both are doubled is,P/4,P,3p/4,P/2
The working of an atomizer depends upon,Bernoulli's theorem,Boyle's law,Archimedes principle,Newton's law of motion
Velocity of water in a river is,More in the middle and less near its banks,Same everywhere,Less in the middle and more near its banks,Increase from one bank to other bank
