question,answer,wrong1,wrong2,wrong3
Bat can fly at night due to,Ultrasonic wave,Infrasonic wave,Radio wave,Electromagnetic wave
Sound wave travel faster in solid because of,,High elasticity and high density,high elasticity and low density,high elasticity
"when temperature is increased, which of the following property of sound wave changes?",wavelength,amplitude,intensity,frequency
Propagation of sound is due to transfer of,Pressure,Temperature,Heat,Specific Heat Capacity
The intensity of wave gets reduced by 20% on passing through a slab. What will be the reduction in intensity on passing through two slabs?,36%,64%,20%,50%
Calculate the velocity through the steel rod (Y=2×10^11N/m² amd p=7800kg/m³),5060m/sec,330m/sec,1430m/sec,3×10^8m/sec
The intensity of sound at night increases because of,increase in density,Low temperatue,Decrease in density,Calmness
Sound wave in rocks are,Longitudinal and transverse wave,Longitudinal stationary,Transverse stationary wave,Wave in rock does not propagate
The realation between frequency η and velocity of propagaton v of wave is:,η=v/λ,η=vλ,η=λ/v,η=vλ²
Laplace's formula for the velocity of sound is:,v=√γP/p,v=√P/p,v=√γp/P,v=√γR/M
"The velocity of sound in air at NTP is 300m/s. If the pressure is increased to 4 times the atmosphere pressure, then the velocity of sound will be",300ms-1,150ms-1,600ms-1,1200ms-1
A man heard the thunder 6 seconds later he saw a lightening. The temperature of air is 27°C. How far was the flash of light from the man? (Velocity of sound in air at 0 °C is 332 m/s),2088m,1822m,2332m,2445m
Velocity of sound in air is not affected by,atmospheric pressure,temperature,density of air,humidity
Velocity of sound in air isn't dependent on:,pressure,temperature,moisture,composition of air
"A man stands on top of a cliff and shouts. He hears the echo on the third clap when he claps his hand at the rate of two claps per second. What is the [1998] distance between man & the obstruction, if the velocity of sound is 320 m/s?",160,320,460,640
Velocity of sound is double the velocity at 0 °C at,819°C,278°C,1092°C,800°C
The ratio of amplitude of 2 waves of same frequency traveling in the same medium is 3:1. Find the intensity ratio of the 2 waves?,9:1,1:√3,√3:1,3:1
Sound wave in air is:,Always Longitudinal,Always Transverse,Longitudinal or Transverse,NONE
Energy is not carried by,stationary waves,Mechanical elastic waves,Longitudinal waves,transverse wave
If the temperature increases by 1°C then the velocity of the sound is increases,0.6m/s,0.1m/s,0.2m/s,0.9m/s
If the amplitude is in the ratio of 2:3 then intensity will be in the ratio of (given that frequency is same),4:9,2:3,9:4,3:2
If pressure amplitude of a sound wave is doubled the intensity of sound increases,4times,3times,2times,9times
"Velocity of sound in air at STP is 330 ms-1. The distance covered by sound in 2 seconds when atmospheric temperature is 30°C, will nearly be",0.7km,0.5km,1km,2km
if pressure amplitude of a sound wave is doubled the intensity of sound increases,4times,3times,2times,9times
"If amplitude of sound wave is trippled, the intensity of sound wave increases",9 times,3times,6 times,16 times
"Electromagnetic waves are propagated with a
frequency of 1.5 wavelength will be",200m,600m,450m,300m
"If amplitude of a sound wave is tripled, the
intensity of sound increases",9 times,3 times,6 times,√3 times
Angle between particle transverse wave is,π/2,π,0,π/4
The Laplace's correction in the expression for the velocity of sound given by Newton is needed because sound waves,propagate adiabatically,are longitudinal,propagate isothermally,are of long wavelength
"The intensity of sound gets reduced by 10% on passing through a block. If it passes through two such blocks, the intensity of the outgoing sound is:",81%,19%,91%,18%
"Sound waves are traveling in a medium whose adiabatic elasticity is E1, and isothermal elasticity is E2. The velocity of sound is proportional to:",√E1,E1,E2,√E2
The audible range of sound is,20Hz-20KHz,20Hz-100 Hz,20KHz-20MHz,1Hz-100KHz
"When atmospheric pressure increased by 1 atom and temperature increases by 1°C, the velocity of
sound in air",increased by 0.61m/s,increased by 60m/s,decreased by 0.61m/s,increased by 100m/s
Audio range of wave lies between,20Hz-20KHz,1Hz-15Hz,25KHz-25MHz,10MHz-10GHz
"The equation of a plane progressive wave

is y = 10sin 200(лt-xx/17) where x is in cm and t in sec.
the wavelength of the wave is",17cm,34cm,24cm,60cm
"The equation of progressive wave is given as \(y=10sin200(πt-πx/17)\)
where 't' is in seconds and x in
cm. the velocity of the wave is",17cm,34cm,24cm,60cm
"Which is correct about humidity and velocity of
wave?",Decrease in humidity causes decrease in sound wave velocity,Decrease in humidity causes increase in the velocity,Their relation depends on the ratio of density of air and humidity,They have no relation
Phase difference between two waves y1 = a sin wt and y2 = a cos wt,π/2,0°,π,3π/4
"Sound waves having frequencies audible to human
being are",5000 cps,5 cps,27000 cps,50000 cps
"Two waves are represented as 

y1=20sinπθ

y2=40sin100πθ

the ratio I2/I1 is given by",none,1:4,4:1,3:1
"The equation of a transverse wave is given by y =
10 sinx(0.01X-2t). Where x and y are in cm and t
Is In sec. Its frequency is",1 cps,10 cps,2 cps,0.01cps
Which of the following is the most appropriate?,Transverse wave can be polarized,Transverse wave cannot be reflected,Longitudinal wave cannot be reflected,Stationary wave has node at its first end
"If temperature & pressure are increased by 1°C & 1 atm. pressure, velocity of sound",Increases by 0.61 ms-1,Decreases by 0.61 ms.1,Remain same,Decreases by 3.02 ms
propagation of sound wave in a medium,Adiabatic,Isothermal,isochoric,none
propagation of sound wave in a medium,Adiabatic,Isothermal,isochoric,none
propagation of sound wave in a medium,Adiabatic,Isothermal,isochoric,none
The displacement of a simple harmonic wave equation is given by y = 5 sin (10t -x/3) The frequency of the wave in Hertz is,5/л,5л,10/л,10л
The equation of a plane progressive wave is given by y = 0.5 sin (100 t + 0.05x). The frequency of this  wave in Hertz would be,50/π,100/π,50π,100
"The frequency of radio - waves is 15 MHz. What is
its wavelength?",20 m,15 m,5 m,25 m
Velocity of sound at 300K is V. At what temp. velocity of sound becomes doubled,1200 K,300 K,600 K,800 K
Phase difference between 2 waves y1 = a sin wt and y2= b cos wt is given by,π/2,π,π/3,π/4
A wave of frequency 500 Hz has a velocity of 350 ms-1 How far apart are two points 60° out of ] phase?,12 cm,0 cm,16 cm,18 cm
When temperature increases velocity of,Gases increases and liquid decreases,Gases decreases and liquid increases,Both increases,Both decreases
Human ears cannot hear sound of range:,Less than 16 Hz and more than 20000 Hz,More than 20Hz and less than 20000 Hz,More than 20 Hz and less than 10000 Hz,Less than 20 Hz and less than 20000 Hz
"The ratio of velocity of a body to the velocity of
sound is known as:",Mach number,Index number,Sound number,cannot be determined
"Sound when passes through one medium to another medium, which is not changed?",Frequency,Amplitude,Velocity,Wave number
.The velocity of sound wave is 340 m/s - The velocity of sound is 330 m/s at 0° C. then the temperature is the sound wave is,27°,32°,30°,20°
"The equation of wave is given by y = 10 sin10t, find
the time period.",π/5 sec,2π/5 sec,4π/5 sec,5/π sec
Find the velocity of sound in solid. if young's modulus 3 x 1011N/n2 and density is 10000 kg/m3.,5477 m/s,4477 m/s,6477m/s,6000 m/s
The distance in between 2 point differing in phase by 60 having wave velocity 360 m/s and frequency of wave 500 Hz is,0.12 m,0.18 m,0.30 m,0.48 m
Sound travels faster in,Granite,Iron,Gold,Silver
"Oxygen is 16 times heavier than H2. Equal volumes
of hydrogen and oxygen are mixed. The ratio of velocity of sound in mixture to O2 is",√ 17/32,√ 1/8,√ 32/17,√ 8
"The relation between phase difference and path
difference is",Δφ = (2π/ λ)  Δx,Δφ =2π λ Δx,Δφ =2πλ / Δx,Δφ =(π/ λ)  Δx
"Phenomenon only associated with transverse
wave is",Polarization,Diffraction,Interference,Refraction
The frequency of sound audible to human is,>20Hz and < 20000 Hz,<20 Hz and >20000 Hz,<20 Hz and > 200000 Hz,<20 Hz and <20000 Hz
"Ultrasonic, infrasonic and audio waves travel
through a medium with speeds, Vu, Vi, and V,
respectively then",Vu=V1 = Va,Vu > Va>Vi,Vu <Va<Vi,Va< Vu≈ Vi
The velocity of sound in change in,Atmospheric pressure,Temperature of the air,Moisture content of the air,Composition of the air
Sound waves do not exhibits,Polarization,Refraction,Interference,DIffraction
"If the amplitude of sound is double and the frequency reduced to one fourth, the intensity of sound at the same point will be",Decreasing by a factor of 4,Increasing by a factor of 2,Decreasing by a factor of 2,Remains unchanged
The velocity of sound is maximum in,H2,He,O2,N2
Ultrasonic waves are used for string liquid solution because they:,do not produce any chemical reactions in the solution,are devoid of noise,are easy to use,produce perfectly homogenous solution
"66.If the amplitude of sound is doubled and the frequency is reduced to one-fourth, the intensity of sound at the same point will",Decrease by a factor of 4,Increase by a factor of 2,Decrease by a factor of 2,Remain unchanged
A jet plane is flying at a speed more than that of sound wave. If the sound of the jet appears to be vertically downwards the angle of sight of aeroplane with the vertical can be,>45°,<30°,<40°,at any angle
The temperature at which the speed of sound in air becomes double of its value at 27°C?,927° C,1200°C,827°C,-127°C
A longitudinal wave is generated in long steel rod by periodically stroking at one end. Wavelength of such wave depends o all of the following EXCEPT:,Length of the rod,Young's modulus of elasticity,Density of steel,Frequency of stroking
A change in the barometric pressure from 76 cm of Hg to 75 cm of Hg at 0°C will affect the velocity of sound by,Not affection at all,Raising it above Vo,Reducing it below Vo,None of the above is correct
"When amplitude is increased three and frequency
is reduced to one third of original value, the
intensity of sound at a point will.",Remain unchanged,Increases three times,Increases 9 times,Decreases one third
Velocity of sound is higher in solid than in liquid due to:,Density is low and elasticity is high,Density,Elasticity is very high,Density is high and elasticity is low
Which of the following is a mechanical wave?,Sound waves,Radio waves,X-rays,Light waves
Which is not true?,Velocity of sound is directly proportional to absolute temperature,Velocity of sound do not change with pressure,Velocity of sound depends upon elasticity of medium,All
Velocity of sound in gases doesn't depend upon,Pressure,Temperature,Humidity,Nature of gas
The eqn of a progressive wave is represented by y= 2 sin2π (t/0.01 -x). Its frequency is,100 Hz,50 Hz,200 Hz,300 Hz
"Two tuning forks A and B sounded together to produce 5 beats. The frequency of B is 512 Hz. When fork A is filed and sounded together, the beat increases. The frequency of A is:",517 Hz,502 Hz,0.517 Hz,5.17 Hz
When two tuning forks of frequencies 484Hz and 486Hz are sounded together. What will be the beat frequency?,2 Hz,4 Hz,3 Hz,6 Hz
To tune a note with beat the necessary condition are,"Different frequency, same amplitude and phase",Different frequency,Different frequency and constant phase,Different frequency and opposite phase
25 tuning forks are arranged in series with decreasing frequency 3 beats/sec. If the frequency of last tuning fork is octave of the first then the frequency of 1st tuning fork is,144,142,146,140
Two tuning forks of frequencies 256 and 258 vibrations per sec are sounded together then the time interval between two consecutive maxima heard by an observer is,0.5 sec,2 sec,250 sec,2.52 sec
"Two waves of intensities ""I"" equal to each other beat together, the maxima of the beat is equal to",4I,I,3I,6I
"Ratio of intensities of two sound waves is 4:9, If the
waves are superimposed the maximum intensity produced will be",25 unit,4 unit,16 unit,81 unit
"If distance between source of sound and a cliff is d. If the velocity of sound is V, the time taken to hear the 2nd echo is",4d/V,2V/d,d/2V,4V/d
The intensity produce are in the ratio 9:16. If two waves are super-imposed the maximum intensity,49,16,25,9
Two waves of the same wavelength and amplitude interfere to produce a minimum when their phase difference is,π,π/2,zero,3π/2
Turning for A of frequency 180 Hz produces 6 beats in 2 seconds with tuning fork B. The possible frequency of B is,177 and 183,180 and 174,174 and 189,none
A man stands at the top of a cliff and shouts. He hears his echo on the third clap when he claps his hand at the rate of two claps per second. What is the distance between the man and the obstruction if the velocity of sound is 320 m/s.,160,320,480,640
Two sound waves travelling in same direction with slightly different frequencies produces the phenomenon of beats. Principle involved here is:,Interference,Diffraction,polarization,Refraction
If two equation of plane progressive wave is y1 =A sinπ (506t + 2x/λ) and y2 = A sinπ (500t+ 2x/λ) the beats in one minute is,180,6,3,360
"When two waves of same frequency, constant initial phase and same direction superimpose, the phenomenon is called.",interference,beats,Doppler's effect,standing waves
The stem of tuning fork contains,longitudinal wave,Transverse wave,Stationary wave,Pressure wave
A tuning fork A of unknown frequency gives 4 beats/sec when sounded with another fork B of frequency 256 Hz. The fork A is now loaded with a piece of wax and again 4 beats per second are heard. Then the frequency of fork A is,260 Hz,252 Hz,256 Hz,264 Hz
Two sources of sound are coherent if they have,Same phase or constant phase difference,Amplitude,Different frequency,None
"Two tuning forks have frequency 440 Hz & 444 Hz,
then resultant frequency is",4 Hz,442 Hz,884 Hz,444 Hz
The waves of length 50cm & 51cm produce 12 beats per second. The velocity of sound is:,306m/s,360m/s,340m/s,330m/s
"Two tuning forks of frequencies 252 Hz and 256 Hz are sounded simultaneously, the number of beats heard per second are",4,1/4,2,254
Two waves of lengths 50cm and 51cm produced 12 beats per second. The velocity of sound is:,306 m/s,331m/s,340 m/s,360m/s
"The ratio of intensities of two waves is 9:1. When 23 they superimpose, the ratio of maximum minimum intensity will become:",4:1,3:1,2:1,9:1
"There are 3 sources of sound of equal intensity with frequency 512, 513 and 514 vibration/sec. The no. of beats heard per seconds is",1,0,2,3
"Two tunning forks A and B produce 5 beats per sec. The frequency of A is 512 Hz. When B is filled, they again produce 5 beats/sec. What's the frequency of B",507 Hz,512 Hz,513 Hz,500 Hz
"the frequency of closed organ pipe is 1000 Hz and difference in distance between fundamental requency and 1st overtone is 0.175 m then find the
velocity of sound.",350 m/s,300 m/s,250 m/s,600 m/s
The percentage increase in tension to increase the frequency by 50% is,125%,50%,100%,600%
In an open organ pipe of length 50 cm with velocity of sound 350 m/sec has fundamental frequency of,350Hz,250Hz,700Hz,150Hz
"The ratio of density of two string of same material, having same length and tension is 1:3 then ratio of the frequency is",√3:1,3:1,1:3,1:√3
The velocity of sound is 300 ms-1 and the frequency is 1000 Hz. The distance between two Successive nodes is,15cm,30cm,10cm,5.5cm
A tube closed at one end containing air when excited produces the fundamental frequency 512 Hz. If the tube is open at both ends the fundamental frequency that can be excited is:,1024Hz,256Hz,512Hz,128Hz
"In the equation y = cos(2πx/60)sin(100at), x any y are in cm and t is in seconds. At the node find the value of x",15cm,100/2x cm,20cm,12.5cm
An organ pipe P1 closed at one end and vibrating in its first overtone and another pipe P2 open at both ends are vibrating in its third harmonic are in resonance with a given tuning fork. The ratio of  the length of P1 and P2 is:,1/2,8/3,3/8,1/3
"The velocity of sound in air in 332m/s. If the frequency of the fundamental note of an open pipe is 332 Hz, what would be length of the pipe?",50cm,100cm,300cm,10cm
A group of notes which is integral multiple of fundamental note is called,Harmonics,Semi note,Beats,Doppler
A tuning fork is in unison with sonometer wire of 60 cm length. The length is increased by 10 cm then beat frequency become 4 beats/sec. The frequency of tuning fork is,28Hz,22Hz,26Hz,24Hz
A group of notes which is integral multiple of fundamental note is called,harmonic,beats,doppler,note
"A Sonometer wire is vibrating in its second
overtone. There are:",4 nodes and 3 antinodes,2 nodes and 2 antinodes,1 nodes and 2 antinodes,3 nodes and 3 antinodes
If R is the radius of a correction to be applied is,0.6R,0.3 R,0.4R,0.5R
".A Sonometer wire is vibrating in its second
overtone. There are:",4 nodes and 3 antinodes3 nodes and 3 antinodes,2 nodes and 2 antinodes,1 nodes and 2 antinodes,3 nodes and 3 antinodes
A closed organ pipe and an open organ pipe have their first overtone identical in frequency. Their lengths are in the ratio,3:4,1:2,2:3,4:5
"16.A transverse wave passes with a speed of 3000 m/s along a stretched wire. If the tension in the wire increases 4 times, then the velocity of wave will be",6000m/s,1500m/s,3000m/s,9000m/s
The first and second resonance are obtained at depths of 21.5cm and 65 cm in a resonance air column experiment. The third resonance will be obtained at,108.5cm,98.5cm,118.5cm,88.5cm
A closed organ pipe and an open organ pipe have their first overtone identical in frequency. Their lengths are in the ratio,3:4,1:2,2:3,4:5
"The equation of stationary wave is y = 0.5 sin 200t, the maximum particle velocity is",100,25,50,200
".If oil of density higher than water is filled in place of water in a resonance tube, its frequency will",remaine unchanged,increase,decrease,depend on the density of material of the tube
An open pipe of length Li and closed pipe of length L2 resonate to the same tuning fork. The ratio of their lengths (L1/L2) is:,2:1,4:1,1:1,1:2
"If R is the radius of a resonance tube, the end correction to be applied is",0.6R,0.3R,0.4R,0.5R
"Two uniform wires of the same length and the same tension have diameters in the ratio of 1:2 when they are plucked together their frequency
ratio is",2:1,1:2,1:4,4:1
The third harmonic of open ended pipe of length 50 cm is,996Hz,332Hz,166Hz,100Hz
