question,answer,wrong1,wrong2,wrong3
The drift velocity is due to:,Free electrons,Thermal speed,Temprature,None
Drift velocity of electron in conductor is independent of,Length of conductor,Electron density,Area of cross section,Current
If a wire is stretched to increase by length 0.1% then % change in resistance is,0.2%,0.4%,0.8%,4%
"In the graph of Ohm's law,  showing variation of V and I, the slope of graph is",Positive,Negative,Infinity,Unity
Flow of 6.25*10^12 electrons per second in a conductor contribute to current,1 µA,1A,1mA,0.1A
"On increasing temperature, the product of conductivity and resistance",Remains constant,Increases,Decreases,Becomes zero
"To change in resistance by 4 times by stretching, what should be change in length?",2 times,4 times,√2 times,1 times
A 10 m long wire of resistance 20Ω is connected in series with battery of emf 3 V and resistance of 10Ω. The potential gradient along the wire is,0.2V/m,0.05V/m,0.5V/m,0.1V/m
1.02V of potentiometer having balancing length 1 m has resistance in series combination of resistance 2040Ω (Resistance of potentiometer is 4Ω) The balancing length for 1.2mV thermocouple in the potentiometer wire is,60,40,30,50
A potentiometer is used to measure the emf of a cell and it is found 50 cm as balancing length of 1.5 volt. Now the battery is removed and balancing length is found to be 75 cm. Then calculate the emf of cell.,2.25 volt,1.56 volt,1.53 volt,3.5 volt
A moving coil galvanometer can be converted into ammeter by connecting,low  resistance in parallel,Low resistance in series,high  resistance in series,high  resistance in parallel
Unit of specific conductance is,Siemen cm-1,ohm/m,ohm/m/cm,ohm/cm
Resistance of 32Ω whose length is stretched to double then what is the percentage change in resisance,300%,100%,25%,50%
4Ω resistance is bent at 180* and twisted together then the resultant resistance is,1Ω,2Ω,16Ω,8Ω
Drift velocity of electron in conductor is independent of,Length of conductor,Electron density,Area of cross-section,Current
If a wire is stretched to increase by length 0.1% then % change in resistance is,0.2%,0.4%,0.8%,4
"In the graph of Ohm's law, showing variation of V and I, the slope of the graph is",Positive,Negative,Infinity,Unity
Flow of 6.25x1012 electrons per second in a conductor contribute to current,1 μA,1A,1 mA,0.1 A
"On increasing temperature, the product of conductivity & resistivity",remains constant,increases,decreases,becomes 0
"To change in resistance by 4 times by stretching, what should be change in length?",2 times,4 times,√2 times,1 time
1.02V of potentiometer having balancing length 1m has resistance in series combination of resistance 2040 ohm (Resistance of potentiometer is 4 ohm. The balancing length for 1.2mV thermocouple in the potentiometer wire is.,40,30,50,60
A potentiometer is used to measure the emf of a cell & it is found 50 as balancing length of 1.5 volt .Now the battery is removed & balancing length is found to be 75cm. Then calculate the emf of cell.,2.25 Volt,1.56 Volt,1.5 3 Volt,3.5 Volt
A moving coil galvanometer can be converted into ammeter by connecting,Low resistance in parallel,Low resistance in series,high resistance in series,high resistance in parallel
A moving coil galvanometer can be converted in ammeter by connecting,Low resistance in parallel,low resistance in series,high resistance in series,high resistance in parallel
Unit of Specific conductance is.,ohm-¹ cm,ohm-1,Siemen.cm,ohm.cm-1
Resistance of 320 whose length is stretched to double then what is the percentage change resistance,300%,100%,25%,50%
4 ohm resistance is bent at 180° and twisted together then the resultant resistance is,1 ohm,2ohm,16 ohm,8 ohm
"The resistance of 20 cm length wire is 5 ohm . When the wire is stretched to 40 cm, resistance is:",20ohm,10 ohm,40ohm,2.5 ohm
When a cell of emf E of internal resistance r sends a current I in the external circuit. The terminal potential difference in the circuit,E- Ir,E,Ir- E,E + Ir
".When the diameter of a nichrome wire is reduced to half, the resistance changes by:",16,2,4,8
'n' number of identical cells in series grouping all in same order have a total emf of 15V. When any one cell is reversed the emf becomes 12V. The number 'n' will be:,10,15,12,8
What is the potential drop across an electric hot plate which draws 5 A when its hot resistance is 24 ohm ?,120 V,130v,140v,150v
If the current in an electric bulb drops by 2% the S power decreases by:,4%,1%,2%,16%
"5 cells each of emf 'E' and internal resistance 'r' are connected in series, by mistake one of the cell was connected wrongly then equivalent emf and internal resistance will be","3E, 5r","5E, 3r","3E, 3r","5E, 5r"
The resistance of two wires connected in parallel is 3.43ohm while the resistance of the same wires connected in series is 14ohm. The resistances are,6 and 8,5 and 66 and 7,7 and 8,1 and 0
The specific resistance of a wire 1.1 m long. 0.4 m in diameter having a resistance of 1.2 ohm will be:,4.8 x 10-8 ohm. m,4.2 x 108 ohm. m,4.2 x 1012 ohm. m,4.8 x 1012 ohm. m
A piece of wire of resistance 4 ohm is bent through 180° mid point and the two halves are twisted together. Their resistance is,1 ohm,8 ohm,2 ohm,5 ohm
"When 5.5 ohm and 4.5 ohm resistances are joined together in series and a 10 ohm resistance is joined in parallel, the final resistance of the system [2003] is:",5 Ω,2Ω,2.5 Ω,20 Ω
"If two resistance of values 4.5 ohms & 5.5 ohms respectively are connected in a series & a third resistance of 10 ohms is connected in parallel with both, the total resistance of the system is:",5 ohms,2.5 ohms,7.5 ohms,10 ohms
The diameter of a nichrome wire is reduced to half. Now the resistance changes by,16,2,4,8
A battery of emf 12 V is connected parallel with a voltmeter. The Voltmeter reads 11V. This is because,small internal resistance of battery,high internal resistance of battery,internal resistance of battery comparable with resistance of voltmeter,internal resistance of battery equal to resistance of voltmeter
Kirchoff's point law is conservation of:,charge,energy,mass,all
When the length doubles then resistance changes to,2r,1/2r,1/4r,4r
.One of the following is ohmic conductor:,CuSO4 Solution,Neon gas,Junction diode,Diode valve
A coil when connected with 200V mains dissipates 400 watts. The resistance of the coil is .......ohm:,100,10,0.5,2
"Two equal resistance in parallel have a value 10 Ohm, the resistance of each is........ Ohm..",20,40,5,15
"Two equal resistance in parallel have a value 10 Ohm, the resistance of each is........ Ohm..",20,40,5,15
