question,answer,wrong1,wrong2,wrong3
Nucleotide is,Purine/Pyrimidine + Sugar + Phosphate,Sugar + phosphate,Purine +Sugar+ Phosphate,Pyrimidine +Sugar+ Phosphate
Inflorescence of sunflower is,Head and capitulum,Cymose,Verticillate,Cyathium
Fruit of Poaceae is,Caryopsis,Berry,Follicle,Synconus
Double fertilization occurs in,Angiosperm,Algae,Bryophyte,Gymnosperm
Most common type of ovule in angiosperm is:,Anatropus,Orthotropus,Campylotropus,Amphitropus
"In angiosperm, Embryo sac represents:",Megasporangium,Microsporangium,Female gametophyte,Male gametophyte
Net ATP in Krebs cycle is,24,22,36,38
Pteridophytes differ from bryophytes in having,Vascular tissue,Archegonia,Ovule,Antheridia
"In area devastated by forest fire, which grows first?",Fern,Liverworts,Moss,Algae
Maximum cellulose is found in:,Secondary cell wall,Primary cell wall,Tertiary cell wall,Middle lamella
Conversion of NH3 to NO3 is,Nitrifying,Nitrogen assimilation,Denitrification,Nitrogen fixation
Formation of DNA from RNA is called as:,Reverse transcription,Transcription,Transduction,Replication
"A dwarf pea plant was treated with gibberellic acid, it grow as tall as the homozygous tall pea plant. If this gibberellic acid treated plant is now crossed with a pure tall pea plant then the phenotypic ratio in the next generation is likely to be",100% tall,100% dwarf,"75%, tall, 25% dwarf","50% dwarf, 50% tall"
Which is incorrect about Marchantia?,Leafy gametophyte & erect,Stalked gametophores,Inverted archegonia,Gemma cup
Gymnosperms have naked seed due to absent of:,Ovary,Seed cost,Ovule,Embryo sac
"Conjoint, collateral and open vascular bundle",Dicot stem,Dicot root,Monocot-root,Monocot stem
Function of Golgi bodies is,Glycosylation of lipid and protein,Carbohydrate metabolism,Protein synthesis,ATP formation
"Bacteria divide in every minutes, it takes 1 hour to fill a cup then half cup is filled in:",59 min,50 min,. 1 hour,30 min
Which is not the contrivances of cross pollination?,Female and male flower mature at same time,Self sterility,Female & male flower mature at different time,Dicliny
"If haploid chromosome is 20 then monosomy and
tetrasomy have","39, 42","20, 40","40, 42","19, 22"
Which organelle eats old organelles?,Lysosome,Golgi body,Mitochondria,Chloroplast
"If Adenine in DNA is 29%, then cytosine is:",21%,58%,42%,71%
Most abundant protein is:,Rubisco,Cellulose,Collagen,Actin
"The loss of water in the form of water droplets along with minerals takes place from small pores on the leaf margin, these pores are called:",Lenticel,Hydathodes,Stomata,Article
Pores in the cork cell of stem allows gaseous exchange between atmosphere and internal tissue:,Osmometer,Potometer,Photometer,Auxometer
Coenocytic hyphae is,Multinucleated & aseptate,Uninucleated & septate,Multinucleated & septate,Uninucleated & aseptate
DNA replication occurs in,Interphase,Prophase,Anaphase,Metaphase
The inheritance of characters from father to grandson through daughter is called as:,Crisscross inheritance,Linkage,Mutation,Polygenic inheritance
If starch converts to organic acid in guard cell then stomata,Opens,Close,Not affected,Flaccid
In human male linkage group is equal to,Haploid chromosome,Haploid chromosome +1,Haploid chromosome-1,Diploid chromosome
"In F2 generation, if both parental characters are seen along with intermediate phenotype, then it is known as:",Incomplete dominance,Co-dominance,Sex-linked,Linkage
"In Kathmandu valley, photochemical smog is seen
due to",Ozone + PAN + NOx,Smoke + SO2,Ozone + SO2+ PAN,Smoke + SO2 + PAN
"Force responsible for water transfer from cell to
cell is:",DPD,DP,TP,Wall pressure
"If decomposer is removed from environment,
then:",Minerals do not get recycled,Photosynthesis is affected,Energy will be stopped,Consumers will not get food
A plant cell has potential to develop into a full plant. This is called as,Totipotency,Gene cloning,Tissue culture,Regeneration
Chloroplasts is semi autonomous organelle due to:,They contain DNA and have some protein,They contain DNA but lack protein,They originate from Golgi bodies,They don't have genetic materials
Diversification in plant life appeared due to:,Long period evolutionary change,Abrupt mutation,Sudden change,By seed dispersal
Plants that grow in salty soil are known as:,Halophytes,Oxylophytes,Hydrophytes,Chasmophytes
Vacular bundles in monoct stem are:,"endarch, closed, and collateral","conjoint, collateral and open",collateral and endarch.,arranged in a circular pattern
Prothallus of fern is,Both,Haploid,"small, green, often heart-shaped",None
Herkogamy is,the spatial separation of anthers and stigmas within flowers,b,c,d
Set of disease caused by virus,"Common cold, fever and Influenza",b,c,d
Solanacea family lacks,a,b,c,d
Secondary cortex cork together called,phelloderm,Phellem,c,d
No.of gametes possible from AaBBCc?,4,6,8,10
If son of color blind father marry to women having normal father and color blind mother then what is the percentage of normal son of this couple?,a,b,c,d
Sporophyte of Marchantia is :..,Diploid,Haploid,Triploid,None
Invert sugar contains:,Glucose and fructose,Glucose and sucrose,Glucose only,Fructose only
The hybrid plant prepared to cure Vitamin A deficiency is,a,b,c,d
Common organelle in eukaryotic and prokaryotic cell:,Ribosomes,Nucleus,Nucleolus,Mitochondria
Histone protein is :,Basic,b,c,d
Prominent pigment in rhdodophyeace ?,a,b,c,d
