question,answer,wrong1,wrong2,wrong3
1. The rest mass of the photon is,a. 0,b.œ,c. Between 0 and œ,d. Equal to that of an electron
"2. When a beam of accelerated electrons hits a target, a continuous X-ray spectrum is emitted from the target. which of the following wavelength is absent in the X-ray spectrum, if the x-ray tube is operating at 40,000 volts",a. 0.25A,b. 0.5A,c. 1.5A,d. 1.0A
3. Which of the following series of hydrogen spectrum is in the visible region,b. Balmer series,1. luman series,c. Paschen Series,d. Bracket seriese
4. The ionisation potential of hydrogen atom is 13.6 volt. the energy required to remove an electron in the n=2 state fo the hydrogen atom is,d. 3.4 eV,a. 27.2 eV,b. 13.6 eV,c. 6.8 eV
5. The majority charge carries in P-type semiconductor are,c. HOles,a. Electrons,b. Protons,d. Neutrons
6. The valence of the impurity atom that is to be added to germanium crystal so as to make it a N-type semiconductor is,b. 5,a. 6,c. 4,d. 3
7. Which quarks form a neutron?,"d. up, down, down","a. up, up, down","b. down, down, down","c. up, up, up"
8. Which of the following is indicated by the colour of a star,c. Temperature,a. weight,b. distance,d. size
10. Solar water heater cannot be used to get hot water on,b. a cloudy day,a. a sunny deay,c. a windy day,d. a hot day
10. Solar water heater cannot be used to get hot water on,b. a cloudy day,a. a sunny deay,c. a windy day,d. a hot day
