question,answer,wrong1,wrong2,wrong3
"You have four vessels different salts solution you add Cu., the blue colour is obtained in a vessel containing",AgNO3,NaCl,ZnSO4,Cd(NO3)2
which of the following is the main constituent of the paste used in photography?,AgBr,AgNO3,Fehling solution,KMnO4
Rusting of iron is due to formation of,Fe (OH)3 R Fe2O3,Fe2O3,Fe (OH)3,Fe304 .H2O
When excess KCN is treated with CuSO4 the resulting,K3 [Cu(CN)4],Cu (CN)2,[Cu(CN)4],K2 [Cu(CN)4]
The most homogenous family in periodic table s:,Volatile metals,Alkaline metals,Alkaline earth metals,Coinage metals
When mercuric chloride is treated with excess of potassium iodide,A bright red which dissolves with excess KI,Black ppt is obtained,A bright red pptwhich insoluble with KI,White ppt.
Antidote of HgCl2 poisoning is,white of egg,NaOH,charcoal,shell of egg
What happens when ZnCl is treated with NaOH ?,"White ppt is formed which is soluble in excess of
NaOH",Black ppt is formed,No ppt is formed,"White ppt is formed which is insoluble in excess
NaOH."
Annealing is the process of,Heating steel bright and cooling slowly,"heating steel certain temperature and cooling
slowly",Heating iron rod and cooling fast,Heating steal very bright and cooling fast
Rusting of iron in moist air involves,Loss of e-S by Fe,Gain of e- by Fe,Dehydration of Fe,Hydration of Fe
Calomel is,Mercurous chloride,Ferrous sulphate,Ferric chloride,Zinc sulphate
If the steel is heated well below red hot and then cooled slowly the process is called,Annealing,Tempering,Hardening,Nitriding
Silver nitrate is sored in the laboratory in dark brown or black bottles. This is because:,Light cannot pass through brown or black bottle,Brown & black glass don't react with AgNO3,AgNO3 remains activated in brown or black bottle,It is easily available
The ammoniacal solution of copper sulphate appears deep blue in colour dueto :,[Cu(NH3) 4]2+,[Cu (NH2)4]1+,[Cu (NH3)4] 1+,[Cu (NH4) ]2+
Excess of NaOH when created with ZnSO4 forms:,soluble complex,White ppt,insoluble complex,Bluish ppt
Very dil solution of zinc sulphate is used as:,Eye drops,Fertilizers,Germicides,Fungicide
"Cu reacts with which of the followingto give Blue
colouration?",Ag NO3,Na NO3,Mg (NO3)2,Zn (NO3)2
When excess KCN is treated with CuSO4 the,K3 [Cu(CN)4],Cu (CN)2,[Cu(CN)4],K₂ [Cu(CN)4]
Silver gets tarnished in air dure to the presence of,H2S,H₂O,CO2,O2
Which of the following exists as dimer?,Hg₂++,Hg++,Cu++,Hg₂+
Super conductor are derived from:,Scandium,Lanthanides,Actinides,P-block
What is purest form of Iron ?,Wrought iron,Cast Iron,Pig iron,Steel
Which of the following changes to yellow on,ZnO,PbO,Pb3O4,PH3
Railway wagon axles are made by heating rods of iron embedded in charcoal powder the processA is known as:,Case hardening,Sherardising,Annealing,Tempering
In solid CUSO4.5H2 O copper is coordination to,Four water molecules,Five water molecule,One sulphate molecule,One water molecule
Rinmann Green is:,Cobalt zincate,Cobalt Aluminate,Cobalt magnesite,Cobalt silicate
Iron is rendered passive by:,HNO3,H3PO4,HCLO4,HCl
Ammonia gas when passed through copper sulphate solution gives deep blue colour .This is due to formation of:,[Cu (NH3)4 SO4,[Cu (NH4)3] SO4,[Cu (NH3)2 SO4,[Cu (NH3)3 SO4
Galvanization of iron is done through which metal,Zinc,Copper,Steel,Aluminium
The highest magnetic moment is seen in,Fe3+++,V3+++,Cr3+++,CO3+++
Which of the following usually do not show colored salt ?,Zn,Fe,Cr,Mn
When mercuric chloride is treated with excess of potassium iodide.,Brightred ppt forms which dissolved with excess of KI,Black ppt is obtained,Bright red forms which is insoluble on excess KI,White ppt forms
.When mercuric chloride is reacted with KI then:,Red ppt,White ppt,Black ppt,Blue ppt
Reaction betweenCUO &HNO3 gives;,Cu (NO3)2 + H₂O,CuNO3 + H₂O,Cu (NO3) + H2,Cu NO3 + H2
Silver get tarnished due to:,Ag2 S,Ag₂ 0,Ag2CO3,Ag₂S
