question,answer,wrong1,wrong2,wrong3
Palynology is coonected with the study of morphology of,Pollen grains,Flowers,Fruits,Palms
Stamen is,Microsporophyll,Megasporophyll,Megasporangium,Microsporangium
Anther represents,Micro sporangium,Spirogonium,Male gametophyte,Megasporangium
Anther is typically,Tetrasporangiate,Bisporangiate,Trisporangiate,Monosporangiate
A dithecous anther contains,four microsporangia,One microsporangia,Two microsporangia,Three microsporangia
"In malvaceae, the anther is",Monothecous,Dithecous,Monosporangiate,all
Layers of anther wall from outside to inside is,Epidermis→Endothecium→Middle layer→Tapetum,Epidermis→Middle laye→Endotheciumr→Tapetum,Middle laye→Endotheciumr→Epidermis→Tapetum,Endotheciumr→Middle laye→Epidermis→Tapetum
Endothecium is,Single layered,Double layered,Teiple layered,Many layered
Thelayered in anther which is characterized by the presence of fibrous thickenings is known as,Endothecium,Epidermis,Middle layer,Tapetum
Endothecium layer present below epidermis helps in,Dispersal of spores,Dehiscence of anthers,Formation of sporopollenin,Absorption of water
Innermost layer of anther wall is,Tapetum,Epidermis,Middle layer,Endothecium
Function of tapetum is,Nutritive,Protective,Respiratory,All of above
The tapetal cells show,Mitosis and endomitosis,Mitosis,Meiosis,Amitosis and endomitosis
Ubisch bodies are produced by,Tapetal cells,Middle layers,Pollen mother cells,Endothecium
Tetrad of microspore is generally,Tetrahedral,Linear,Decussate,Isobilateral
Sporopollenin is secreted by,Tapetum,Middle layers,Pollen mother cells,Endothecium
Number of prothalial cells present in angiospermic anther is,0,3,2,1
"In angiosperms, all the four microspores of a tetrad are covered by a layer formed of",Callose,Cellulose,Sporopollenin,Pentose
Male gametes are developed from generative cell by,One mitosis,One meiosis,Two meiosis,Two mitosis
"During the formation of pollen grain, a MMc undergoes",One meiosis,One mitosis,One meiosis and one mitosis,One meiosis and two mitosis
How many pollen mother cells will form 1000 pollen grains,250,200,300,100
Pollen grain represents,First cell of gametophytic generation,First cell of sporophytic generation,First stage of gamete,None of these
Pollen tube is actually,Intine,Exine,Germinal cell,Tube cell
Pollen tube is made of,Pectocellulose,Cutin,Sporopollenin,Pectine
Outer wall of pollen grain is formed of,Sporopollenin,Cellulose,Pectocellulose,Lignin
One of the most resistant biological material is,Sporopollenin,Lignin,Hmicellulose,Lignocellulose
Germ pore is the area where exine is,Absent,Thick,Thick and uniform,Uniform
Entry of pollen tube through micropyle is,Porogamy,Chalazogamy,Mesogamy,Pseudogamy
Chalazogamy occurs in,cucurbita,casuarina,Lily,Pisum
Entry of pollen tube through integuments is,Mesogamy,Chalazogamy,Porogamy,Pseudogamy
Ovule is,Integumented megasporanghium,Megasporangium,Megasporophyll,Rolled megasporophyll
Embryo sac represents,Megagametophyte,Megaspore,Megasporangium,Female gamete
The tissue which attaches the ovules inside the ovary is,Placenta,Funicle,Hilium,Chalaza
Ovule is attached to placenta by a stalk known as,Fucnicle,Hilium,Placenta,Chalaza
The point of attachment of funicle with the body of the ovule is,Hilium,Nucellus,Chalaza,Micropyle
In angiopserms the number of meiotic division required to produce 100 macrospores is,100,125,50,25
In angioperm the number of meiotic division required to produce 100 microspores is,25,125,100,50
Micropyle is found in,ovule,seed,ovule and seed both,Fruit
Micropyle in the ovule is formed by,Outer and inner integuments both,Outer integument,Inner integument,Outer integument and funicle
Parenchymatous mass present inside ovule is,Nucellus,Chalaza,Microplyle,Funicle
"The body of ovule lies staright in continuation of funicle, with funicle chalaza and micropyle in straight line. The type of ovule is",Orthotropous,Anatropous,Hemitropous,Amphitrop[ous
"In anatropous ovule, micropyle lies",Side by side with funicle,At 45 with funicle,At 90 with funicle,In staright line with funicle
Most common type of ovule is,Bitegmic,Unitegmic,Ategmic,All
The functional megaspore undergoes how many divisions to form an embryo sac,Three mitosis,One mitosis,One mitosis and one meiosis,"One ,eiosis and three mitosis"
Arrangement of nuclei in normal dicot embryo sac is,3+2+3,3+3+2,2+3+3,2+4+2
Egg apparatus consists of,1 oosphere + 2 synergids,Egg cell only,Egg cell and antipodals,1 oosphere + 2 synergids +3 antipodal
Filiform apparatus is charactristics of,Synergid,Egg,Anther wall,Antipodal cell
Typical angiospermic embryo sac is,Polygonum type,Allium type,Both of these,None
"In a fertilized ovule n, 2n and 3n conditions ocur respectively in","Egg, nucellus and endosperm","Antipodal, egg and endosperm","Endosperm, nucellus and egg","Antipodals, synergids and integuments"
Function of guiding and attracting pollen tube towards egg is done by,Filiform apparatus,Egg cell,Antipodal cell,Egg apparatus
Fertilization is syninym with,syngamy,Autogamy,Allogamy,apogamy
The process whereby the male gametes are bought to the egg by a pollen tube is called,Siphonogamy,Porogamy,syngamy,Chalazogamy
Fertilization does not require water in,Maize,Vallisneria,Funaria,Fern
The gamates taking part is double fertilization are,3,5,4,2
Total number of nuclei involved in double fertilization,5,2,3,4
autogamy is favoured by,Homogamy,Heterostyly,Dichogamy,self sterility
Self pollination occurs in,Bisexual flower,Unisexual flower,Diclinous flower,All
Maturation of anther and stigma at the same time is,Homogamy,Allogamy,Xenogamy,Dichogamy
The transference of a pollen grains from the anther of a flower to the stigma of same or genetically similar flower is known as,Self pollination,Cross pollination,Herkogamy,Homogamy
Self pollination,Yields progeny with little variations,Is ovrcome by various adaptations,Seldom occurs in nature,Produces variable progeny
Cleistogamous flowers are,Self pollination,Wind pollination,Cross pollination,Insect pollination
Pollination occuring in closed flowers is,Cleistogamy,Bud pollination,Homogamy,Chasmogamy
Cleistogamous flowers are found in,Arachis hypogea,Solanum,Cucumis melo,Allium cepa
Passage of pollen grains from anther of one flowers to stigmas of other flowers is,Allogamy,Xenogamy,Geitonogamy,Chasmogamy
Cross pollination is always performed with the help of,External agency,No agaent required,Olny insects,Only wind
Cross pollination produces,Better progeny,Similar offspring,Weaker progeny,Male progeny
A typical example of cross pollinatioon is,Maize,Wheat,Tomato,Potato
Maize shows,Cross pollination by winds,Cross pollination by rain,Cross pollination by insects,Self pollination
Transfer of pollen to the stigma of another flower of the same plant is,Geitonogamy,Autogamy,Allogamy,Xenogamy
Transfer of pollen grains from one plant to another of same species is,Xenogamy,Autogamy,Allogamy,Geitonogamy
"In dicliny, flowers are",Bisexual,Unisexual,Both of these,Small
