question,answer,wrong1,wrong2,wrong3
Ecology term was coined by,Haeckel,Linnaeus,Harvery,Odum
Father of ecology is,Reiter,Aristotle,Linnaeus,Odum
Species ecology is,Autecology,Synecology,Community ecology,Palaeoecology
Individuals of a species which occur in a particular area consitute,Population,Flora,Fauna,flora and fauna
The transition zone in between two communities is called,Ecotone,Ecotype,Ecads,Niche
Heliophytes are,Sun loving plants,light loving plants,Shade loving plants,All
Area occupied by plant and animals is,Biosphere,Biota,Biome,Ecotone
The instrument used to measure wind velocity is,Anemometer,Hydrometer,Photometer,Potometer
Relative humidity is measured by,Psychrometer,Anemometer,Manometer,Photometer
Water logging is due to,Excess of water,Scarcity of water,Optimum level of water,All of these
Plants growing on sandy soils are,Psammophytes,Oxylophytes,Psychrophytes,Lithophytes
Readily available water to the plants is,Capillary water,Gravitational water,Hygroscopic water,Water vapour
Soil transportated  by gravity is,Colluvial soil,Alluvial soil,Galacial soil,Eolian soil
The best way to check the soil erosion is,Afforestation,Study of ecology,Overgrazing,Deforestation
Lianas are examples of,Commensalism,Mutalism,Parasitism,Predation
Crocodiles-birds association is an example of,Commensalism,Symbiosis,Proto-cooperation,Parasitism
Cuscuta is,Total stem parasite,Total root parasite,Partial root parasite,Partial stem parasite
Insectivorous plants grow in,Nitrogen deficient soil,Oxygen deficient soil,Hydrogen deficient soil,Phosphate deficient soil
The most important factor that determines the number of organisms in a grassland ecosystem is,Sunlight,The animals,The plants,Oxygen
The biotic component of ecosystem includes,All the three,consumers,producers,decomposers
Food chain always start with,Photosynthesis,Respiration,Decomposition,Uptake of minerals
Network of food chain is,Food web,food pyramids,Biomass,Biosphere
Detritius food chain starts with,Bacteria,Algae,Protozoa,Virus
Amount of energy transfered from one trophic level to next is,10%,1.5%,15%,20%
Whale fish is,Secondary consumer,Producer,Decomposer,Primary consumer
The biological sequence in an ecosystem is,Producer - consumer - reducer,Producer - reducer - consumer,Reducer - producer - consumer,Consumer - producer - reducer
Which of the following is best indicator of SO2 pollution?,Lichens,Pinus,Ferns,Alage
Eutrophication results in the reduction of,Dissolved oxygen,Dissolved hydrogen,Mineral salts,None of these
Green house effect is concerned with,Global warming,Ozone depletion,Cultivation in kitchen garden,Increased growth of algae
DDT is an,Non-biodegradable pollutant,Antibiotic,Biodegradable pollutant,None of the above
BOD stands for,Biochemical oxygen demand,Chemical oxygen demand,Growing algae in large tanks,Biotic community
Major air pollutant is,CO,CO2,N2,Sulphur
Which of the following is not a general pollutant of atmosphere?,CO2,SO2,SO3,Hydrocarbons
Major aerosol pollutant present in the jet plane emission is,Fluorocarbon,Sulphur dioxide,Carbon tetrachloride,Carbon monoxide
Acid rains contain,"SO2, NO2",NO2,O3,CO
One horned rhinoceros and gharial are characteristics of,Royal chitwan N.P,Royal Bardiya N.P,Both of these,None of these
The smallest national park of Nepal is,Rara national park,Khaptad National Park,Langtang national park,Royal Chitwan national park
"According to 1973act, how many species of birds are endangered?",9,27,10,3
Shorea robusta is found in,Tropical zone,Sub-tropical zone,Temperate zone,Alpine zone
The threatened species refers to,All of these,Endangered,Vulnerable,Rare
The population of the following is at risk,Endangered,Vulnerable,Rare,Extinct
Most priority should be given to the following category of species,Endangered,Rare,Vulnerable,Extinct
Red data book provides data on,Endangered plants and animals,Red eyed birds,Red flowered plants,Red coloured fishes
In which of the following biomes maximum number of plants and animals are found?,Tropical rain forest,Deserts,Tundra,Temperate forest
A tropical grassland with scattered tree or shrubs is called,Savannah,Taiga,Tundra,None
"Avicennia, Rhizophora and Atriplex are",Halophytes,Xerophytes,Hydrophytes,Mesophytes
Sunken stomata occurs in,Xerophytes,Hydrophytes,Mesophytes,Hygrophytes
Ecosystem represented by a pond is said to be,Lentic,Lotic,Xeric,Benthic
Submerged hydrophytes have dissected leaves for,Reducing effects of water currents,Decreasing surface area,Increasing surface area,Increasing number of stomata
Highest productivity is shown by,Coral reefs,Sugarcane fields,Tropical forests,Ocean
The net plant productivity during photosynthesis is,1%,10%,5%,2%
Series of changes on previously barren area is,Primary succession,Sere,Climax community,Secondary succession
A community that starts the process of succession in  a habitat is called,Pioneer community,Sereal community,Climax community,Ecotonal community
Pyramid of biomass is inverted in,Ocean,Tree,Pond,Grassland
Root cap is absent in,Hydrophytes,Xerophytes,Mesophytes,Halophytes
Excessive aerenchyma is characteristic feature of,Hydrophytes,Heliophytes,Xerophytes,Mesophytes
