question,answer,wrong1,wrong2,wrong3
Alburnum is,Sap wood,Heart wood,Hard wood,Soft woo
A secondary wood is called porous wood when it posses,Vessels,Pores,Only tracheids,Parenchyma
If a stem is gridled,Root dies first,Shoot dies first,Both die first,None of the above
Sap wood differs from heart wood in being,Lighter and conducting,Darker and non-conducting,Softer and non-conducting,"Harder,darker and less conducting"
The best method to determine the age of a tree is to,Count the number of annual rings,Count the number of leaves,Measure its diameter,Find out the number of branches
Periderm is composed of,"Cork cambium, cork and secondary cortex",Cork and secondary cortex,"Cork cambium, cork and secondary phloem",Cork alone
Periderm is composed of,All,Phellem,Phellogen,Phelloderm
Periderm is composed of,Phellogen,Phellem,Phelloderm,Phloem
Cortex and pith are not distinguishedin,Monocot stem,Monocot root,Dicot stem,Dicot root
Casparian strips are composed of,Suberin,Lignin,Cutin,Protein
Hairs are multicellular in,Stem,Leaf,Root,All
Which of the foillowing plant possesses both living and dead mechanical tissue?,Dicot stem,Monocot stem,Monocot root,Dicot root
Which of the following is absent in leaf?,Lenticels,Stomata,Mesophyll,Chloroplat
Vascular bundles in dicot stems are,"Open, collateral, endarch","Closed, collateral, endarch","Open, collateral, exarch","Closed, collateral, exarch"
Balloon like structures formed by adjacent parenchyma cells into xylem vessels through pits are,Tyloses,Callose,Tylosoides,Phellem
Bast fibres are frequently found in,Secondary phloem,Secondary xylem,Primary phloem,Primary xylem
Sieve tubes are a part of,Bast,Xylem,Vascular cambium,Cork cambium
The transportation of minerals and water in xylem is,Unidirectional,Bidirectional,In all directions,None
Intercalary meristem results in,Primary growth,Secondary growth,Apical growth,Thickening of stem
Aerenchyma is formed in the tissue of,Parenchyma,Sclerenchyma,Phloem,Casparian strips
"Thickening of cell wall, lignification and specalized for mechanical function are characteristics of",Sclerenchyma,Collencyma,Chlorenchyma,Parenchyma
P - protein is found in,Seive tubes,Tracheids,Sieve cells,Vessels
Starch is mainly manufactured by,Palisade parenchyma,Spongy parenchyma,Guard cells,Vascular bundle
The transportation of minerals and water in xylem is,Unidirectional,Bidirectional,In all directions,None
"Fibre, the longest plant cell, belongs to the tissue",Sclerenchyma,Parenchyma,Collenchyma,Aerenchyma
Quiescent centre concept occurs in,Root apex,Shoot apex,Cambium meristem,Intercalary
The type of thickening or lignifications is annular or spiral in,Protoxylem,Metaxylem,Both a and b,Sieve cells
Dermatogen is a tissue formed by apical meristem and it develops into,Epidermis,Cortex,Vascular bundle,Ground tissue
Wood is,Secondary xylem,Primary xylem,Primary phloem,Secondary phloem
Collenchyma differs from sclerenchyma in,Being living at maturity,Having thick cell walls,Having wide lumen,Being flexile
Which of the following cells lack nuclei?,Both a and b,Sieve tube,Sieve cells,Companion cells
Collenchyma differs from sclerenchyma in,Being living at maturity,Having thick cell walls,Having wide lumen,Being flexible
Girdling experiment cannot be done in sugarcane because,Vascular bundles are scattered,Vascular bundles are collateral,Cambium is absent,Vascular bundles are closed
Four radial vascular bundles are present in,Dicot root,Monocot stem,Dicot stem,Monocot root
Most accepted theory for shoot apex organization is,Tunica - Corpus theory,Histogen theory,Apical theory,None
Type of xylem found in Fern plant is,Mesarch,Amphivasal,Amphicribal,Bicollateral
Which of the following shows the secondary growth?,Yucca,Maize,Sugarcane,Wheat
A meristem may be defined as the group of cells which,Divide continuously to give rise to new cells,Add to bulk of the plant,Conserve food,Elongate and add to the group of cells
Stele in monocot stem is,Atactostele,Siphonostele,Eustele,Merostele
........ is living tissue which is not much found in roots and monocot plants,Collenchyma,Parenchyma,Sclerenchyma,Chlorenchyma
Grafting is not possible in monocot plants like sugarcane because,Canbium is absent,Vascular bundles are scattered,Endodermis is absent and plants are herbaceous,Bundle sheath is sclerenchymatous
Bicllateral vascular bundles are found in the stem,Pumpkin,Cycas/Sunflower,Gram/Canna,Dracaena
Which is not characteristic of meristematic cells?,With thick cellulose walls,Oval or rounded or polygonal or rectangular and isodiametric,Without intercellular spaces,With large and prominent nuclei
The layer of cells lying between endodermis and vascular bundle is,Pericycle,Cortex,Pith,Exodermis
Meristematic tissue derived from permanent tissue which have already stopped dividing is,Secondary meristem,Primary meristem,Apical meristem,Intermediate meristem
When pholem is embedded within xylem then it is,Amphivasal,Amphicribal,Mesarch,Bicollateral
When phloem is embedded within xylem then it is,Leptocentric,Hadrocentric,Conjoint,Radial
Pericycle of root is made up of,Parenchyma,Collenchyma,Sclerenchyma,Fibres
The vascular bundle is scattered in,Corn plant,Sunflower,Cucurbita,Mustard
The youngest layer of secondary xylem in a woody stem is located just,Inside the cambium,Outside the cambium,Outside the pith,Inside the epidermis
Wound healing in plant is mainly due to,Formation of callus,Formation of phellogen,Formation of phelloderm,Formation of tylose
Which one of the following is a living component of xylem system?,Wood parenchyma,Tracheids,Vessels,Xylem fibres
Senescence and death are essential in the functioning of,Xylem and sclerenchyma,Seive tubes,Companion cells,Both
