question,answer,wrong1,wrong2,wrong3
The young's modulus of elasticity of rigid body is,∞,Zero,-ve,One
Length of wire is increased by 2% by load of weight 5 kg then linear strain produced is,0.02,0.002,0.05,0.005
"With increase in temperature, young's modulus",Decreases,Increases,Remains constant,First increases then decreases
Which of following stress changes shape of object,Shear stress,Bulk stress,Tensile stress,Longitudinal stress
Young's modulus is,Ratio of normal stress to longitudinal strain,Ratio of normal stress to lateral strain,Product of normal stress to longitudinal strain,Ratio of shear stress to lateral strain
The state that has greatest potential energy is,Gas,Solid,Liquid,Powder
The elasticity of highly elastic body is,∞,1,0,0.5
"In order to elongate a given wire to double its length, one requires a stress which is",Equal to young's modulus,Of infinite magnitude,Double to young's modulus,Half of Young's modulus
Which of the following unit is Young's modulus is in MKS system?,N/m2,N/m,N×m,N×m2
Breaking stress(in N/m^2) of a wire of radius 3 mm in F. The breaking stress of the same material of radius 6 mm will be,F,F/4,F/3,F/2
Breaking stress( in N/m^2) of a wire of radius 2 mm is F. The breaking stress of the same material of radius 4 mm will be,F,F/4,F/3,F/2
"Steel is more than elastic than rubber. This means for same applied stress, the strain will be",Less for steel,More for steel,Equal to steel and rubber,More or less for steel
Modulus of rigidity is,Shear stress by shear strain,Bulk stress by bulk strain,Stress by strain,Bulk stress by shear strain
"A wire obeying Hooke's law has extension x. If the extension is increased to 1.5 times, then velocity of sound , if the initial velocity be V, become",1.22V,1.5V,0.5V,0.6V
A body is said to be perfectly elastic if,It recovers its original shape and size when the deforming force is removed,It can move freely in all directions,Its surface is perfectly smooth,It is not affected by the external force
A wire is stretched to double its length. The stress produced is,=Y,<Y,>Y,None
Which of the following has highest elasticity,Steel,Copper,Plastic,Rubber
Those substances which break as soon as their elastic limit is reached  are known as:,Brittle,Ductile,Plastic,Elastomers
The Young's modulus of a copper wire of length I and diameter D. If the length of the copper wire is double and diameter is halves then new Young's modulus will be,Y,2Y,Y/2,Y^2
The length of a rod was increased by 1% while a body of mass 2kg is stretching. Then the increase in linear strain is,0.01,0.1,1/1000,1/10000
"If the length of string is increased by 1%, strain developed is",1/100,1/1000,1/10,1/10000
The upper end of wire 1 m long and 4 mm radius is clamped. The lower end is twisted by an angle of 30• the angle of shear is,0.12•c,12•c,1.2•c,0.012•c
Young's modulus of a perfectly plastic body is,0,Infinite,1,-1
Which one of the following substances possesses the highest elasticity?,Steel,Rubber,Glass,Copper
Solid possess,Least energy,Lesser energy,Highest energy,Greater intermolecular distance
Two wires of same radius and material have their length in the ratio 1:2. If they are stretched by the same force then strain produced will be in the ratio of,1:1,1:2,2:1,1:4
"In an experiment to determine the young's modulus of elasticity of the material of wire, the length of the wire and the suspended load are both doubled. The ratio of stress to strain",Remains unchanged,Become double,Becomes four times,Becomes sixteen times
The young modulus of a material is 2×10^10 N/m2 . If its length is doubled then find the force applied on it if the area 100m2,2×10^12N,4×10^12 N,2×10^1N,10^18 N
A wire has length 300 cm and area of cross section 0.003cm^2 when a force of 10 million dyne is applied on the wire the extension produced is 0.5 cm.what is the young's modulus of elasticity of the wire?,2×10^12 dyne/cm^2,2×10^11 dyne/cm^2,3×10^12 dyne/cm^2,3×10^11 dyne/cm^2
"When an elastic material with young's modulus Y is subjected to a stretching stress X, the elastic energy stored per unit volume is",X^2/2Y,2X/Y,Y^2 /2X,X^2Y/2
A nylon rope 3 cm in diameter has a breaking strength of 1.5 × 10^5 N. The breaking strength of a similar rope 1.5 cm in diameter is?,0.375×10^5 N,0.75 × 10^5 N,3×10^5 N,6×10^5N
"The mean density of sea water is ρ, and bulk modulus 'B'. The change in density of sea water in going from the surface of water to a depth h is",r^2gh/B,Br^2/gh,Bρgh,rgh/B
The energy stored per unit volume is what if the stress is S and young's modulus is Y,S^2/2Y,2S^2/ Y,S^2/Y,S/2Y^2
A steel wire of lengthy 2.5 m and cross sectional area 0.80×10^-6 m^2  has a Young's modulus of 2×10^11 pa. The upper end of the wire is fixed and a load of 8N is tied at the other end. The extension in mm of the wire is:,0.125,0.250,0.500,0.750
"Two strings of same material having length in the ratio 1:2 and diameter in the ratio 2:1 are stretched by the same force, then the ratio of extension produced is",1:8,8:1,1:4,4:1
A metal rod of young's modulus of elasticity 2×10¹¹N/m² undergoes a elastic strain of 0.05. The energy stored per unit volume of the rod in J/m³ is,2.5×10⁸,5×10⁹,3.5×10⁷,4×10⁶
The energy density of a wire of strain S is,S²y/2,S²/2Y,2s²Y,2Y/S²
The velocity of sound in water is 1400m/s. The density of water is 1000kg/m³.Bulk modulus of elasticity of water is,1.96×10⁹N/m²,5×10¹¹ N/m²,4×10⁹N/m²,1.96×10¹¹N/m²
The stress strain graph is obtained for cupper and rubber. Slope of rubber and cupper are given as. Tan θc and Tan θr respectively. Then,Tan θc >Tan θr,Tan θc< Tan θr,Tan θc>=Tan θr,Tan θc = Tan θr
