question,answer,wrong1,wrong2,wrong3
Lift of aeroplane based on,Bernoulli's principle,Pascal's law,Stoke's law,Archimedes principle
The terminal velocity of substance in a liquid of density 0.9gm/cm³ having diameter 1 mm and coefficient of viscosity 150 centipoise is,3.3 mm/sec,1.3 mm/sec,2mm/sec,4mm/sec
Bernoulli's theorem is applicable to,Flow of liquid,Surface tension,Doppler effect,Resistance in wire
Two pipes are joined having length L and 2L and radius R and 2R respectively. What is the pressure difference between them?,8,1/8,4,2
Coefficient of viscosity n has a unit N/m²s. Its equivalent to;,Pascal second,Decipoise,Centipoise,Millipoise
When temperature of gas is increased its velocity,Increase,Remain constant,Decrease,First decrease then increase
"Twi drops of water having same radius moving in air downwards with constant velocity v.If the drops coalesce, what will be the new velocity ?",(2⅔-1)v,2^1/3 v,2⅔v,(2^1/3-1)v
Two parallel square plates of length 10 cm and moving with velocity 10cm/sec pass in liquid of viscosity 0.01 poise. If the force between the plates in liquid is 200 dyne then the separation between the plates is,0.05cm,5cm,0.5cm,0.005cm
The most important characteristic property of fluid is,It can flow,Volume conservative,Non compression,It takes shape of container
The viscosity of ......... with increase in temperature:,Liquid decrease,Liquid increases,Gas decrease,Liquid and gas increase
"After terminal velocity, the quantity that terminates is",Acceleration,Velocity,Momentum,Energy
"If the density of air is neglected, then radius of liquid drop with density 900 kg/m³ moving in air with coefficient of viscous medium 1.85×10-⁵ Ns/m² with terminal velocity",1.6μm,1.6 mm,1.6cm,1.6nm
Two long conductors connected in series of radius r1 and r2 then velocity of two tube are in ratio,R2²/R1²,R1²/ R2²,R2/R1,R1/R2
The terminal velocity of an object in a liquid is 100 m/s. What will be the terminal velocity of the object in the vaccum?,Value cannot be attained,<100m/s,>100m/s,=100m/s
"A very narrow capillary tube records a rise of 6cm when dipped in water. When the area of cross section is reduced to one forth of the former value, water will rise to a height of",12cm,3cm,6cm,15cm
"In a wide river, the velocity of water at the middle:",Decrease with depth,Increase with depth,Is the same everywhere,Is zero
The property of liquid by which it opposes its motion is,Viscosity,Surface tension,Elasticity,Rigidity
The terminal velocity v of a small sphere of radius r when dropped in viscous liquid varies as,r²,1/r,1/r²,r³
In winter season the wheel of the vehicles are jammed because,Increase in viscosity,Increase in surface tension,Decrease in surface tension,Decrease in viscosity
"8 drops coalease to form a single drop. If the initial speed of drop is v, final speed of drop is",4V,V,2V,8V
"8 drops coalease to form a single drop. If the initial speed of drop is v, final speed of drop is",4V,V,2V,8V
"A water is flowing in a tube of radius r and length I. The flow of liquid per minute is v. If both the raduua d length is doubled, the flow of liquid per minute will be",8 times,4times,2 times,Same
If a ball moves in a viscous liquid then its terminal velocity depends upon,All,Nature of liquid,Density of liquid,Density of ball
An aeroplane of mass 3×10⁴ kg and total wing area 120 m² is in level flight at some height. The difference in pressure between the upper and lower surfaces of its wings in kilopascal is( g=10),2.5,5,10,12.5
Viscosity of liquid and gases with increase in temperature,Decrease and increase,Increase and decrease,Increase,Decrease
"Equal volume of two immiscible liquids of densities ρ and 2ρ are filled in a vessel. The small holes are punched at depth h/2 and 3h/2 from the surface of lighter liquid. It v1 and v2 are the velocities of efflux at these two holes, then v1/v2 is",1/√2,1/2√2,1/2,1/4
One poise equals to;,10-¹Ns/m²,10Ns/m²,100Ns/m²,10-² Ns/m²
"32 units of a liquid flow per unit time through a capillary tube connected to a pressure head. If a tube of half the radius and same length is connected to the same pressure head, the quantity of water flowing per unit time will be",2 units,1 units,4 units,8 units
Bernoulli's theorem is based on,Conservation of energy,Conservation of mass,Conservation of momentum,Conservation of pressure
Bernoulli's theorem is based on the conservation of,Energy,Momentum,Mass,Angular momentum
F= 6πnrv is the expression of,Strokes law,Equation of continuity,Bernoulli's theorem,Torricellis theorem
The volume of liquid flow through a horizontal tube is,Directly proportional to the fourth power of radius of the tube,Directly proportional to radius of tube,Inversely proportional to the pressure difference across the tube,Independent of all parameters
