question,answer,wrong1,wrong2,wrong3
To what height(h) should a cylinder vessel with a homogenous liquid to makw the force with which the liquid pressure on side of vessel equal to force exerted by liquid on bottom of vessel?,H=r,H = r/2,H= r/4,H=3r
A boat having a length of 3 m and a breadth of 2 m is floating on a lake. The boat sink by 1 cm when a man gets on it. Mass of man is,60kg,80kg,12kg,120kg
A body of density 600kg/m³ and mass 120kg is floating in water. What mass can make it totally submerged,80,120,40,60
A ballon of weight 300 N is moving upward. Volume of ballon is 30m³ and displacing air of density 1.2 kg/m³ then the upward force acting in the ballon is,60N,660N,260N,Zero
In a common hydrometer specific gravity is 1.6 then mark 1.5 is,Upward,Downward,May be upward and downward,Cannot be determined
A boat having a length 3m and breadth 2m is floating on a lake. The boat sinks by 1 cm when a man gets on it. The mass of a man is,60kg,72kg,100kg,90kg
The condition for a floating body in equilibrium is,Metacenter above the center of gravity,Metacentre coincides center of gravity,Metacenter below the center of gravity,Metacenter coincides the center of buoyancy
A piece of ice floats in the water. What will happen to level of water when ice melts?,Remains unchanged,Increase,Decrease,May increase or decrease
The specific gravity of sugar is 1.59. Which one is the correct density in SI system?,1590,1.59,159,15.9
How much lead of sp. Gr 11 should be added to a piece fork of sp. Gr. 0.2 weighing 10 gm. So that it may just float in water?,44g,10g,20g,50g
A raft of wood of volume 0.2m³ and mass 120kg floats in water. How much weight can be put on it to make it just submerge?,80kg,20kg,30kg,50kg
A boat having a length 3m and breadth 2m is floating on a lake. The boat sinks by 1cm when a man gets on it. The mass of man is,60kg,72kg,48kg,90kg
The density of ice is .........density of water,Lesser than,Greater than,Highter than,Equal to
Buoyancy depends on,Mass of liquid displaced,Shape,Depth,Mass of object
Metal A having its density 15 and metal B having its density 20 are mixed together by 25% and 75% respectively. Density of new alloy is,18.75,16.25,20.75,15.25
"If there is no force of gravity on earth, which of following laws will becomes inapplicable?",Archimedes principle,Newton's 3rd law,Coulomb's law,Bernoulli's principle
"A piece of ice of floating in a beaker containing water. When the ice melts, the level of water",Remains same,Rises,Falls,First increase then decrease
When stones are unloaded from a boat to the water. What will happen to the level of water?,Decrease,Increase,Remains unchanged,First increase then decrease
Two objects immersed in water have same upthrust then they have,Same volume,Same mass,Same density,Same crystal structure
Hydraulic brake is based upon,Pascal's law,Archimedes uplift,Law of floatation,Boyle's law
An ice block is floating in a liquid whose density is more than that of water. When all of ice melts the level of water,Remains same,Rises,Falls,Cannot be predicted
Hydraulic law is based on,Pascal's law,Archimedes's principle,Law of floatation,Boyle's law
"A certain piece of metal weighs 5g in air, 3g in water and 3.24 g in benzene. The density of benzene will be",0.88g/cc,1.4g/cc,0.5g/cc,3.52g/cc
"When a large bubble rise from the bottom of a lake to the surface, its value becomes 3 times. The atmospheric pressure is equal to that of a column of water of height H. The depths of the lake is",2H,8H,7H,H
"A man is sitting in a boat which is floating on a pond. If the man drinks some water from the pond, the level of water in the pond",Remains unchanged,Decrease,Increase,May increase or decrease depending on the location
"Objects denser than water, such as a steel needle can actually float on the surface of water because",True weight is less than the force of surface tension,True weight is equal to the force of surface tension,True weight is more than the force of surface tension,True weight of the body has nothing to do with this process
The up thrust on the body floating over a liquid which is freely falling under gravity is,Zero,Equal to the weight of the body,Greater than the weight of body,None of them
Fog drop is suspended in air which is balanced by force of gravity and;,Upward thrust of air,Force of gravity,Surface tension,None
The density of ice is,Less than that of water,More than that of water,Equal to that of water,3 times that of water
"Cylinder body of cross section A and height H is immersed in water with vertical axis, pressure at its tops is  pt and bottom is pb and weight is W. A thrust acting upon it is",Pb-pt)A,(Pb-pt)A+W,W,Pb-pt)A- W
Buoyancy depends on,Mass of liquid displaced,Shape,Depth,Mass of object
"Metal A having its density 15 and metal B having its density 20 are mixed together by 25% and 75% respectively, to form a new alloy. Calculate the density of the new alloy",18.75,16.25,20.75,15.25
"A hot air ballon moving upwards has a total weight of 250N and volume of 25m³. Assuming the air density is 1.2 kg/m³, the neg upward force on the balloon in N is then about",50,25,150,200
The cork weighs 5g in air. The sink weighs 86g in water. Cork when kept in sink weighs 71g in water. The density of cork in kg/m³,250J,350J,280J,480J
"What is the resultant density of mixture of two substances A and B having density 8 kg/m³ and 4kg/m³ respectively, if 1 kg of both are mixed",5.3,5.6,6.3,4.4
Two liquids A and B of densities 0.8kg/m³ respectively are mixed to prepare a homogeneous mixture of density 1kg/m³. The ratio of their volume (Va/Vb) will be,2:1,1:2,7:8,8:7
How much lead of specific gravity 11 must be added to a piece of cork of specific gravity 0.2 weighing 10g so that it just floats on water?,44g,2.2g,4.4g,440g
"Density of gold is 19.3gm/cc and that of copper is 8.9gm/cc, 10 gm of gold and 10 gm of copper is mixed to form an alloy. The density of the alloy is",12.4gm/cc,10.4gm/cc,11.4gm/cc,9.4gm/cc
The block of wood floats in the water with ⅔th of its volume submerged then density of liquid,0.66 g/cm³,0.33g/cm³,1 g/cm³,0.56 g/cm³
"A light body A of specific gravity ρ1 , and a metallic body B of specific gravity ρ2 are placed bound together. The combination is placed in a liquid of specific gravity ρ. If it neither floats nor sink in the liquid, the ratio of masses of A and B is;",(ρ/ρ2-1)÷ (1-ρ/ρ1),ρ1/ρ2,ρ1(ρ+ρ2)/ ρ2(ρ+ρ2),(ρ/ρ2)+1÷ (ρ/ρ1)+1
